PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000240409.1.wgt.RDat	ENSG00000240409.1	1	633534	633535	0.0795	rs1891910	-4.64	rs2710875	0.0338	4.4	0.502332	80	11	enet	0.036	9.5e-05	0.44096	0.659
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000187634.11.wgt.RDat	ENSG00000187634.11	1	923927	923928	0.0866	rs1891910	-4.64	rs3748595	0.0319	-4.26	-3.446621	177	5	enet	0.03	0.00037	2.39818	0.0165
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.1305	rs1891910	-4.64	rs2340582	0.00958	3.78	-2.97679	181	16	enet	0.023	0.0014	-2.27248	0.0231
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1853	rs1891910	-4.64	rs13303010	0.0872	-6.25	-1.059608	181	16	enet	0.11	8.5e-12	1.09203	0.275
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3267	rs1891910	-4.64	rs3128117	0.213	-9.89	-0.839866	184	27	enet	0.26	3.9e-28	1.19832	0.231
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.228	rs1891910	-4.64	rs2710888	0.169	-8.3	-1.489351	187	13	enet	0.17	1e-17	0.9883	0.323
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.1165	rs11586188	4.77	rs3737728	0.0613	5.16	-1.116862	203	15	enet	0.022	0.002	-1.15887	0.247
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2053	rs1891910	-4.64	rs9442372	0.0993	-6.44	0.804079	216	28	enet	0.097	1.5e-10	-0.03152	0.975
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.1732	rs1891910	-4.64	rs6697886	0.109	-6.9	0.046223	228	10	enet	0.13	1.1e-13	0.20752	0.836
Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1279	rs1891910	-4.64	rs11721	0.0991	-6.65	0.065311	229	5	enet	0.093	4.1e-10	0.17761	0.859
