PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2147	rs1891910	-4.64	rs3748595	0.107999	5.66	-3.446621	180	19	enet	0.15	3.6e-10	-0.675196	0.5
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1	rs1891910	-4.64	rs604618	-0.004009	-3.01	0.023594	180	17	enet	-0.0035	0.7	0.545167	0.586
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.5506	rs1891910	-4.64	rs3128117	0.391529	-10	-0.839866	183	16	enet	0.35	9e-25	0.438581	0.661
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000273443.1.wgt.RDat	ENSG00000273443.1	1	1063287	1063288	0.2294	rs1891910	-4.64	rs9442372	0.156418	-6.53	0.804079	205	3	enet	0.15	4.7e-10	-0.601453	0.548
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1051	rs1891910	-4.64	rs4275402	-0.001403	-3.78	0.908399	215	14	enet	0.0097	0.067	0.530998	0.595
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2535	rs1891910	-4.64	rs2765021	0.100828	5.96	0.250194	252	35	enet	0.15	3.2e-10	1.196447	0.232
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.2473	rs1891910	-4.64	rs35242196	0.152516	6.25	-0.583314	275	34	enet	0.11	4e-08	0.623104	0.533
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2102	rs1891910	-4.64	rs12089560	0.120587	-6.33	0.791504	282	35	enet	0.1	2.6e-07	-0.225426	0.822
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.1967	rs1891910	-4.64	rs12089560	0.114774	-5.55	0.791504	284	15	enet	0.15	2.8e-10	-0.980318	0.327
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5984	rs1891910	-4.64	rs2031709	0.274458	-8.4	2.149189	284	16	enet	0.26	9.9e-18	-2.058334	0.0396
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000197785.13.wgt.RDat	ENSG00000197785.13	1	1512150	1512151	0.2416	rs11586188	4.1	rs819980	0.055473	-5.08	-0.773099	278	13	enet	0.047	0.00039	0.259574	0.795
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000228594.3.wgt.RDat	ENSG00000228594.3	1	1600095	1600096	0.0961	rs3128317	-4.81	rs3818646	0.01156	-4.07	-0.28975	281	13	enet	0.029	0.0048	1.118273	0.263
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7307	rs3128317	-4.81	rs4648786	0.0684	-6.05	0.123343	305	8	enet	0.32	2.3e-22	-1.135149	0.256
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.3115	rs3128317	-4.81	rs7520934	0.159974	-6.95	0.827892	301	18	enet	0.14	1.7e-09	-0.992732	0.321
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.3763	rs3128317	-4.81	rs4074197	0.103298	5.15	0.507688	293	35	enet	0.1	2.1e-07	-0.894567	0.371
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.6228	rs3128317	-4.81	rs6699975	0.0473	-4.84	-1.099054	294	71	enet	0.15	2.7e-10	0.354255	0.723
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.7537	rs3128317	-4.81	rs6699975	0.197105	7.03	-1.099054	290	33	enet	0.28	6e-19	-1.388586	0.165
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.1311	rs3128317	-4.81	rs876029	0.016397	4.05	-0.053495	288	6	enet	0.023	0.01	-0.399723	0.689
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.2367	rs3128317	-4.81	rs12044597	0.117011	-6.24	-0.650084	317	16	enet	0.19	1.4e-12	0.664549	0.506
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.2201	rs3128317	-4.81	rs10907194	0.126079	6.05	-0.239396	328	19	enet	0.14	1.6e-09	-0.144893	0.885
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000178821.12.wgt.RDat	ENSG00000178821.12	1	1919272	1919273	0.0989	rs3128317	-4.81	rs2474460	-0.003227	-3.64	0.866684	328	20	enet	-0.0036	0.72	0.015677	0.987
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.0903	rs34241773	10.5	rs10910029	0.009226	3.71	-0.056843	378	13	enet	-0.0041	0.98	0.98008	0.327
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.3333	rs34241773	10.5	rs12403265	0.003129	-5.07	-0.59384	375	34	enet	0.11	1.2e-07	1.353131	0.176
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000269896.2.wgt.RDat	ENSG00000269896.2	1	2352819	2352820	0.2235	rs34241773	10.5	rs2843160	0.058282	4.83	-0.0872	350	15	enet	0.097	4.4e-07	0.099714	0.921
Pancreas	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pancreas/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.4524	rs34241773	10.5	rs3795272	0.257101	-8.08	-0.254687	346	41	enet	0.23	6.4e-16	0.680683	0.496
