PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2379	rs1891910	-4.64	rs3094315	0.181252	5.7	-0.146306	157	7	enet	0.14	1.7e-07	-0.24113	0.809
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.274	rs1891910	-4.64	rs3748592	0.001221	3.63	-3.112658	182	28	enet	0.0055	0.16	-3.0221	0.00251
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1678	rs1891910	-4.64	rs3128117	0.046132	-4.02	-0.839866	182	7	enet	0.041	0.0044	0.20499	0.838
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.1835	rs1891910	-4.64	rs7526076	0.076309	-4.27	-1.493504	183	4	enet	0.064	0.00045	1.31546	0.188
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4499	rs1891910	-4.64	rs3128117	0.388372	-8.22	-0.839866	185	34	enet	0.35	1.2e-17	1.29349	0.196
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.255	rs11586188	4.81	rs9442372	0.030089	4.43	0.804079	204	32	enet	0.032	0.01	0.92282	0.356
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.5298	rs1891910	-4.64	rs6687776	0.400562	-8.33	0.08773	217	20	enet	0.37	5.6e-19	-0.09532	0.924
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000205231.1.wgt.RDat	ENSG00000205231.1	1	1179554	1179555	0.3164	rs1891910	-4.64	rs6668667	0.076041	6.05	2.81604	223	37	enet	0.028	0.015	2.98251	0.00286
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1937	rs1891910	-4.64	rs12036216	0.124015	-5.57	-0.281037	230	11	enet	0.13	8.8e-07	-0.02132	0.983
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000260179.1.wgt.RDat	ENSG00000260179.1	1	1251333	1251334	0.1988	rs1891910	-4.64	rs6697886	0.135445	5.31	0.046223	234	11	enet	0.12	1.9e-06	-0.20892	0.835
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.254	rs1891910	-4.64	rs12142199	0.040911	5.18	-1.039138	254	23	enet	0.084	6.8e-05	-0.13325	0.894
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1704	rs1891910	-4.64	rs35242196	0.159274	5.32	-0.583314	277	6	enet	0.13	1e-06	-0.99606	0.319
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.4619	rs1891910	-4.64	rs12089560	0.210207	-6.49	0.791504	284	26	enet	0.24	5e-12	0.05677	0.955
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.319	rs1891910	-4.64	rs1695824	0.295624	-7.22	-1.891308	289	26	enet	0.31	1.3e-15	0.9476	0.343
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.515	rs1891910	-4.64	rs2031709	0.210027	-6.5	2.149189	285	22	enet	0.09	3.7e-05	-2.1276	0.0334
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.1842	rs3128317	-4.81	rs7517401	0.139277	5.45	-0.294651	281	5	enet	0.14	3.4e-07	-0.08884	0.929
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7331	rs3128317	-4.81	rs6699975	0.045677	4.65	-1.099054	306	17	enet	0.13	4.5e-07	-1.26379	0.206
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.5791	rs3128317	-4.81	rs6699975	0.171734	-5.73	-1.099054	295	23	enet	0.15	1e-07	0.59943	0.549
Brain_Caudate_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Caudate_basal_ganglia/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.2072	rs3128317	-4.81	rs35672141	0.115582	-4.97	-1.033834	289	13	enet	0.037	0.0069	-0.31429	0.753
