PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000171608.15.wgt.RDat	ENSG00000171608.15	1	9651731	9651732	0.0982	rs4265433	6.06	rs4240910	0.0797	6.22	-5.139348	322	4	enet	0.078	1.7e-9	-4.88669	1.03e-6
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.1028	rs12402967	-9.03	rs1467653	0.0826	6.37	-6.343955	375	15	enet	0.056	3.2e-7	-6.61422	3.74e-11
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000162373.12.wgt.RDat	ENSG00000162373.12	1	48776968	48776969	0.0685	rs12739065	-9.81	rs11578117	0.0152	-4.07	-7.911537	385	9	enet	0.01	0.021	5.35177	8.71e-8
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000134256.12.wgt.RDat	ENSG00000134256.12	1	117001749	117001750	0.2253	rs10801925	-7.76	rs3736908	0.14	-8.72	-7.046154	412	39	enet	0.15	4.6e-17	5.97369	2.32e-9
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.1066	rs4845681	13.15	rs3811448	0.0689	-6.34	4.167512	403	6	enet	0.051	1.2e-6	-5.75221	8.81e-9
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.2813	rs4845681	13.15	rs10908445	0.167	-8.73	9.153098	417	28	enet	0.26	4.9000000000000004e-30	-7.40059	1.36e-13
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.1285	rs4845681	13.15	rs705094	0.0859	-6.56	7.410643	397	30	enet	0.094	3.5e-11	-5.11955	3.06e-7
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.0884	rs4845681	13.15	rs2306125	0.0447	-5.78	2.813999	378	10	enet	0.053	6.6e-7	-6.12756	8.92e-10
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000160767.20.wgt.RDat	ENSG00000160767.20	1	155255482	155255483	0.085	rs4845681	13.15	rs12034326	0.0218	5.06	-1.164016	302	23	enet	0.043	6.4e-6	-4.91294	8.97e-7
GTExv8.EUR.Nerve_Tibial	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Nerve_Tibial/ENSG00000213047.12.wgt.RDat	ENSG00000213047.12	1	197775695	197775696	0.0992	rs4026514	10.31	rs2488401	0.0369	5.95	4.643008	335	23	enet	0.068	2e-8	4.60503	4.12e-6
