GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679      3       1  351827      0.15669      0.43774        0.435   1000
55052        1    1337276    1342693     68       3  351827      0.66328      0.25358        0.249   1000
441869       1    1353800    1356824     21       1  351827      0.52348      0.30032        0.285   1000
219293       1    1378152    1405538     61       3  351827      0.62628      0.26556        0.268   1000
83858        1    1407139    1444852     65       6  351827       1.7167     0.043016        0.046   1000
55210        1    1447523    1470067     15       2  351827       1.2522      0.10526        0.108   1000
29101        1    1477053    1510262      1       1  351827      0.72357      0.23466        0.231   1000
142678       1    1550795    1565990      9       1  351827      0.39178      0.34761        0.342   1000
984          1    1571100    1590473     13       3  351827      0.75342       0.2256        0.216   1000
728661       1    1591486    1624243     30       4  351827       1.0604      0.14449        0.141   1000
728642       1    1633822    1655999      2       1  351827      -2.0606      0.98033        0.975   1000
9906         1    1656277    1677438      2       1  351827      0.72875      0.23308        0.243   1000
163688       1    1846266    1848733      8       2  351827     -0.41159      0.65968        0.637   1000
339456       1    1849029    1850740     69       4  351827      0.25717      0.39852        0.367   1000
85452        1    1853390    1935276    137       5  351827      0.11615      0.45377        0.431   1000
5590         1    1981909    2116834      6       1  351827       2.2599     0.011915        0.012   1000
100506504    1    2113250    2115812      1       1  351827     -0.28852      0.61353        0.626   1000
199990       1    2115899    2144159      7       2  351827      -1.1369       0.8722        0.871   1000
79906        1    2251719    2323190     21       2  351827      -1.2503       0.8944        0.885   1000
8764         1    2487291    2495268     64       1  351827     0.023801      0.49051         0.52   1000
79258        1    2522078    2564499    169       5  351827     0.091441      0.46357         0.47   1000
49856        1    3547331    3566671      7       1  351827       0.9459       0.1721        0.171   1000
9731         1    3728645    3773797    113       6  351827       0.6708      0.25117        0.248   1000
1677         1    3773845    3801993     33       1  351827      0.37733      0.35297        0.362   1000
339448       1    3805697    3816857     67       4  351827      0.56631      0.28559        0.292   1000
261734       1    5922870    6052618    262       8  351827       1.8922     0.029233        0.023   1000
8514         1    6052358    6161253      3       1  351827       1.6164     0.053006        0.056   1000
388591       1    6266189    6281359     24       2  351827      0.28363      0.38835        0.408   1000
90326        1    6684925    6695646     42       3  351827   -0.0034668      0.50138        0.494   1000
80176        1    9335202    9429591      1       1  351827      0.16978      0.43259        0.472   1000
23095        1   10270606   10441664     88       2  351827       2.6215    0.0043767       0.0046   5000
5226         1   10458884   10480565     89       4  351827       2.5726    0.0050467       0.0044   5000
1325         1   10509776   10512060     28       2  351827   -0.0077727       0.5031        0.529   1000
5195         1   10535003   10690815    146       7  351827       1.6895      0.04556        0.046   1000
10747        1   11086580   11107296      9       2  351827     -0.26441      0.60427        0.599   1000
10459        1   11734537   11751678      2       1  351827      0.12795      0.44909        0.455   1000
57085        1   11796142   11810828      1       1  351827     -0.28475      0.61208         0.61   1000
9249         1   12627939   12677820      6       2  351827      -1.2492       0.8942        0.899   1000
79180        1   15736391   15756839      4       1  351827     -0.41083       0.6594         0.64   1000
