GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     34       3  351827       1.6181     0.052818        0.058   1000
339451       1     895967     901099     53       6  351827       2.0939     0.018134        0.025   1000
84069        1     901872     910488     38       4  351827       1.6654     0.047912        0.054   1000
84808        1     910579     917473     11       2  351827       0.2842      0.38813        0.389   1000
57801        1     934342     936608     76       7  351827       1.4335     0.075855        0.075   1000
9636         1     948847     949920     43       3  351827       1.4537     0.073009        0.065   1000
375790       1     955503     991499     83      10  351827      0.33762      0.36783        0.357   1000
54991        1    1017198    1051736    155      14  351827     0.056893      0.47732        0.515   1000
8784         1    1138888    1142163      5       2  351827     -0.14004      0.55569        0.549   1000
51150        1    1152288    1167447     94       9  351827      -0.4336      0.66771        0.654   1000
126792       1    1167629    1170421    146       6  351827       -1.327      0.90775        0.901   1000
118424       1    1189292    1209234      6       1  351827      0.57268      0.28343        0.278   1000
6339         1    1215816    1227409     99       7  351827      0.41727      0.33824        0.356   1000
116983       1    1227764    1243304    212      16  351827    -0.012287       0.5049        0.505   1000
126789       1    1243962    1247057      1       1  351827     -0.66337      0.74645        0.747   1000
54973        1    1246965    1260067    202      13  351827    0.0055009      0.49781        0.496   1000
83756        1    1266726    1269844     33       1  351827     -0.23024      0.59105        0.606   1000
54998        1    1309110    1310818      6       1  351827      0.64986      0.25789        0.249   1000
55052        1    1337276    1342693    192       9  351827      -0.2792      0.60996        0.619   1000
441869       1    1353800    1356824    388      22  351827    -0.032613      0.51301        0.509   1000
219293       1    1378152    1405538    108       8  351827      0.31118      0.37783         0.37   1000
83858        1    1407139    1444852    186      15  351827        1.442     0.074649        0.088   1000
55210        1    1447523    1470067      1       1  351827     -0.23138      0.59149        0.586   1000
339453       1    1470158    1475740      6       1  351827     -0.17792      0.57061         0.56   1000
29101        1    1477053    1510262     51       3  351827     0.050707      0.47978        0.482   1000
142678       1    1550795    1565990     24       2  351827     0.052625      0.47902         0.47   1000
984          1    1571100    1590473     67      10  351827      0.20352      0.41936        0.427   1000
728661       1    1591486    1624243     80      12  351827      0.49338      0.31087        0.329   1000
728642       1    1633822    1655999     26       4  351827      0.25968      0.39756        0.396   1000
9906         1    1656277    1677438     33       6  351827      0.85471      0.19636        0.196   1000
65220        1    1682671    1711508     61       2  351827      0.23138      0.40851        0.408   1000
2782         1    1716725    1822552      1       1  351827     -0.84152      0.79997        0.797   1000
163688       1    1846266    1848733     56       5  351827      -1.0311      0.84874        0.857   1000
339456       1    1849029    1850740     19       2  351827    -0.065185      0.52599        0.548   1000
100506504    1    2113250    2115812    199      10  351827     -0.68405      0.75303        0.746   1000
199990       1    2115899    2144159     35       8  351827      0.70211      0.24131        0.254   1000
79906        1    2251719    2323190     75       8  351827     -0.33357      0.63065        0.624   1000
11079        1    2323214    2336883      7       1  351827   -0.0032711       0.5013        0.492   1000
5192         1    2336241    2344010     23       5  351827      0.20637      0.41825        0.402   1000
8764         1    2487291    2495268     27       1  351827      0.16062       0.4362        0.444   1000
127281       1    2517899    2522908    185       9  351827    -0.042249      0.51685        0.523   1000
79258        1    2522078    2564499    245      10  351827     -0.11042      0.54396        0.553   1000
100287898    1    2572807    2706230    219       8  351827      0.03491      0.48608        0.489   1000
1953         1    3404506    3528059     34       5  351827      -1.8256      0.96605        0.959   1000
127262       1    3541556    3546695     32       4  351827     -0.19282      0.57645        0.575   1000
49856        1    3547331    3566671    123      17  351827       -1.442      0.92535        0.927   1000
388588       1    3689352    3692546      3       1  351827       2.1375     0.016279        0.015   1000
57470        1    3696784    3713068    138       5  351827       0.8082      0.20949        0.198   1000
9731         1    3728645    3773797    275      11  351827      0.64494      0.25948        0.255   1000
1677         1    3773845    3801993    145       8  351827      0.99356      0.16022        0.164   1000
339448       1    3805697    3816857     74      10  351827       1.0693      0.14248        0.123   1000
261734       1    5922870    6052618    259       8  351827       1.8132     0.034903        0.044   1000
8514         1    6052358    6161253     86       7  351827       2.5943    0.0047389       0.0036   5000
26038        1    6161847    6240194     42       2  351827      -1.1845      0.88189        0.872   1000
388591       1    6266189    6281359     34      10  351827      -1.3495      0.91142        0.923   1000
23463        1    6281253    6296044    139      11  351827    -0.058783      0.52344        0.515   1000
11332        1    6324332    6453826    191       6  351827      0.21157      0.41622        0.433   1000
3104         1    6640051    6649340      4       1  351827     0.045404      0.48189        0.486   1000
9903         1    6650784    6662958     54       2  351827      0.25671       0.3987        0.391   1000
90326        1    6684925    6695646    206      17  351827     -0.52282      0.69945        0.703   1000
55735        1    6694228    6761966     44       2  351827      0.43876      0.33042        0.331   1000
9341         1    7831329    7841492    224      18  351827       1.3695     0.085416        0.082   1000
11315        1    8021714    8045342    256      11  351827      0.13813      0.44507        0.471   1000
54206        1    8071779    8086393     11       1  351827      -2.2491      0.98775        0.986   1000
50651        1    8378171    8404227     20       2  351827      0.63005      0.26433        0.266   1000
2023         1    8921059    8939151    107       4  351827     -0.63214      0.73635        0.732   1000
6518         1    9097005    9131763     59       5  351827       1.2061      0.11388        0.118   1000
80045        1    9163472    9189229     69       3  351827     -0.56556      0.71415        0.709   1000
9563         1    9294822    9331396     90      13  351827      0.30067      0.38183        0.394   1000
5293         1    9711789    9789172     31       4  351827       1.9889     0.023355        0.025   1000
