GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     15       1  351827       1.7658     0.038711        0.041   1000
84069        1     901872     910488      2       1  351827      -1.3151      0.90577        0.906   1000
54991        1    1017198    1051736     72       6  351827     -0.31706       0.6244        0.619   1000
254173       1    1109286    1133315     32       2  351827     -0.64666      0.74107        0.725   1000
8784         1    1138888    1142163      6       1  351827      -1.2409      0.89268        0.897   1000
7293         1    1146706    1149703     72       1  351827      -1.3646      0.91382        0.906   1000
126792       1    1167629    1170421    190       8  351827     -0.64822      0.74158        0.736   1000
118424       1    1189292    1209234      1       1  351827       1.6236     0.052228        0.061   1000
6339         1    1215816    1227409     35       2  351827      0.32845      0.37128        0.384   1000
54973        1    1246965    1260067    190       9  351827     0.010889      0.49566        0.477   1000
80772        1    1260136    1264276      7       1  351827     -0.86022      0.80517        0.783   1000
83756        1    1266726    1269844     55       2  351827     -0.17231       0.5684        0.549   1000
55052        1    1337276    1342693    154       7  351827     -0.40952      0.65892        0.665   1000
441869       1    1353800    1356824    225      13  351827      0.02313      0.49077        0.468   1000
64856        1    1370903    1378262      8       1  351827       1.1575      0.12352        0.124   1000
219293       1    1378152    1405538     44       4  351827      0.66375      0.25342        0.248   1000
83858        1    1407139    1444852     65       5  351827       1.6103     0.053663        0.047   1000
142678       1    1550795    1565990      1       1  351827       0.6983       0.2425        0.235   1000
984          1    1571100    1590473      9       1  351827       1.2615      0.10356        0.112   1000
728661       1    1591486    1624243     37       5  351827      0.90587       0.1825        0.186   1000
9906         1    1656277    1677438      1       1  351827     -0.84688      0.80147        0.817   1000
65220        1    1682671    1711508     76       2  351827      0.17422      0.43084        0.407   1000
339456       1    1849029    1850740     27       1  351827     0.036835      0.48531        0.475   1000
199990       1    2115899    2144159      3       1  351827      -1.3588      0.91289        0.914   1000
79906        1    2251719    2323190     15       3  351827     0.063983      0.47449        0.482   1000
11079        1    2323214    2336883      9       1  351827      -1.0564      0.85462        0.862   1000
8764         1    2487291    2495268    193       7  351827      0.15533      0.43828        0.422   1000
100287898    1    2572807    2706230     93       1  351827      0.21149      0.41625         0.39   1000
27237        1    3371147    3397677     57       4  351827      -1.4637      0.92836        0.921   1000
1953         1    3404506    3528059      6       1  351827     -0.30645      0.62037         0.63   1000
49856        1    3547331    3566671      1       1  351827      -1.9511      0.97448        0.969   1000
388588       1    3689352    3692546     22       1  351827       1.9748     0.024144        0.026   1000
1677         1    3773845    3801993    103       6  351827        1.085      0.13896        0.151   1000
339448       1    3805697    3816857     38       5  351827      0.99002      0.16108        0.179   1000
