PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4361	rs573744	9.24	rs2306627	0.133	6.07	7.349307	457	32	enet	0.16	1.5e-8	4.4134	1.02e-5
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000117395.12.wgt.RDat	ENSG00000117395.12	1	43270935	43270936	0.1621	rs11590627	-10.18	rs559834	0.0155	3.89	-3.538942	452	18	enet	0.0088	0.11	-4.55304	5.29e-6
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000117569.18.wgt.RDat	ENSG00000117569.18	1	96721664	96721665	0.1996	rs273883	-6.85	rs6673531	0.0319	-4.34	-6.101791	418	27	enet	0.065	3.1e-4	4.49719	6.89e-6
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000261168.1.wgt.RDat	ENSG00000261168.1	1	151131609	151131610	0.1252	rs6676190	-5.99	rs6587557	0.0643	4.4	-4.534166	318	3	enet	0.016	0.048	-4.46736	7.92e-6
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1697	rs4845681	13.15	rs4845681	0.0835	-4.42	13.154296	417	13	enet	0.051	0.0013	-9.82829	8.509999999999999e-23
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000163344.5.wgt.RDat	ENSG00000163344.5	1	154936990	154936991	0.257	rs4845681	13.15	rs7528532	0.237	6.69	7.398772	399	20	enet	0.19	3.2e-10	6.7923	1.1e-11
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.3926	rs4845681	13.15	rs10908452	0.27	-7.21	8.408595	378	28	enet	0.28	1.5e-14	-7.84621	4.29e-15
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000163431.12.wgt.RDat	ENSG00000163431.12	1	201946587	201946588	0.1833	rs12562614	9.18	rs4379719	0.139	5.28	5.349604	474	7	enet	0.089	2.6e-5	5.98959	2.1e-9
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.6285	rs1196366	6.6	rs2291426	0.565	-10.2	6.291535	464	29	enet	0.55	7.1e-33	-6.20507	5.47e-10
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.5186	rs1196366	6.6	rs2291426	0.437	9.13	6.291535	473	28	enet	0.46	9.7e-26	4.83749	1.31e-6
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000163032.11.wgt.RDat	ENSG00000163032.11	2	17539125	17539126	0.263	rs12710642	8.01	rs12710642	0.125	-5.52	8.012796	419	18	enet	0.094	1.5e-5	-5.68345	1.32e-8
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000273455.1.wgt.RDat	ENSG00000273455.1	3	136087881	136087882	0.0687	rs6771997	-8.31	rs6775778	0.023523	-3.48	-5.05392	262	17	enet	0.0092	0.1	5.049417	4.43e-7
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000174891.12.wgt.RDat	ENSG00000174891.12	3	158107788	158107789	0.1496	rs6779266	8.9	rs11707386	0.053131	-4.61	-0.13708	319	14	enet	0.083	4.9e-5	5.087007	3.64e-7
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000014824.13.wgt.RDat	ENSG00000014824.13	4	41990471	41990472	0.299	rs6447132	-9.57	rs4377621	0.205785	6.58	-5.155375	424	30	enet	0.21	7.6e-11	-4.49339	7.01e-6
GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Nucleus_accumbens_basal_ganglia/ENSG00000033178.12.wgt.RDat	ENSG00000033178.12	4	67701178	67701179	0.136	rs1038432	6.04	rs6825921	0.019288	-3.98	5.942697	401	17	enet	0.022	0.026	-5.88436	4e-9
