PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.1993	rs1891910	-4.64	rs3094315	0.102862	4.25	-0.146306	135	23	enet	0.1	3.6e-05	-1.28279	0.2
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3716	rs1891910	-4.64	rs3094315	0.209937	5.75	-0.146306	155	19	enet	0.22	9.4e-10	-0.44612	0.656
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.348	rs1891910	-4.64	rs3128117	0.333753	-7.19	-0.839866	183	18	enet	0.28	7.9e-13	0.4536	0.65
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.2153	rs11586188	4.78	rs9442372	0.058337	4.2	0.804079	202	18	enet	0.044	0.0054	0.96692	0.334
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.568	rs1891910	-4.64	rs6687776	0.420281	-8.04	0.08773	215	25	enet	0.43	2e-20	-0.11021	0.912
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000162571.13.wgt.RDat	ENSG00000162571.13	1	1179188	1179189	0.2125	rs1891910	-4.64	rs6668667	0.216453	5.87	2.81604	221	14	enet	0.2	3.3e-09	2.78429	0.00536
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000205231.1.wgt.RDat	ENSG00000205231.1	1	1179554	1179555	0.331	rs1891910	-4.64	rs6668667	0.271953	6.56	2.81604	221	16	enet	0.26	6.4e-12	2.71638	0.0066
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.2658	rs1891910	-4.64	rs3813204	0.00867	3.38	0.403614	227	38	enet	0.073	0.00044	-0.46829	0.64
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.388	rs1891910	-4.64	rs7515488	0.247961	-7.04	0.072682	228	11	enet	0.26	1.4e-11	0.22268	0.824
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000260179.1.wgt.RDat	ENSG00000260179.1	1	1251333	1251334	0.3078	rs1891910	-4.64	rs1815606	0.072103	4.46	0.064327	232	21	enet	0.02	0.046	-0.08196	0.935
Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2539	rs1891910	-4.64	rs12103	0.033502	4.63	-0.876247	252	30	enet	0.16	1.9e-07	-0.33329	0.739
