PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.417	rs1891910	-4.64	rs13303010	0.013841	3.31	-1.06	136	42	enet	0.027	0.046	0.11827	0.906
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.387	rs1891910	-4.64	rs6694632	0.228729	-5.82	-0.412	182	17	enet	0.33	1.7e-11	0.4859	0.627
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000273443.1.wgt.RDat	ENSG00000273443.1	1	1063287	1063288	0.318	rs1891910	-4.64	rs4075116	0.066012	-3.87	-1.14	204	17	enet	0.01	0.15	0.77764	0.437
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.469	rs1891910	-4.64	rs2031709	0.221966	-5.1	2.15	283	48	enet	0.18	1.7e-06	-2.46961	0.0135
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.28	rs3128317	-4.81	rs4074197	0.099558	4.08	0.508	292	44	enet	0.095	0.00049	0.99434	0.32
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.232	rs3128317	-4.81	rs35672141	0.035944	3.91	-1.03	315	15	enet	0.019	0.078	0.8484	0.396
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000224387.1.wgt.RDat	ENSG00000224387.1	1	2493257	2493258	0.498	rs34241773	10.5	rs2477702	0.006304	3.55	-0.123	354	34	enet	0.11	0.00014	0.05511	0.956
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000229393.1.wgt.RDat	ENSG00000229393.1	1	2494478	2494479	0.356	rs34241773	10.5	rs2477702	0.011236	4.13	-0.123	354	15	enet	0.032	0.032	0.17738	0.859
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.522	rs10915459	4.37	rs9424303	0.242458	5.53	-1.12	573	31	enet	0.14	3.2e-05	-0.62536	0.532
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.285	rs10915459	4.37	rs12726906	-0.008504	-3.64	0.412	573	24	enet	-0.003	0.42	-0.94605	0.344
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000198912.10.wgt.RDat	ENSG00000198912.10	1	3900284	3900285	0.552	rs10915459	4.37	rs7367066	0.525524	-7.79	-0.627	585	24	enet	0.52	7.9e-20	0.63726	0.524
Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000041988.15.wgt.RDat	ENSG00000041988.15	1	6624865	6624866	0.241	rs11120837	6.81	rs4582826	0.070921	3.79	0.186	434	18	enet	0.1	3e-04	0.89457	0.371
