PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3476	rs1891910	-4.64	rs3094315	0.178	5.76	-0.146306	157	33	enet	0.14	1.3e-07	-0.74718	0.455
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.178	rs1891910	-4.64	rs1695824	0.00901	-3.77	-1.891308	181	18	enet	0.026	0.016	0.78003	0.435
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.1884	rs1891910	-4.64	rs13302982	0.00104	-3.57	-0.48591	182	19	enet	0.017	0.043	-0.17901	0.858
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4503	rs1891910	-4.64	rs1891906	0.245	-6.88	-0.657189	184	30	enet	0.31	1.4e-16	0.38155	0.703
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.459	rs1891910	-4.64	rs6687776	0.277	-7.31	0.08773	216	4	enet	0.25	5.1e-13	-0.31926	0.75
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.4445	rs1891910	-4.64	rs3813204	0.205	6.31	0.403614	228	37	enet	0.18	8.3e-10	1.05225	0.293
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000078808.16.wgt.RDat	ENSG00000078808.16	1	1232030	1232031	0.1944	rs1891910	-4.64	rs7515488	0.056	4.68	0.072682	229	13	enet	0.11	3.5e-06	1.2972	0.195
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.2719	rs1891910	-4.64	rs7515488	0.076	-4.95	0.072682	229	15	enet	0.042	0.0033	0.9872	0.324
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000260179.1.wgt.RDat	ENSG00000260179.1	1	1251333	1251334	0.2389	rs1891910	-4.64	rs12036216	0.0643	4.81	-0.281037	233	16	enet	0.074	0.00011	0.33853	0.735
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.3147	rs1891910	-4.64	rs3818646	0.0273	-4.41	-0.28975	245	30	enet	0.074	0.00012	0.98315	0.326
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000162576.16.wgt.RDat	ENSG00000162576.16	1	1361776	1361777	0.1358	rs1891910	-4.64	rs34389364	0.0819	-4.16	0.240046	262	14	enet	0.033	0.0077	-0.39611	0.692
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.4079	rs1891910	-4.64	rs12089560	0.317	-8.24	0.791504	283	23	enet	0.42	2.3e-23	-0.03277	0.974
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.1119	rs1891910	-4.64	rs12044597	0.0146	3.91	-0.650084	285	21	enet	0.016	0.05	-0.4082	0.683
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.5559	rs1891910	-4.64	rs1312568	0.267	-8	-1.971506	288	90	enet	0.3	3.9e-16	2.68324	0.00729
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.3605	rs1891910	-4.64	rs2031709	0.0203	-4.79	2.149189	284	21	enet	0.087	2.9e-05	-1.78621	0.0741
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000197785.13.wgt.RDat	ENSG00000197785.13	1	1512150	1512151	0.1199	rs11586188	4.07	rs3766169	0.0086	-4.15	-0.716579	278	21	enet	0.05	0.0013	1.24176	0.214
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.1593	rs3128317	-4.81	rs1571150	0.0298	4.13	1.427751	281	7	enet	0.037	0.0053	0.70702	0.48
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000272106.1.wgt.RDat	ENSG00000272106.1	1	1615794	1615795	0.4478	rs3128317	-4.81	rs4648611	0.255	7.03	-0.875127	290	7	enet	0.24	1.1e-12	-0.70659	0.48
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.4924	rs3128317	-4.81	rs12748433	0.181	6	0.756288	306	7	enet	0.15	4.5e-08	0.70113	0.483
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.8275	rs3128317	-4.81	rs6699975	0.0929	5.35	-1.099054	306	53	enet	0.4	8.2e-22	-0.79484	0.427
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.2273	rs3128317	-4.81	rs601141	0.152	-5.76	0.708704	302	21	enet	0.17	4.3e-09	-0.40203	0.688
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.1556	rs3128317	-4.81	rs1014988	0.0791	-5.06	0.574509	288	3	enet	0.17	6.8e-09	0.12928	0.897
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.5138	rs3128317	-4.81	rs7531583	0.253	-7.49	-0.217608	316	30	enet	0.34	5.3e-18	0.19682	0.844
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000142609.17.wgt.RDat	ENSG00000142609.17	1	2003836	2003837	0.4193	rs34241773	10.5	rs4648727	0.242	-7.16	-0.936839	358	15	enet	0.27	5.4e-14	1.3197	0.187
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000233542.1.wgt.RDat	ENSG00000233542.1	1	2015529	2015530	0.3598	rs34241773	10.5	rs13303344	0.0951	-6.02	0.404241	363	11	enet	0.24	9.8e-13	-1.55895	0.119
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.4681	rs34241773	10.5	rs2503701	0.177	6.11	0.833259	374	37	enet	0.17	2.6e-09	0.3592	0.719
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000269896.2.wgt.RDat	ENSG00000269896.2	1	2352819	2352820	0.2606	rs34241773	10.5	rs3795272	0.137	-5.33	-0.254687	349	19	enet	0.073	0.00013	0.75478	0.45
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000272420.1.wgt.RDat	ENSG00000272420.1	1	2363627	2363628	0.3047	rs34241773	10.5	rs2055204	0.211	-6.52	0.330812	348	20	enet	0.18	1e-09	-0.49848	0.618
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.3694	rs34241773	10.5	rs7527871	0.0886	-5.03	1.605739	345	8	enet	0.1	6.3e-06	-0.62066	0.535
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000229393.1.wgt.RDat	ENSG00000229393.1	1	2494478	2494479	0.2437	rs34241773	10.5	rs2477702	0.19	6.08	-0.123153	355	8	enet	0.18	1.4e-09	-1.39368	0.163
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000078900.14.wgt.RDat	ENSG00000078900.14	1	3652519	3652520	0.5366	rs2651927	-4.27	rs12128253	0.000227	3.35	0.654084	543	72	enet	0.045	0.0023	-0.04996	0.96
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000130764.9.wgt.RDat	ENSG00000130764.9	1	3796503	3796504	0.215	rs10915459	4.37	rs11547615	0.049	4.85	0.528361	540	9	enet	0.08	6.1e-05	-0.0143	0.989
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.1891	rs10915459	4.37	rs7535775	-0.00378	3.6	-2.064193	572	52	enet	0.0045	0.18	-0.54686	0.584
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.5357	rs10915459	4.37	rs4073324	0.355	-8.08	-3.490787	572	35	enet	0.35	3.8e-19	1.25388	0.21
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000198912.10.wgt.RDat	ENSG00000198912.10	1	3900284	3900285	0.3287	rs10915459	4.37	rs7367066	0.254	-6.94	-0.626579	584	10	enet	0.27	3.7e-14	1.49379	0.135
Brain_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cortex/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.4499	rs11588889	-6.71	rs12120967	0.218	-7.43	-1.345545	508	49	enet	0.37	2.2e-20	1.44639	0.148
