PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000163873.9.wgt.RDat	ENSG00000163873.9	1	37034128	37034129	0.1387	rs537958	15.31	rs10796907	-0.00257	-3.59	0.88162	436	32	enet	0.042	3.6e-4	4.918131	8.74e-7
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000134256.12.wgt.RDat	ENSG00000134256.12	1	117001749	117001750	0.0874	rs10801925	-7.76	rs4659051	0.0206	-4.59	-7.730462	411	9	enet	0.045	2.2e-4	5.526461	3.27e-8
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000160685.13.wgt.RDat	ENSG00000160685.13	1	155002629	155002630	0.1817	rs4845681	13.15	rs905938	0.0612	-4.26	-2.2119	384	9	enet	0.024	0.0056	4.72936	2.25e-6
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.1837	rs4845681	13.15	rs10908452	0.0566	-4.6	8.408595	377	17	enet	0.08	1.1e-6	-6.096477	1.08e-9
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000135870.11.wgt.RDat	ENSG00000135870.11	1	174022296	174022297	0.0542	rs7536102	12.55	rs12072050	0.0125	3.56	7.616889	271	6	enet	0.026	0.0042	5.929534	3.04e-9
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.3468	rs7536102	12.55	rs17350991	0.331	9.62	11.856719	275	55	enet	0.36	1.5000000000000002e-28	9.487417	2.3700000000000003e-21
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000213047.12.wgt.RDat	ENSG00000213047.12	1	197775695	197775696	0.0686	rs4026514	10.31	rs4282851	0.0373	4.11	8.018985	335	5	enet	0.013	0.034	8.757109	2e-18
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000163050.16.wgt.RDat	ENSG00000163050.16	1	226897535	226897536	0.0748	rs7534366	7.93	rs1938386	0.0491	4.5	7.589702	491	20	enet	0.018	0.015	5.197516	2.02e-7
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3756	rs1196366	6.6	rs2291426	0.371	-10.33	6.291535	464	27	enet	0.37	1.0000000000000001e-29	-4.892157	9.97e-7
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.115	rs713587	10.96	rs1172294	0.060762	-4.68	10.276547	323	21	enet	0.044	2.7e-4	-10.96914	5.38e-28
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1093	rs2138913	-6.53	rs7574570	0.12037	-6.12	-5.501779	384	7	enet	0.09	2.5e-7	5.26259	1.42e-7
GTExv8.EUR.Esophagus_Gastroesophageal_Junction	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Gastroesophageal_Junction/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.089	rs2952769	-7.69	rs2551641	-0.003531	-3.64	-6.555115	405	21	enet	0.0014	0.24	4.74473	2.09e-6
