PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000228327.3.wgt.RDat	ENSG00000228327.3	1	778625	778626	0.1677	rs1891910	-4.64	rs4040617	0.0715	4.61	-0.30797	137	37	enet	0.05	0.00013	-0.96113	0.336
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.6987	rs1891910	-4.64	rs3094315	0.0389	4.61	-0.146306	137	29	enet	0.38	5.5e-30	0.53037	0.596
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.1571	rs1891910	-4.64	rs3094315	0.0932	5.25	-0.146306	153	33	enet	0.074	3.1e-06	1.20695	0.227
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2456	rs1891910	-4.64	rs3094315	0.172	6.94	-0.146306	156	9	enet	0.17	1.1e-12	-0.2006	0.841
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1367	rs1891910	-4.64	rs13303010	0.0612	-4.5	-1.059608	181	10	enet	0.056	4.7e-05	1.7303	0.0836
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.2173	rs1891910	-4.64	rs1891910	0.0269	-4.69	-4.643715	181	8	enet	0.069	7.1e-06	3.86794	0.00011
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.3617	rs1891910	-4.64	rs7537756	0.0625	5.65	0.127238	182	34	enet	0.17	5.4e-13	3.62475	0.000289
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.1614	rs1891910	-4.64	rs1891906	0.0931	-5.74	-0.657189	184	9	enet	0.12	4.9e-09	0.59291	0.553
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.1331	rs1891910	-4.64	rs1891906	0.00594	2.74	-0.657189	184	27	enet	-0.0033	0.73	-0.73687	0.461
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1286	rs1891910	-4.64	rs9442372	0.0201	-4.29	0.804079	187	9	enet	0.0053	0.12	-0.71804	0.473
Testis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Testis/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.0831	rs1891910	-4.64	rs4314833	0.0425	3.74	0.482721	228	13	enet	0.016	0.022	0.05048	0.96
