PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000269925.1.wgt.RDat	ENSG00000269925.1	1	7776382	7776383	0.1021	rs9434618	-5.83	rs707455	0.039	4.77	3.652684	458	15	enet	0.0098	0.014	4.84133	1.29e-6
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.1378	rs12402967	-9.03	rs6541085	0.136	8.55	-5.790087	377	13	enet	0.1	6.3e-14	-5.63557	1.74e-8
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000126091.19.wgt.RDat	ENSG00000126091.19	1	43705823	43705824	0.126	rs11590627	-10.18	rs3762423	0.0598	6.53	-6.249148	423	10	enet	0.11	3e-14	-6.09039	1.13e-9
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.10780000000000001	rs4845681	13.15	rs10796933	-2.32e-4	-3.74	-0.696849	417	27	enet	0.018	0.0014	-5.48196	4.21e-8
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000163344.5.wgt.RDat	ENSG00000163344.5	1	154936990	154936991	0.0575	rs4845681	13.15	rs705094	0.0463	5.1	7.410643	399	11	enet	0.043	1.4e-6	6.57183	4.97e-11
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.2534	rs4845681	13.15	rs11264300	0.165	-9.35	8.875752	378	26	enet	0.16	7.9e-21	-6.12149	9.27e-10
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.2007	rs7536102	12.55	rs12563301	0.175	9.56	5.526839	276	21	enet	0.18	3.1999999999999998e-24	6.50628	7.7e-11
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.2393	rs1196366	6.6	rs2291426	0.23	-11.12	6.291535	464	26	enet	0.23	2.6000000000000002e-30	-5.81896	5.92e-9
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.0531	rs713587	10.96	rs11676272	0.0574	-5.98	10.935267	320	11	enet	0.037	7e-6	-9.61107	7.18e-22
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.0355	rs713587	10.96	rs713586	0.0152	-3.79	10.751019	323	15	enet	0.013	0.0055	-7.08463	1.39e-12
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.1759	rs2138913	-6.53	rs6704784	0.139	-8.61	-5.013804	384	21	enet	0.13	1.6e-17	4.70531	2.53e-6
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1294	rs2138913	-6.53	rs6704784	0.123	-8.22	-5.013804	384	14	enet	0.12	6.6e-16	4.9657	6.85e-7
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.0568	rs2952769	-7.69	rs2709387	0.0374	-5.27	-6.992879	404	28	enet	0.028	9.9e-5	6.33866	2.32e-10
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.0856	rs13023540	14.75	rs6720403	0.0674	6.18	-7.363722	364	18	enet	0.057	3.2e-8	-6.52019	7.02e-11
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.0382	rs13023540	15.05	rs500422	0.0193	4.17	-6.422679	367	14	enet	0.012	0.0075	-5.11742	3.1e-7
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000074582.12.wgt.RDat	ENSG00000074582.12	2	218658897	218658898	0.0246	rs13023540	15.03	rs1344642	0.0145	-3.68	-5.941915	371	15	enet	0.0019	0.16	6.60503	3.97e-11
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.134	rs7626117	-8.58	rs7633769	0.096069	7.43	-5.571608	524	17	enet	0.088	4.8e-12	-5.35444	8.58e-8
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000186162.10.wgt.RDat	ENSG00000186162.10	3	10026364	10026365	0.0668	rs7626117	-8.58	rs17032278	0.026708	4.94	-6.789223	527	22	enet	0.026	1.4e-4	-5.88935	3.88e-9
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000254999.3.wgt.RDat	ENSG00000254999.3	3	10115591	10115592	0.1022	rs7626117	-8.58	rs6785976	0.104699	-7.45	-5.943018	567	13	enet	0.1	2e-13	5.70433	1.17e-8
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000154822.17.wgt.RDat	ENSG00000154822.17	3	16802650	16802651	0.0742	rs748832	11.53	rs11712047	0.043868	5.55	5.191056	481	12	enet	0.023	3.2e-4	4.69389	2.68e-6
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000182568.16.wgt.RDat	ENSG00000182568.16	3	18445587	18445588	0.0678	rs336605	6.96	rs6550461	0.04675	5.44	6.545803	363	11	enet	0.014	0.0043	6.18345	6.27e-10
GTExv8.EUR.Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000172995.16.wgt.RDat	ENSG00000172995.16	3	35638944	35638945	0.056	rs6550371	-15.09	rs17201655	0.015711	4.17	1.974128	403	7	enet	0.0044	0.072	6.50128	7.96e-11
