GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
9636         1     948847     949920      3       2  351827     -0.20216      0.58011        0.581   1000
126792       1    1167629    1170421    101       2  351827      -1.0466      0.85236        0.842   1000
116983       1    1227764    1243304      3       1  351827      0.16843      0.43312        0.414   1000
54973        1    1246965    1260067      1       1  351827      0.57419      0.28292        0.282   1000
1855         1    1270658    1284509      1       1  351827     0.052424       0.4791        0.473   1000
55052        1    1337276    1342693     21       2  351827      0.24243      0.40422        0.388   1000
441869       1    1353800    1356824     77       3  351827      0.26843      0.39418         0.38   1000
83858        1    1407139    1444852     28       1  351827       1.9543     0.025333        0.021   1000
29101        1    1477053    1510262     20       1  351827     -0.23941       0.5946        0.567   1000
984          1    1571100    1590473     13       1  351827       1.1167      0.13207        0.139   1000
728661       1    1591486    1624243     23       3  351827       1.2311      0.10915        0.118   1000
728642       1    1633822    1655999      2       1  351827      0.13914      0.44467        0.426   1000
9906         1    1656277    1677438      6       2  351827      0.55328      0.29004        0.289   1000
2782         1    1716725    1822552      4       1  351827      0.51905      0.30186          0.3   1000
163688       1    1846266    1848733      4       1  351827      -2.2778      0.98863        0.997   1000
199990       1    2115899    2144159      2       1  351827      -1.0509      0.85335        0.852   1000
79906        1    2251719    2323190     18       2  351827     -0.80323      0.78908        0.781   1000
9651         1    2407754    2436964      3       1  351827       0.8351      0.20183        0.186   1000
79258        1    2522078    2564499    179       6  351827     0.040483      0.48385        0.469   1000
100287898    1    2572807    2706230     45       1  351827     0.021554       0.4914        0.484   1000
49856        1    3547331    3566671     17       4  351827      0.65513      0.25619        0.263   1000
9731         1    3728645    3773797     42       1  351827      0.66255      0.25381        0.261   1000
1677         1    3773845    3801993     77       5  351827      0.78872      0.21514        0.199   1000
339448       1    3805697    3816857     29       5  351827      0.75922      0.22386        0.212   1000
388591       1    6266189    6281359     12       2  351827     -0.66499      0.74697        0.776   1000
23463        1    6281253    6296044     30       3  351827      0.25073      0.40101          0.4   1000
10911        1    7907672    7913551     26       2  351827       -1.177      0.88041         0.89   1000
9563         1    9294822    9331396     26       2  351827      0.61468      0.26938        0.277   1000
378708       1   10489944   10510239      5       1  351827      0.16449      0.43467        0.451   1000
93611        1   11714432   11723384      3       1  351827      -1.1365      0.87214        0.875   1000
4524         1   11845787   11866160     47       3  351827      0.58133      0.28051        0.311   1000
114827       1   15573730   15724767     94       2  351827      -1.5188      0.93559        0.928   1000
842          1   15817896   15851407    248       8  351827     -0.31977      0.62543        0.606   1000
