GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679      7       1  351827       1.8437     0.032616        0.034   1000
84808        1     910579     917473      8       2  351827      0.23574      0.40682        0.427   1000
54991        1    1017198    1051736    125      10  351827     -0.19613      0.57774        0.564   1000
8784         1    1138888    1142163     31       1  351827     -0.18379      0.57291        0.559   1000
126792       1    1167629    1170421     96       3  351827     -0.89905      0.81569        0.821   1000
6339         1    1215816    1227409     31       2  351827      0.44717      0.32737        0.302   1000
54587        1    1288071    1297183     28       2  351827     -0.91385       0.8196         0.82   1000
55052        1    1337276    1342693    142       6  351827     -0.47967      0.68427        0.682   1000
441869       1    1353800    1356824    256      10  351827    -0.016887      0.50674        0.498   1000
219293       1    1378152    1405538     85       8  351827      0.93076      0.17599        0.171   1000
83858        1    1407139    1444852     87       7  351827       1.4724     0.070455        0.059   1000
29101        1    1477053    1510262     38       2  351827    0.0086418      0.49655        0.512   1000
728661       1    1591486    1624243     33       4  351827      0.91315      0.18058         0.19   1000
65220        1    1682671    1711508      4       2  351827     -0.33253      0.63026        0.643   1000
85452        1    1853390    1935276    162       9  351827      0.59392      0.27628        0.275   1000
79906        1    2251719    2323190     55       6  351827     -0.12847      0.55111        0.556   1000
5192         1    2336241    2344010      6       2  351827      0.22004      0.41292        0.427   1000
55229        1    2439975    2458061     34       1  351827      0.14301      0.44314        0.465   1000
127281       1    2517899    2522908     81       1  351827      0.02243      0.49105        0.496   1000
79258        1    2522078    2564499     15       2  351827      0.62548      0.26583        0.254   1000
1677         1    3773845    3801993     99       6  351827      0.86827      0.19262         0.18   1000
339448       1    3805697    3816857      8       1  351827    -0.099165       0.5395        0.496   1000
261734       1    5922870    6052618    181       5  351827       1.1151       0.1324        0.127   1000
23463        1    6281253    6296044     45       4  351827    -0.060571      0.52415        0.503   1000
387509       1    6307406    6321035     20       1  351827      -1.2696      0.89789        0.908   1000
57449        1    6526152    6580121      1       1  351827     -0.40446      0.65706        0.648   1000
90326        1    6684925    6695646     11       1  351827     -0.90301      0.81674        0.797   1000
9341         1    7831329    7841492      1       1  351827      -2.5185      0.99411         0.99   1000
11315        1    8021714    8045342      1       1  351827      0.30395      0.38058        0.371   1000
54206        1    8071779    8086393      1       1  351827     -0.16069      0.56383        0.548   1000
50651        1    8378171    8404227      2       1  351827      0.79078      0.21454        0.218   1000
473          1    8412464    8877699     11       1  351827       2.2318     0.012813        0.014   1000
5293         1    9711789    9789172     14       1  351827       2.3123     0.010381        0.011   1000
378708       1   10489944   10510239      9       1  351827     -0.57476      0.71727        0.721   1000
5195         1   10535003   10690815      5       1  351827    -0.047306      0.51887        0.546   1000
93611        1   11714432   11723384      1       1  351827       0.3561      0.36088        0.362   1000
4878         1   11905766   11907840      3       1  351827     -0.39834      0.65481        0.654   1000
5351         1   11994724   12035599      8       1  351827      0.34731      0.36418        0.355   1000
9927         1   12040238   12073572      2       1  351827     -0.47595      0.68294        0.654   1000
60672        1   12079299   12092106      2       1  351827      0.39467      0.34654        0.368   1000
10630        1   13910252   13944452      5       2  351827     -0.34322      0.63428        0.629   1000
23341        1   15853343   15898228     88       1  351827     0.012366      0.49507        0.495   1000
79814        1   15898194   15911605    130       5  351827     -0.31493      0.62359        0.621   1000
284723       1   16062721   16067884     68       5  351827      0.20917      0.41716         0.41   1000
