PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4412	rs573744	9.242	rs2306627	0.310484	6.74	7.349307	456	16	enet	0.26	8.3e-11	5.6810600000000004	1.34e-8
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000225075.1.wgt.RDat	ENSG00000225075.1	1	112696620	112696621	0.1645	rs12122331	-7.392	rs12144044	0.006945	-3.46	-2.236555	314	26	enet	0.056	0.0027	4.90706	9.25e-7
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.1744	rs7536102	12.552	rs6670617	0.08642	4.8	5.775817	275	31	enet	0.094	1.3e-4	4.54875	5.4e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.2011	rs7536102	12.552	rs1951626	0.196493	5.37	5.76931	275	23	enet	0.21	8.8e-9	5.8209	5.85e-9
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000238078.1.wgt.RDat	ENSG00000238078.1	1	220829254	220829255	0.3796	rs2807857	6.984	rs11118622	0.211094	6.29	3.093217	397	11	enet	0.28	7.1e-12	4.42265	9.75e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.323	rs1196366	6.601	rs2050632	0.292359	-6.59	6.355119	464	25	enet	0.29	2.3e-12	-5.26057	1.44e-7
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.5266	rs1196366	6.601	rs10927369	0.42928500000000003	7.89	5.985532	473	29	enet	0.43	5e-19	4.6214	3.81e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000223466.1.wgt.RDat	ENSG00000223466.1	2	195533034	195533035	0.2222	rs6724756	-6.44	rs17177798	0.114931	-5.02	-4.1808	338	12	enet	0.099	8.5e-5	4.450696	8.56e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000135929.8.wgt.RDat	ENSG00000135929.8	2	218781755	218781756	0.1728	rs13023540	16.89	rs4674332	0.038886	3.4	-8.43302	374	32	enet	0.0043	0.21	-8.195597	2.49e-16
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000159788.18.wgt.RDat	ENSG00000159788.18	4	3314146	3314147	0.2535	rs3775068	-10.34	rs2281470	0.038796	-4.2	0.41726	403	16	enet	0.1	8e-5	-4.76965	1.85e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000178177.15.wgt.RDat	ENSG00000178177.15	4	18021875	18021876	0.2991	rs6841071	6.18	rs6841071	0.122456	-4.29	6.17935	308	17	enet	0.098	9.2e-5	-4.36719	1.26e-5
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000270681.1.wgt.RDat	ENSG00000270681.1	4	151139990	151139991	0.1099	rs6846323	7.22	rs10857253	0.058044	-3.9	6.58257	268	28	enet	0.036	0.014	-4.69042	2.73e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000064692.18.wgt.RDat	ENSG00000064692.18	5	122311690	122311691	0.2421	rs12652819	-9.06	rs1369044	0.003353	4.13	8.0358	345	14	enet	0.0048	0.2	6.6276	3.41e-11
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000250328.5.wgt.RDat	ENSG00000250328.5	5	122479086	122479087	0.3437	rs6868061	8.45	rs2242223	0.195871	5.74	7.73424	336	27	enet	0.2	1.5e-8	6.8586	6.95e-12
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000213347.10.wgt.RDat	ENSG00000213347.10	5	177312756	177312757	0.1772	rs11952102	-8.19	rs11949767	0.060744	4.35	-7.96796	310	8	enet	0.029	0.024	-4.8843	1.04e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000198945.7.wgt.RDat	ENSG00000198945.7	6	130013698	130013699	0.73	rs9375683	8.34	rs6569648	0.42052	7.73	-6.29873	560	55	enet	0.47	2.3e-21	-5.65888	1.52e-8
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000228019.1.wgt.RDat	ENSG00000228019.1	7	67308355	67308356	0.2293	rs7782163	11.09	rs956523	0.109	-4.23	-1.6459	366	29	enet	0.11	5.1e-5	4.4531	8.46e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000104447.12.wgt.RDat	ENSG00000104447.12	8	115809672	115809673	0.3103	rs231166	5.42	rs2737250	0.022896	-3.76	-1.867183	288	36	enet	0.0057	0.18	4.43612	9.16e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000227603.1.wgt.RDat	ENSG00000227603.1	9	93437120	93437121	0.522	rs7853605	8.89	rs6479494	0.393061	7.61	5.35707	492	13	enet	0.38	2e-16	4.80079	1.58e-6
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000125485.17.wgt.RDat	ENSG00000125485.17	9	132670033	132670034	0.5045	rs3739905	-7.74	rs11243850	0.33444	7.03	-7.68751	535	24	enet	0.28	1.3e-11	-6.32032	2.61e-10
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000187122.16.wgt.RDat	ENSG00000187122.16	10	97185919	97185920	0.282	rs4919096	-12.39	rs701814	0.128151	5.51	-5.371759	437	26	enet	0.12	1.8e-5	-5.1925	2.07e-7
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000130413.15.wgt.RDat	ENSG00000130413.15	11	8594288	8594289	0.1389	rs2073685	8.35	rs7947230	0.050772	3.89	7.83744	515	10	enet	0.0084	0.14	4.41681	1e-5
GTExv8.EUR.Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000134780.9.wgt.RDat	ENSG00000134780.9	11	61680432	61680433	0.2157	rs12791961	-10.08	rs2238001	0.030619	-3.5	0.48245	359	22	enet	0.021	0.049	-5.0585	4.23e-7
