PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.547	rs573744	9.24	rs4653329	0.37617	6.68	7.36	454	31	enet	0.39	4.6e-14	6.5392	6.19e-11
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.536	rs1196366	6.6	rs10927361	0.482661	-7.47	6.01	459	14	enet	0.45	2.6e-16	-6.07944	1.21e-9
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.534	rs1196366	6.6	rs11590498	0.461964	7.46	6.06	468	25	enet	0.46	5e-17	5.16554	2.4e-7
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000158411.11.wgt.RDat	ENSG00000158411.11	2	99181057	99181058	0.192	rs1607255	8.38	rs2871244	0.0189	-3.84	5.492949	302	29	enet	0.009	0.16	-4.30044	1.7e-5
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000227403.1.wgt.RDat	ENSG00000227403.1	2	161244738	161244739	0.8088	rs1114338	10.14	rs10930013	0.56	-7.99	5.848034	385	31	enet	0.54	7.1e-21	-4.993	5.94e-7
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000235724.8.wgt.RDat	ENSG00000235724.8	2	161270682	161270683	0.3497	rs1114338	10.14	rs1921310	0.172	-5.4	7.412837	379	31	enet	0.23	5.8e-8	-9.4083	5.040000000000001e-21
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000135929.8.wgt.RDat	ENSG00000135929.8	2	218781755	218781756	0.1136	rs13023540	16.84	rs7607369	0.0693	3.67	-5.657232	367	5	enet	0.025	0.052	-4.68232	2.84e-6
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000272555.1.wgt.RDat	ENSG00000272555.1	2	218818689	218818690	0.134	rs13023540	18.83	rs4674332	0.0332	3.59	-8.433015	364	7	enet	0.0041	0.23	-7.71283	1.23e-14
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000254999.3.wgt.RDat	ENSG00000254999.3	3	10115591	10115592	0.255	rs7626117	-8.58	rs279545	0.11059	-4.01	-7.57908	563	40	enet	0.0086	0.16	5.10044	3.39e-7
GTExv8.EUR.Minor_Salivary_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Minor_Salivary_Gland/ENSG00000261786.1.wgt.RDat	ENSG00000261786.1	3	44117487	44117488	0.33	rs11130015	9.62	rs11130016	0.08942	-3.98	6.0904	338	36	enet	0.029	0.038	-5.57846	2.43e-8
