PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.2906	rs1891910	-4.64	rs3094315	0.118	6.03	-0.146306	137	15	enet	0.21	3e-17	-0.622	0.534
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.3795	rs1891910	-4.64	rs3094315	0.171	7.15	-0.146306	153	39	enet	0.14	1.6e-11	-0.32	0.749
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2979	rs1891910	-4.64	rs3094315	0.21	7.99	-0.146306	156	30	enet	0.19	1.1e-15	0.153	0.878
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4768	rs1891910	-4.64	rs3128117	0.357	-10.51	-0.839866	184	21	enet	0.38	1.3e-32	0.467	0.64
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000187608.8.wgt.RDat	ENSG00000187608.8	1	1001137	1001138	0.1718	rs1891910	-4.64	rs2465126	0.0654	-5.1	-0.081075	184	15	enet	0.051	5.3e-05	0.848	0.396
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.119	rs11586188	4.77	rs7526076	0.105	5.95	-1.493504	203	8	enet	0.097	3.1e-08	-0.614	0.539
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1447	rs1891910	-4.64	rs9442372	0.065	-5.93	0.804079	216	8	enet	0.059	1.4e-05	-0.221	0.825
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1189	rs1891910	-4.64	rs7528416	0.0949	-5.95	0.152286	229	17	enet	0.091	8.4e-08	-0.181	0.857
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.0961	rs1891910	-4.64	rs873927	-0.00151	3.94	-2.110946	253	27	enet	0.031	0.0014	-0.975	0.329
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1772	rs1891910	-4.64	rs35242196	0.113	6.14	-0.583314	276	7	enet	0.08	4.6e-07	-0.836	0.403
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000272455.1.wgt.RDat	ENSG00000272455.1	1	1409095	1409096	0.093	rs1891910	-4.64	rs604618	0.0521	-5.05	0.023594	276	7	enet	0.058	1.7e-05	-0.289	0.773
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2777	rs1891910	-4.64	rs12089560	0.288	-9.25	0.791504	283	7	enet	0.25	6e-20	-0.45	0.652
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.1127	rs1891910	-4.64	rs1695824	0.0198	-4.78	-1.891308	288	9	enet	0.033	0.001	1.03	0.304
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.6798	rs1891910	-4.64	rs2031709	0.303	-9.4	2.149189	285	37	enet	0.31	3.6e-25	-3.74	0.000187
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000197530.12.wgt.RDat	ENSG00000197530.12	1	1615878	1615879	0.1752	rs3128317	-4.81	rs4648611	0.0736	4.87	-0.875127	290	19	enet	0.073	1.5e-06	0.215	0.83
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000248333.8.wgt.RDat	ENSG00000248333.8	1	1659011	1659012	0.2418	rs3128317	-4.81	rs909823	0.107	5.74	0.598222	309	16	enet	0.091	7.7e-08	-0.0318	0.975
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.5515	rs3128317	-4.81	rs6604981	0.285	9.42	1.827854	306	8	enet	0.24	1.3e-19	1.54	0.124
Colon_Transverse	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Transverse/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7882	rs3128317	-4.81	rs4648786	0.115	-6.8	0.123343	306	22	enet	0.39	1.4e-33	-0.893	0.372
