PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2291	rs1891910	-4.64	rs1891910	-0.00639	3.33	-4.64	180	24	enet	-0.0039	0.53	-3.03489	0.00241
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.251	rs1891910	-4.64	rs3128117	0.149	-5.8	-0.84	183	21	enet	0.17	4.5e-08	0.47493	0.635
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.3871	rs1891910	-4.64	rs6687776	0.153	-5.9	0.0877	215	4	enet	0.23	1.8e-10	-0.47183	0.637
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2328	rs1891910	-4.64	rs12142199	0.172	5.48	-1.04	252	3	enet	0.07	0.00051	-0.91774	0.359
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.181	rs1891910	-4.64	rs17160669	0.148	5.19	-1.05	275	7	enet	0.092	6.8e-05	-1.00728	0.314
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.3609	rs1891910	-4.64	rs12089560	0.242	-6.9	0.792	282	31	enet	0.25	2.3e-11	-0.86251	0.388
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.4402	rs1891910	-4.64	rs873927	0.282	-6.73	-2.11	287	11	enet	0.26	4.3e-12	0.35566	0.722
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.505	rs1891910	-4.64	rs2031709	0.256	-6.47	2.15	284	14	enet	0.22	3.4e-10	-2.60307	0.00924
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.2022	rs3128317	-4.81	rs7290	0.113	5.07	-1.01	280	12	enet	0.054	0.0021	-0.3697	0.712
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.728	rs3128317	-4.81	rs4648786	0.16	-5.2	-0.0123	305	19	enet	0.2	3.4e-09	-0.3167	0.751
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.5459	rs3128317	-4.81	rs6699975	0.114	-4.4	-1.1	294	52	enet	0.26	9e-12	1.95396	0.0507
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.3719	rs3128317	-4.81	rs2803329	0.164	-6.07	-0.0846	317	14	enet	0.13	2.4e-06	0.30093	0.763
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.4467	rs34241773	10.5	rs2503701	0.0638	5.39	0.858	376	16	enet	0.12	3.7e-06	0.8513	0.395
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.4771	rs2651927	-4.27	rs1181889	-0.00214	-3.88	-1.34	539	96	enet	-0.0025	0.43	-0.42358	0.672
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.5086	rs10915459	4.37	rs4073324	0.19	-6.33	-3.49	570	16	enet	0.28	9.2e-13	0.45418	0.65
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000270171.1.wgt.RDat	ENSG00000270171.1	1	7694843	7694844	0.397	rs9434618	-5.83	rs12756299	0.332	-7.21	-1	463	12	enet	0.25	1.1e-11	0.77212	0.44
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000238290.1.wgt.RDat	ENSG00000238290.1	1	8026737	8026738	0.2095	rs9434618	-5.83	rs9756	0.18	5.45	0.748	368	12	enet	0.11	2.1e-05	0.19553	0.845
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000054523.17.wgt.RDat	ENSG00000054523.17	1	10210804	10210805	0.1321	rs12402967	-9.03	rs4240911	0.0505	4.11	-4.22	348	5	enet	-0.0035	0.5	-4.2759	1.9e-05
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000175279.21.wgt.RDat	ENSG00000175279.21	1	10430782	10430783	0.3112	rs12402967	-9.03	rs2847337	0.0323	3.95	0.454	382	24	enet	0.016	0.06	1.5598	0.119
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000171824.13.wgt.RDat	ENSG00000171824.13	1	11098155	11098156	0.2965	rs7530509	3.78	rs727974	0.057	4.12	-0.23	357	26	enet	0.013	0.085	0.31578	0.752
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.5127	rs1148471	6.54	rs198405	0.356	-7.69	-1.95	474	26	enet	0.39	3.1e-18	1.47778	0.139
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000083444.16.wgt.RDat	ENSG00000083444.16	1	11934204	11934205	0.3208	rs1148471	6.54	rs2180180	0.0656	-4.27	-0.311	459	4	enet	0.0099	0.11	0.23936	0.811
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000132906.17.wgt.RDat	ENSG00000132906.17	1	15526533	15526534	0.2041	rs578771	3.77	rs1862710	0.0485	-4.05	0.0919	506	25	enet	0.0086	0.13	-0.07091	0.943
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000162461.7.wgt.RDat	ENSG00000162461.7	1	15736404	15736405	0.3511	rs11801060	-4.15	rs7539884	0.256	-6.56	0.411	444	5	enet	0.24	3.4e-11	-0.23633	0.813
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000186510.11.wgt.RDat	ENSG00000186510.11	1	16018874	16018875	0.24	rs11801060	-4.15	rs1805152	0.243	6.42	-0.465	384	6	enet	0.22	3.3e-10	-0.64759	0.517
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000232456.1.wgt.RDat	ENSG00000232456.1	1	16040028	16040029	0.3854	rs11801060	-4.15	rs12728542	0.0866	5.2	-0.731	377	6	enet	0.14	9.3e-07	0.04274	0.966
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000142632.16.wgt.RDat	ENSG00000142632.16	1	16212608	16212609	0.3024	rs11801060	-4.15	rs221045	0.139	5.2	-0.185	333	29	enet	0.16	2.1e-07	0.14783	0.882
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000037637.10.wgt.RDat	ENSG00000037637.10	1	16352453	16352454	0.3134	rs11801060	-4.15	rs964042	0.119	-5.01	1.66	269	43	enet	0.13	2.2e-06	-1.29001	0.197
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000226029.1.wgt.RDat	ENSG00000226029.1	1	16460947	16460948	0.2325	rs11801060	-4.15	rs12093260	0.0877	5.06	0.0472	234	7	enet	0.1	2.6e-05	0.19159	0.848
Brain_Hypothalamus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hypothalamus/ENSG00000186301.8.wgt.RDat	ENSG00000186301.8	1	16645621	16645622	0.2768	rs12408813	2.46	rs761423	0.0984	4.74	1.45	259	17	enet	0.12	5.2e-06	1.09638	0.273
