PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000158748.3.wgt.RDat	ENSG00000158748.3	1	19665286	19665287	0.1978	rs6693503	6.81	rs7533981	0.153	-6.12	3.892952	534	10	enet	0.17	5.9e-9	-4.960043	7.05e-7
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000188786.9.wgt.RDat	ENSG00000188786.9	1	37859619	37859620	0.1284	rs573744	9.24	rs473279	0.0447	-3.98	5.361288	457	7	enet	0.0012	0.27	-6.558524	5.43e-11
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.8226	rs573744	9.24	rs2306627	0.591	10.29	7.349307	456	27	enet	0.68	3.8999999999999995e-46	4.79363	1.64e-6
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000117569.18.wgt.RDat	ENSG00000117569.18	1	96721664	96721665	0.2797	rs273883	-6.85	rs273885	0.176	-5.95	-6.352047	419	11	enet	0.1	7.6e-6	6.106483	1.02e-9
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000143434.15.wgt.RDat	ENSG00000143434.15	1	151146663	151146664	0.3929	rs6676190	-5.99	rs12087892	0.313	7.78	-4.474769	312	14	enet	0.33	1.5e-17	-4.792668	1.65e-6
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.3213	rs4845681	13.15	rs3811448	0.293	-7.36	4.167512	403	9	enet	0.25	7.6e-13	-4.72055	2.35e-6
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.1401	rs4845681	13.15	rs6671688	0.0246	-3.92	6.598138	378	12	enet	0.017	0.046	-7.030264	2.06e-12
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.4802	rs1196366	6.6	rs2291426	0.318	-7.6	6.291535	464	60	enet	0.23	6.4e-12	-4.87706	1.08e-6
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1352	rs2138913	-6.53	rs1823913	0.100293	-5.01	-5.086748	382	12	enet	0.09	2.6e-5	4.921307	8.6e-7
GTExv8.EUR.Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.2098	rs13023540	14.76	rs6720403	0.049713	4.71	-7.363722	358	59	enet	0.13	2.7e-7	-6.622958	3.52e-11
