PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.2183	rs12402967	-9.03	rs6541085	0.154281	8.14	-5.79	377	21	enet	0.11	6.3e-12	-4.994866	5.89e-7
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000162373.12.wgt.RDat	ENSG00000162373.12	1	48776968	48776969	0.0834	rs12739065	-9.81	rs7529802	0.065769	-5.79	-9.37	385	11	enet	0.065	2.2e-7	7.791713	6.61e-15
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000117569.18.wgt.RDat	ENSG00000117569.18	1	96721664	96721665	0.1514	rs273883	-6.85	rs17115670	0.001848	3.76	-6.5	419	44	enet	0.0054	0.079	-4.537626	5.69e-6
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000134256.12.wgt.RDat	ENSG00000134256.12	1	117001749	117001750	0.1629	rs10801925	-7.76	rs3736908	0.086661	-6.54	-7.05	412	18	enet	0.072	5.2e-8	6.372398	1.86e-10
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000160685.13.wgt.RDat	ENSG00000160685.13	1	155002629	155002630	0.1565	rs4845681	13.15	rs905938	0.13221	-7.23	-2.21	385	9	enet	0.13	8.2e-14	5.000493	5.72e-7
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.152	rs4845681	13.15	rs6680600	0.054838	-4.99	8.42	378	14	enet	0.037	8.6e-5	-7.426017	1.12e-13
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.4191	rs7536102	12.55	rs6676161	0.431827	13.03	12	276	46	enet	0.48	5.1e-57	9.859981	6.209999999999999e-23
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000213047.12.wgt.RDat	ENSG00000213047.12	1	197775695	197775696	0.0378	rs4026514	10.31	rs4915564	0.038696	4.3	8.73	335	2	enet	0.0078	0.046	8.779674	1.64e-18
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000117139.16.wgt.RDat	ENSG00000117139.16	1	202809469	202809470	0.1025	rs4245713	6.47	rs4950740	0.016837	-4.56	5.35	449	11	enet	0.012	0.019	-5.262857	1.42e-7
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.1311	rs713587	10.96	rs11676272	0.0657	-5.55	10.935267	323	10	enet	0.054	2.6e-6	-7.05102	1.78e-12
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000115464.14.wgt.RDat	ENSG00000115464.14	2	61470768	61470769	0.0746	rs7591402	9.81	rs17008405	0.00893	4.06	8.436992	299	4	enet	0.0025	0.16	7.54282	4.6e-14
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000143951.15.wgt.RDat	ENSG00000143951.15	2	63827842	63827843	0.0789	rs9309355	-13.93	rs1878507	0.0456	5.16	3.011929	314	18	enet	0.061	5.2e-7	5.0003	5.72e-7
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1163	rs2138913	-6.53	rs13013390	0.0972	-6.74	-4.266614	384	6	enet	0.083	5.7e-9	4.84432	1.27e-6
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000135912.10.wgt.RDat	ENSG00000135912.10	2	218710844	218710845	0.0417	rs13023540	13.76	rs4674332	0.0388	-4.36	-8.433015	377	2	enet	0.015	0.009	7.98874	1.36e-15
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.1227	rs7626117	-8.58	rs3732967	0.142275	7.91	-5.6	523	29	enet	0.16	2.1e-16	-5.84069	5.2e-9
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000186162.10.wgt.RDat	ENSG00000186162.10	3	10026364	10026365	0.0577	rs7626117	-8.58	rs17535749	0.008667	4	-6.35	526	9	enet	0.01	0.025	-7.40742	1.29e-13
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000254999.3.wgt.RDat	ENSG00000254999.3	3	10115591	10115592	0.0607	rs7626117	-8.58	rs41464050	0.060181	-5.27	-5.67	566	22	enet	0.028	5.5e-4	5.46422	4.65e-8
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000134086.7.wgt.RDat	ENSG00000134086.7	3	10141007	10141008	0.1087	rs7626117	-8.58	rs779805	0.015919	-4.82	-1.94	585	24	enet	0.024	0.0014	5.03141	4.87e-7
GTExv8.EUR.Esophagus_Muscularis	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Muscularis/ENSG00000144647.5.wgt.RDat	ENSG00000144647.5	3	43106075	43106076	0.0554	rs17075630	6.39	rs9878975	0.007842	3.45	-4.45	372	33	enet	0.0022	0.17	-5.54148	3e-8
