PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000229431.1.wgt.RDat	ENSG00000229431.1	1	43385112	43385113	0.1445	rs11590627	-10.18	rs4141741	0.01036	-3.54	-3.176578	457	10	enet	0.013	0.082	4.63513	3.57e-6
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000117448.13.wgt.RDat	ENSG00000117448.13	1	45550542	45550543	0.1879	rs518216	6.26	rs518216	0.152082	5.25	6.258491	287	3	enet	0.057	0.0015	5.562853	2.65e-8
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000270361.1.wgt.RDat	ENSG00000270361.1	1	154937369	154937370	0.1988	rs4845681	13.15	rs4971100	0.029751	-3.41	-0.719393	397	31	enet	0.0027	0.23	-5.171251	2.33e-7
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.5266	rs4845681	13.15	rs10908453	0.364303	-7.67	8.52066	375	30	enet	0.3	5.3e-14	-7.796685	6.36e-15
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000163357.10.wgt.RDat	ENSG00000163357.10	1	155033823	155033824	0.1753	rs4845681	13.15	rs10908452	0.134293	-4.84	8.408595	375	26	enet	0.11	8.5e-6	-7.8496	4.17e-15
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000274702.1.wgt.RDat	ENSG00000274702.1	1	187632165	187632166	0.1861	rs7536627	6.93	rs1032538	-0.003827	-3.63	3.750161	454	28	enet	-0.0064	0.96	-4.943919	7.66e-7
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000143641.9.wgt.RDat	ENSG00000143641.9	1	230057989	230057990	0.322	rs7529009	12.67	rs1967707	0.080881	4.81	11.2398	496	11	enet	0.091	7.1e-5	5.935943	2.92e-9
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000201758.1.wgt.RDat	ENSG00000201758.1	1	244943909	244943910	0.434	rs1196366	6.6	rs2291426	0.367506	-7.69	6.291535	450	22	enet	0.33	3e-15	-5.654071	1.57e-8
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.4566	rs1196366	6.6	rs2291426	0.210122	-6.38	6.291535	464	25	enet	0.21	7.2e-10	-5.462216	4.7e-8
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.2009	rs713587	10.96	rs1982200	0.134287	-4.81	9.555276	322	10	enet	0.11	9.2e-6	-7.215129	5.39e-13
GTExv8.EUR.Brain_Cerebellar_Hemisphere	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellar_Hemisphere/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.2197	rs13023540	14.82	rs526897	0.107842	-4.96	-8.259468	362	36	enet	0.097	4.2e-5	6.626912	3.43e-11
