PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000197056.9.wgt.RDat	ENSG00000197056.9	1	35059785	35059786	0.1338	rs6671294	-6.01	rs3863722	0.0675	5.6	-4.607246	301	10	enet	0.08	1.1e-7	-4.72	2.41e-6
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000259943.1.wgt.RDat	ENSG00000259943.1	1	40257966	40257967	0.0611	rs12730176	-6.61	rs5029454	0.0516	-4.33	-6.396945	403	15	enet	0.034	4.4e-4	5	5.77e-7
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000142949.16.wgt.RDat	ENSG00000142949.16	1	43525186	43525187	0.1329	rs11590627	-10.18	rs11210869	0.0425	-5.23	-9.762739	443	17	enet	0.061	3.6e-6	5.02	5.18e-7
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000117411.16.wgt.RDat	ENSG00000117411.16	1	43978942	43978943	0.0872	rs11590627	-10.18	rs11210859	0.0177	3.7	-9.763023	411	4	enet	-0.0011	0.43	-8.37	5.92e-17
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000143515.16.wgt.RDat	ENSG00000143515.16	1	154325552	154325553	0.1552	rs2229238	6.19	rs11586379	0.035	-4.6	-2.408201	386	25	enet	0.045	6.3e-5	4.66	3.17e-6
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.052	rs4845681	13.15	rs6699080	0.0336	-4.3	10.952091	397	12	enet	0.014	0.019	-9.46	2.9900000000000004e-21
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.1194	rs4845681	13.15	rs11264298	0.097	-5.95	8.570739	378	12	enet	0.097	5e-9	-8	1.27e-15
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000169242.11.wgt.RDat	ENSG00000169242.11	1	155127459	155127460	0.0732	rs4845681	13.15	rs11264275	-0.00274	3.58	8.246972	355	12	enet	-0.0019	0.54	5.49	4.11e-8
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000143641.9.wgt.RDat	ENSG00000143641.9	1	230057989	230057990	0.1803	rs7529009	12.67	rs11620	0.0603	-4.59	-1.551676	493	33	enet	0.078	1.5e-7	-4.64	3.55e-6
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3469	rs1196366	6.6	rs2291426	0.367	-11.04	6.291535	463	10	enet	0.36	1.7e-33	-4.68	2.91e-6
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000082438.15.wgt.RDat	ENSG00000082438.15	2	164843678	164843679	0.0751	rs10184275	-8.13	rs3769885	0.0574	-4.51	-5.259861	374	1	enet	0.0028	0.17	5.259861	1.44e-7
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000128641.18.wgt.RDat	ENSG00000128641.18	2	191245184	191245185	0.1703	rs2138913	-6.53	rs4853575	0.173	-7.84	-5.018096	383	16	enet	0.16	1.2e-14	5.03224	4.85e-7
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000227542.1.wgt.RDat	ENSG00000227542.1	2	191246171	191246172	0.0663	rs2138913	-6.53	rs1356446	-7.49e-4	-3.54	-6.433186	383	6	enet	0.0042	0.12	6.19578	5.8e-10
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.1167	rs2952769	-7.69	rs2709370	0.0788	-5.59	-6.907041	401	12	enet	0.088	2.5e-8	5.632895	1.77e-8
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.0548	rs13023540	14.75	rs10932782	0.0184	3.8	-8.035626	363	6	enet	0.007	0.069	-8.019099	1.07e-15
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.2141	rs13023540	15.05	rs10932782	0.262	-9.38	-8.035626	366	43	enet	0.25	7.9e-23	7.777497	7.4e-15
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000163482.11.wgt.RDat	ENSG00000163482.11	2	218672740	218672741	0.0432	rs13023540	14.39	rs500422	0.0286	-4.19	-6.422679	373	9	enet	0.024	0.0027	12.771547	2.36e-37
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.0754	rs7626117	-8.58	rs7652935	0.044034	4.36	-6.907458	522	37	enet	0.022	0.004	-6.660754	2.72e-11
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000248360.7.wgt.RDat	ENSG00000248360.7	4	14888168	14888169	0.1858	rs1494957	7.87	rs966311	0.068806	5.23	7.41	482	31	enet	0.046	4.9e-5	5.97	2.32e-9
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000273133.1.wgt.RDat	ENSG00000273133.1	4	15564252	15564253	0.0851	rs12508186	8.9	rs4270584	0.050329	4.52	6.82	546	17	enet	0.015	0.016	5.1	3.37e-7
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000033178.12.wgt.RDat	ENSG00000033178.12	4	67701178	67701179	0.1825	rs1038432	6.04	rs1548119	0.167581	-7.57	4.83	400	19	enet	0.15	9e-14	-5.21	1.84e-7
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000270681.1.wgt.RDat	ENSG00000270681.1	4	151139990	151139991	0.0502	rs6846323	7.22	rs1148652	0.021668	-4.25	5.91	268	19	enet	0.0049	0.11	-4.66	3.16e-6
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000068796.16.wgt.RDat	ENSG00000068796.16	5	62306161	62306162	0.0839	rs10514933	16.409	rs10514933	0.110288	-6.2	16.4	386	13	enet	0.078	1.5e-7	-12.70702	5.41e-37
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000183323.12.wgt.RDat	ENSG00000183323.12	5	69332808	69332809	0.177	rs2010352	-10.102	rs12187268	0.108002	-6.2	-6.55	231	21	enet	0.16	5.5e-14	5.11685	3.11e-7
GTExv8.EUR.Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000145736.14.wgt.RDat	ENSG00000145736.14	5	71067651	71067652	0.7015	rs6453406	-4.148	rs6453406	0.381418	11.27	-4.15	51	23	enet	0.39	4.3e-37	-4.5422	5.57e-6
