GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     62       8  351827       1.3106     0.094992        0.099   1000
339451       1     895967     901099     32       6  351827     -0.44507      0.67187        0.658   1000
84808        1     910579     917473      1       1  351827       1.5448     0.061198        0.068   1000
57801        1     934342     936608     55       4  351827       1.2216      0.11093        0.103   1000
375790       1     955503     991499     92       6  351827      0.42693      0.33472        0.311   1000
54991        1    1017198    1051736    222      18  351827      0.23333      0.40775        0.402   1000
254173       1    1109286    1133315     22       3  351827     -0.46708      0.67978        0.663   1000
8784         1    1138888    1142163    155      11  351827      -1.1486      0.87463        0.881   1000
126792       1    1167629    1170421    143       5  351827      -1.3201       0.9066        0.916   1000
118424       1    1189292    1209234      7       2  351827      0.43561      0.33156        0.318   1000
6339         1    1215816    1227409     43       4  351827      0.33798      0.36769        0.376   1000
116983       1    1227764    1243304    248      19  351827      0.12032      0.45212        0.462   1000
126789       1    1243962    1247057     55       4  351827      0.15547      0.43823        0.418   1000
54973        1    1246965    1260067    291      13  351827      0.26899      0.39397        0.395   1000
83756        1    1266726    1269844    109       4  351827     -0.19518      0.57737        0.594   1000
1855         1    1270658    1284509     43       2  351827      -0.3015      0.61848        0.626   1000
55052        1    1337276    1342693    184      10  351827     -0.33364      0.63067        0.646   1000
441869       1    1353800    1356824    233      13  351827      0.25965      0.39757          0.4   1000
64856        1    1370903    1378262      2       1  351827      -0.7196      0.76411        0.751   1000
219293       1    1378152    1405538    100      14  351827       1.4099     0.079281        0.079   1000
83858        1    1407139    1444852    143      11  351827        1.355     0.087703        0.084   1000
55210        1    1447523    1470067     21       4  351827      0.36012      0.35938        0.351   1000
339453       1    1470158    1475740     56       4  351827     -0.19754       0.5783        0.566   1000
29101        1    1477053    1510262     56       3  351827      0.26909      0.39393        0.392   1000
643988       1    1533388    1535476     49       7  351827       1.1549      0.12407         0.12   1000
142678       1    1550795    1565990     24       3  351827     -0.24234      0.59574        0.582   1000
984          1    1571100    1590473     51       9  351827      0.56682      0.28542        0.288   1000
728661       1    1591486    1624243     75      11  351827      0.60845      0.27145        0.266   1000
728642       1    1633822    1655999     33       5  351827      0.10601      0.45779        0.462   1000
9906         1    1656277    1677438     63       6  351827      0.58787      0.27831        0.297   1000
65220        1    1682671    1711508     43       2  351827      -1.2058      0.88606        0.893   1000
2782         1    1716725    1822552     28       2  351827     -0.58641       0.7212        0.702   1000
163688       1    1846266    1848733    234      15  351827      0.16743      0.43351        0.414   1000
85452        1    1853390    1935276      7       1  351827      0.74113      0.22931        0.249   1000
5590         1    1981909    2116834    165      15  351827      -1.2448       0.8934        0.909   1000
100506504    1    2113250    2115812     94       7  351827     -0.78806      0.78467        0.806   1000
199990       1    2115899    2144159     41      12  351827     -0.40542      0.65742        0.682   1000
79906        1    2251719    2323190    107      13  351827     -0.44356      0.67132        0.691   1000
11079        1    2323214    2336883     13       3  351827      -1.4841       0.9311        0.941   1000
5192         1    2336241    2344010      6       2  351827      0.41981      0.33731        0.337   1000
9651         1    2407754    2436964    145      19  351827      0.29417      0.38431         0.38   1000
388585       1    2460184    2461684      1       1  351827     -0.27402      0.60797        0.647   1000
8764         1    2487291    2495268    154       5  351827    -0.046745      0.51864          0.5   1000
127281       1    2517899    2522908    298      12  351827     -0.41608      0.66132        0.662   1000
79258        1    2522078    2564499    305      11  351827     -0.27973      0.61016        0.604   1000
100287898    1    2572807    2706230    135       4  351827  -0.00055391      0.50022        0.484   1000
63976        1    2985565    3355185      8       1  351827      -1.4184      0.92196        0.931   1000
27237        1    3371147    3397677     39       6  351827     -0.71475      0.76262        0.735   1000
1953         1    3404506    3528059      2       1  351827     0.034967      0.48605        0.484   1000
49856        1    3547331    3566671    122      16  351827      -1.2702        0.898        0.895   1000
7161         1    3569129    3652765      3       1  351827     -0.62556       0.7342        0.765   1000
388588       1    3689352    3692546    138       7  351827      -0.1138       0.5453        0.545   1000
57470        1    3696784    3713068    102       3  351827      0.64344      0.25997        0.262   1000
9731         1    3728645    3773797    349      16  351827      0.60465      0.27271        0.264   1000
1677         1    3773845    3801993    356      17  351827      0.83201       0.2027        0.205   1000
339448       1    3805697    3816857    148      17  351827       1.1004      0.13557        0.152   1000
55966        1    4715105    4843851      2       1  351827     -0.35457      0.63854        0.631   1000
261734       1    5922870    6052618    225      10  351827       1.3555     0.087624        0.092   1000
8514         1    6052358    6161253     33       3  351827       2.7033    0.0034331       0.0032   5000
388591       1    6266189    6281359     78      12  351827     0.086363      0.46559        0.461   1000
23463        1    6281253    6296044     66       8  351827      0.31989      0.37453         0.36   1000
11332        1    6324332    6453826    192       7  351827      0.16759      0.43345        0.405   1000
80835        1    6614987    6639817      7       2  351827     -0.21896      0.58666        0.606   1000
3104         1    6640051    6649340      5       2  351827       1.2471      0.10619        0.097   1000
9903         1    6650784    6662958     18       2  351827      0.13308      0.44707        0.433   1000
148479       1    6673756    6684093      7       1  351827     -0.70533       0.7597        0.763   1000
90326        1    6684925    6695646    119       9  351827     -0.54375      0.70669        0.723   1000
23261        1    6845384    7829766    105      11  351827       1.1024      0.13515        0.123   1000
9341         1    7831329    7841492    124      13  351827       1.2846     0.099471        0.085   1000
11315        1    8021714    8045342    251      15  351827      0.11257      0.45519        0.451   1000
50651        1    8378171    8404227     31       2  351827      -1.0936      0.86293        0.858   1000
473          1    8412464    8877699    181       7  351827      0.72957      0.23283        0.205   1000
2023         1    8921059    8939151      8       1  351827      -1.5228       0.9361         0.95   1000
6518         1    9097005    9131763      8       2  351827      0.35667      0.36067        0.354   1000
80045        1    9163472    9189229     64       5  351827     -0.67851      0.75128        0.727   1000
9563         1    9294822    9331396     82      11  351827       1.0833      0.13934        0.141   1000
199953       1    9648932    9674935     25       4  351827      0.69655      0.24304        0.242   1000
22883        1    9789079    9884550     74       3  351827      0.54789      0.29188        0.276   1000
56998        1    9908334    9970316      6       2  351827      -1.5445      0.93876        0.934   1000
64802        1   10003486   10045556      9       2  351827      0.97029      0.16595         0.18   1000
116362       1   10057255   10076078     27       4  351827       1.6722     0.047242        0.041   1000
23095        1   10270606   10441664    678      13  351827       2.4535     0.007074        0.011   1000
5226         1   10458884   10480565    185       8  351827       2.9713    0.0014825       0.0017  10000
378708       1   10489944   10510239    259      13  351827       2.8288    0.0023358       0.0036   5000
1325         1   10509776   10512060     42       4  351827       1.1882      0.11738        0.101   1000
1676         1   10520588   10532613    219      13  351827       1.9189     0.027498        0.027   1000
5195         1   10535003   10690815     44       3  351827       2.3035     0.010625       0.0096   5000
54897        1   10696661   10856733     12       3  351827     -0.43079      0.66669        0.665   1000
10747        1   11086580   11107296     11       1  351827     -0.69402      0.75617        0.747   1000
6723         1   11114649   11120091      2       1  351827     -0.73035      0.76741        0.762   1000
5394         1   11126675   11159961    435       9  351827     -0.44115      0.67045        0.667   1000
57540        1   11539295   11597640     17       2  351827     -0.54815       0.7082        0.728   1000
26232        1   11707924   11714888     24       5  351827      0.33368      0.36931        0.381   1000
93611        1   11714432   11723384      4       2  351827      0.93743      0.17427        0.184   1000
26270        1   11724150   11734411     23       5  351827     -0.92231      0.82182        0.817   1000
57085        1   11796142   11810828     41       6  351827      -1.0165       0.8453        0.833   1000
4524         1   11845787   11866160    106       4  351827      -1.9065      0.97171        0.977   1000
1185         1   11866153   11903201    151       6  351827      0.90701       0.1822        0.193   1000
90231        1   11979645   11986485     17       2  351827      -1.3495      0.91141        0.904   1000
5351         1   11994724   12035599     58       5  351827      0.94957      0.17117        0.166   1000
9927         1   12040238   12073572     13       2  351827     -0.21538      0.58526        0.578   1000
60672        1   12079299   12092106     70       6  351827      0.25867      0.39795        0.386   1000
7133         1   12227044   12269279      5       1  351827      -1.1358      0.87198        0.879   1000
9249         1   12627939   12677820     13       1  351827      0.30152      0.38151        0.375   1000
10630        1   13910252   13944452      3       1  351827     -0.55913      0.71196        0.701   1000
55092        1   15479028   15546974     75       7  351827       1.5701     0.058191        0.054   1000
114827       1   15573730   15724767     75       2  351827      -1.8217      0.96575        0.959   1000
51032        1   15802596   15817895      9       2  351827      0.93402      0.17515         0.19   1000
842          1   15817896   15851407    561      10  351827      0.36474      0.35765         0.39   1000
23341        1   15853343   15898228    186       5  351827     -0.40352      0.65672        0.689   1000
84301        1   15943953   15995539    315       5  351827      0.59243      0.27678        0.275   1000
284723       1   16062721   16067884    462      17  351827       1.3865     0.082796        0.096   1000
54751        1   16083107   16113089      9       2  351827     0.021313       0.4915        0.486   1000
23013        1   16174359   16266951    123       5  351827       1.0166      0.15467        0.164   1000
149563       1   16330731   16333184    284      15  351827      0.12173      0.45156        0.438   1000
27129        1   16340523   16346084    399      16  351827       1.3143     0.094372        0.095   1000
1187         1   16348486   16360548    373      15  351827       1.2505      0.10555        0.105   1000
1188         1   16370231   16383821    720      36  351827       1.1171      0.13198        0.132   1000
348487       1   16384264   16400127    167      17  351827       0.7591       0.2239        0.225   1000
1969         1   16450832   16482582    124       6  351827       0.7908      0.21453        0.225   1000
128272       1   16524599   16539104    112       7  351827    -0.049092      0.51958        0.497   1000
79363        1   16558182   16563659    188      11  351827      0.43713      0.33101        0.335   1000
54455        1   16573339   16678965     16       1  351827     -0.82755      0.79604        0.797   1000
26099        1   16693525   16724643      6       2  351827     -0.58114      0.71943        0.711   1000
55707        1   16767167   16786585     40       4  351827     -0.81541      0.79258        0.777   1000
