PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.4218	rs4845681	13.15	rs10908453	0.225775	-5.96	8.52066	378	16	enet	0.22	3.7e-10	-9.26738	1.91e-20
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.1383	rs7536102	12.55	rs12563301	0.06108	3.69	5.526839	275	31	enet	0.007	0.15	6.06438	1.32e-9
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.6633	rs1196366	6.6	rs2291426	0.599853	-9.61	6.291535	464	27	enet	0.6	3.1999999999999996e-32	-5.17287	2.31e-7
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000271952.1.wgt.RDat	ENSG00000271952.1	2	10878268	10878269	0.3845	rs1686476	-6.5	rs1686476	0.100677	-4.4	-6.502462	556	18	enet	0.086	1.3e-4	5.9694	2.38e-9
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.127	rs713587	10.96	rs11676272	0.101017	-4.78	10.935267	320	20	enet	0.06	0.0014	-8.8768	6.88e-19
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.1121	rs2138913	-6.53	rs2138913	0.006746	-3.62	-6.532813	383	5	enet	0.0017	0.26	4.8867	1.03e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1862	rs2138913	-6.53	rs2138913	0.017207	-3.77	-6.532813	383	10	enet	0.056	0.0019	4.9916	5.99e-7
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000164366.3.wgt.RDat	ENSG00000164366.3	5	218214	218215	0.3449	rs2115275	6.92	rs9763161	0.094108	4.17	6.834446	289	31	enet	0.055	0.002	4.677532	2.9e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000247828.7.wgt.RDat	ENSG00000247828.7	5	88269070	88269071	0.4188	rs10044618	-9.74	rs4916899	0.28548	6.75	-3.483703	252	37	enet	0.26	1.2e-11	-4.638753	3.51e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000270307.1.wgt.RDat	ENSG00000270307.1	5	100052596	100052597	0.1755	rs4400165	-7.99	rs10076335	7.92e-4	3.16	4.418588	301	15	enet	0.012	0.098	4.517825	6.25e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000204909.7.wgt.RDat	ENSG00000204909.7	5	148321202	148321203	0.2322	rs13187585	-6.37	rs10077690	0.214804	6.12	4.668374	442	18	enet	0.18	3.9e-8	4.62688	3.71e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000146054.17.wgt.RDat	ENSG00000146054.17	5	181205292	181205293	0.2015	rs2619758	-11	rs2546424	0.006622	3.94	-0.039258	210	11	enet	7.4e-5	0.32	5.24787	1.54e-7
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000203809.6.wgt.RDat	ENSG00000203809.6	6	104941446	104941447	0.295	rs314280	9.39	rs4946651	0.140174	-4.85	8.76174	373	30	enet	0.077	3e-4	-5.88134	4.07e-9
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000122687.17.wgt.RDat	ENSG00000122687.17	7	2242197	2242198	0.3344	rs11773627	12.98	rs3757440	0.25757	6.38	5.75433	413	24	enet	0.16	1.8e-7	4.50078	6.77e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000226468.2.wgt.RDat	ENSG00000226468.2	7	32457757	32457758	0.4007	rs716500	12.88	rs2044835	0.24884	6.7	2.00653	510	22	enet	0.29	4.7e-13	4.79166	1.65e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000106261.16.wgt.RDat	ENSG00000106261.16	7	100015571	100015572	0.149	rs7788746	4.97	rs4729566	0.07037	-4.21	4.92888	273	19	enet	0.036	0.01	-4.42539	9.63e-6
GTExv8.EUR.Brain_Putamen_basal_ganglia	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Putamen_basal_ganglia/ENSG00000227603.1.wgt.RDat	ENSG00000227603.1	9	93437120	93437121	0.3954	rs7853605	8.89	rs12335532	0.17752	5.81	7.84319	490	4	enet	0.15	3.5e-7	7.1747	7.25e-13
