PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000149527.17.wgt.RDat	ENSG00000149527.17	1	2425979	2425980	0.2554	rs34241773	10.504	rs34241773	0.0147	4.15	10.503771	344	7	enet	0.071	1.3e-4	6.53	6.64e-11
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000171608.15.wgt.RDat	ENSG00000171608.15	1	9651731	9651732	0.2609	rs4265433	6.059	rs4240910	0.0331	4.84	-5.139348	325	5	enet	0.027	0.014	-4.54	5.76e-6
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000159214.12.wgt.RDat	ENSG00000159214.12	1	43991358	43991359	0.1343	rs11590627	-10.178	rs17414912	0.0161	-3.73	-6.013618	416	13	enet	0.029	0.011	4.62	3.9e-6
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.1471	rs4845681	13.154	rs7526293	0.0847	-4.82	4.591305	403	17	enet	0.09	1.7e-5	-5.02	5.14e-7
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.3818	rs4845681	13.154	rs10908445	0.123	-5.12	9.153098	417	69	enet	0.063	3e-4	-5.89	3.82e-9
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.4404	rs4845681	13.154	rs6680600	0.393	-8.83	8.421605	378	17	enet	0.4	5.9e-23	-8.18	2.92e-16
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000163357.10.wgt.RDat	ENSG00000163357.10	1	155033823	155033824	0.2114	rs4845681	13.154	rs10908452	0.0882	-5.54	8.408595	378	13	enet	0.11	1.7e-6	-8.21	2.25e-16
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000213047.12.wgt.RDat	ENSG00000213047.12	1	197775695	197775696	0.1542	rs4026514	10.311	rs12121863	0.045	-4.04	7.383085	334	17	enet	0.016	0.045	-6.65	2.9e-11
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000143641.9.wgt.RDat	ENSG00000143641.9	1	230057989	230057990	0.3447	rs7529009	12.675	rs2057233	0.0755	4.94	10.996614	496	34	enet	0.11	1.6e-6	5.42	6.12e-8
GTExv8.EUR.Brain_Cerebellum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Cerebellum/ENSG00000201758.1.wgt.RDat	ENSG00000201758.1	1	244943909	244943910	0.3082	rs1196366	6.601	rs672008	0.175	-6.67	5.916276	450	24	enet	0.22	5.5e-12	-4.96	7.16e-7
