PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000149527.17.wgt.RDat	ENSG00000149527.17	1	2425979	2425980	0.396	rs34241773	10.5	rs4443836	0.139697	-3.89	9.285843	343	19	enet	0.095	0.0011	-6.60638	3.94e-11
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.234	rs4845681	13.15	rs10908452	0.218994	-5.24	8.408595	378	7	enet	0.18	5.2e-6	-8.64325	5.46e-18
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.148	rs7536102	12.55	rs6678286	0.060932	3.69	12.189965	276	4	enet	-4.8e-5	0.32	10.38616	2.87e-25
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.702	rs1196366	6.6	rs10927364	0.519217	-7.24	6.084764	464	55	enet	0.48	6.3e-16	-5.38197	7.37e-8
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.187	rs713587	10.96	rs1865689	0.04752	-4.38	7.695984	320	13	enet	0.035	0.034	-8.4625	2.62e-17
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000239467.5.wgt.RDat	ENSG00000239467.5	2	170771112	170771113	0.397	rs4668302	-5.26	rs4668302	0.15378	-4.49	-5.262599	454	18	enet	0.033	0.039	4.49686	6.9e-6
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000014824.13.wgt.RDat	ENSG00000014824.13	4	41990471	41990472	0.355	rs6447132	-9.57	rs1507086	0.079598	4.56	-4.3987	422	55	enet	0.015	0.12	-5.1766	2.26e-7
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000269893.6.wgt.RDat	ENSG00000269893.6	4	118278708	118278709	0.256	rs4240320	-8.34	rs2892800	0.121814	-4.5	-6.45365	279	5	enet	0.088	0.0016	4.321	1.55e-5
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000247828.7.wgt.RDat	ENSG00000247828.7	5	88269070	88269071	0.563	rs10044618	-9.74	rs390856	0.37944	6.21	-5.85506	258	31	enet	0.35	4.5e-11	-4.31486	1.6e-5
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000271904.1.wgt.RDat	ENSG00000271904.1	5	88498696	88498697	0.175	rs10044618	-9.74	rs6874021	0.05069	4.02	-6.66355	259	7	enet	0.064	0.0064	-4.27194	1.94e-5
GTExv8.EUR.Brain_Substantia_nigra	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Substantia_nigra/ENSG00000213347.10.wgt.RDat	ENSG00000213347.10	5	177312756	177312757	0.391	rs11952102	-8.19	rs11949767	0.19632	4.81	-7.96796	311	43	enet	0.14	8.1e-5	-5.03255	4.84e-7
