PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.5308	rs1891910	-4.644	rs1891906	0.366454	-7.22	-0.657189	183	9	enet	0.35	7.4e-15	0.65192	0.514
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.1909	rs11586188	4.749	rs4075116	0.14289	4.75	-1.139823	202	17	enet	0.11	2.8e-05	-2.55899	0.0105
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2219	rs1891910	-4.644	rs9442372	0.009456	-3.84	0.804079	215	19	enet	-0.0023	0.41	-0.14381	0.886
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.3191	rs1891910	-4.644	rs3813199	0.083473	-5.05	-0.068504	228	11	enet	0.099	8.9e-05	0.29453	0.768
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2223	rs1891910	-4.644	rs12103	0.157816	4.98	-0.8408	252	12	enet	0.12	1.6e-05	0.0022	0.998
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2007	rs1891910	-4.644	rs12089560	0.127117	-5.39	0.791504	282	3	enet	0.081	0.00037	-0.58142	0.561
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000225285.1.wgt.RDat	ENSG00000225285.1	1	1434572	1434573	0.1486	rs1891910	-4.644	rs2272908	0.023417	-3.87	-0.732227	289	22	enet	0.0089	0.14	0.71281	0.476
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.409	rs3128317	-4.814	rs6604981	0.257826	6.87	1.827854	306	24	enet	0.041	0.0092	1.8282	0.0675
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.4088	rs3128317	-4.814	rs3121822	0.035616	-3.93	0.215465	306	33	enet	0.26	4.9e-11	-0.32734	0.743
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.4553	rs3128317	-4.814	rs3737622	0.211958	-6.23	-0.094162	302	6	enet	0.25	1.5e-10	-0.26026	0.795
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.4702	rs3128317	-4.814	rs6699975	0.239606	5.9	-1.099054	289	13	enet	0.14	2.6e-06	-1.16782	0.243
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.1589	rs3128317	-4.814	rs2474460	0.038686	4.62	0.866684	316	14	enet	0.057	0.0024	0.91949	0.358
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.2964	rs34241773	10.504	rs3795272	0.174369	-5.4	-0.254687	346	22	enet	0.15	1.1e-06	0.77407	0.439
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000157873.17.wgt.RDat	ENSG00000157873.17	1	2556696	2556697	0.212	rs34241773	10.504	rs10910099	0.037308	3.76	-0.495495	365	9	enet	-0.0052	0.6	-0.18144	0.856
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000142606.15.wgt.RDat	ENSG00000142606.15	1	2632989	2632990	0.1801	rs34241773	10.504	rs10797437	0.175269	-5.24	-0.885127	357	10	enet	0.15	8.3e-07	0.77939	0.436
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.2952	rs10915459	4.37	rs10752721	0.043306	3.87	-1.351347	571	21	enet	0.014	0.089	-0.0586	0.953
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.4362	rs10915459	4.37	rs3205087	0.256706	6.25	-0.616093	571	22	enet	0.23	1.5e-09	-0.67355	0.501
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000270171.1.wgt.RDat	ENSG00000270171.1	1	7694843	7694844	0.2066	rs9434618	-5.833	rs12756299	0.159375	-5.51	-1.003508	464	20	enet	0.093	0.00014	1.28129	0.2
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000049247.13.wgt.RDat	ENSG00000049247.13	1	7853511	7853512	0.3066	rs9434618	-5.833	rs161827	0.020991	4.37	-0.076006	445	30	enet	0.0043	0.21	-1.17104	0.242
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000232912.5.wgt.RDat	ENSG00000232912.5	1	8424644	8424645	0.1704	rs9434618	-5.833	rs301819	0.14639	-4.81	0.48234	303	21	enet	0.087	0.00022	-0.51472	0.607
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000049239.12.wgt.RDat	ENSG00000049239.12	1	9234774	9234775	0.2452	rs6669846	-5.546	rs2268175	0.160652	-4.93	-0.040284	428	7	enet	-0.0016	0.38	0.10969	0.913
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000177000.10.wgt.RDat	ENSG00000177000.10	1	11806919	11806920	0.2871	rs1148471	6.541	rs1476413	0.169417	5.09	0.290276	479	25	enet	0.11	2.4e-05	0.78999	0.43
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.496	rs1148471	6.541	rs5067	0.327068	-6.82	-2.0405	475	9	enet	0.33	4.9e-14	1.9571	0.0503
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000116688.16.wgt.RDat	ENSG00000116688.16	1	11980180	11980181	0.3285	rs1148471	6.541	rs6672267	-0.000658	3.87	-0.163937	446	22	enet	-0.0032	0.46	-0.53138	0.595
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000175147.11.wgt.RDat	ENSG00000175147.11	1	15152463	15152464	0.3554	rs4661514	4.401	rs6429711	-0.006058	3.64	-1.407688	556	1	enet	-0.0045	0.55	-1.40769	0.159
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000142621.19.wgt.RDat	ENSG00000142621.19	1	15247271	15247272	0.3537	rs578771	3.775	rs2489670	0.131903	-5.33	-0.037074	551	13	enet	0.09	0.00017	-0.1468	0.883
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000132906.17.wgt.RDat	ENSG00000132906.17	1	15526533	15526534	0.2692	rs578771	3.775	rs1862710	0.23517	-6.25	0.091852	505	24	enet	0.14	2.5e-06	-0.34405	0.731
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000142632.16.wgt.RDat	ENSG00000142632.16	1	16212608	16212609	0.6151	rs11801060	-4.148	rs221035	0.475212	8.35	-0.263116	334	28	enet	0.48	1.1e-21	-0.49247	0.622
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000132881.11.wgt.RDat	ENSG00000132881.11	1	16237161	16237162	0.1689	rs11801060	-4.148	rs6693819	0.084678	4.7	2.009189	317	15	enet	0.084	0.00029	1.16394	0.244
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000186301.8.wgt.RDat	ENSG00000186301.8	1	16645621	16645622	0.1328	rs12408813	2.457	rs2235928	0.019605	-3.86	0.858291	259	14	enet	0.031	0.021	-0.72491	0.469
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000215908.10.wgt.RDat	ENSG00000215908.10	1	16657231	16657232	0.3462	rs1883911	-2.487	rs7550829	0.143005	4.66	0.260545	256	20	enet	0.15	9.2e-07	-0.13598	0.892
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000186715.10.wgt.RDat	ENSG00000186715.10	1	16770236	16770237	0.1791	rs12026071	-3.056	rs2076617	-0.006736	2.88	0.455505	291	48	enet	-0.0072	0.98	0.12969	0.897
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000235241.1.wgt.RDat	ENSG00000235241.1	1	16889094	16889095	0.3365	rs12026071	-3.056	rs6691985	0.072273	4.04	-0.377753	339	13	enet	0.15	1.3e-06	-0.78478	0.433
Small_Intestine_Terminal_Ileum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Small_Intestine_Terminal_Ileum/ENSG00000238142.1.wgt.RDat	ENSG00000238142.1	1	16889648	16889649	0.4999	rs12026071	-3.056	rs279024	0.222518	5.93	-0.008459	340	38	enet	0.19	5.4e-08	-0.46161	0.644
