PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.0884	rs1891910	-4.64	rs3094315	0.0608	5.95	-0.146	137	28	enet	0.054	1.8e-08	0.13571	0.892
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.258	rs1891910	-4.64	rs3094315	0.0711	6.55	-0.146	156	34	enet	0.077	1.6e-11	-0.41967	0.675
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.1584	rs1891910	-4.64	rs2272756	0.0436	-5.09	0.44	181	44	enet	0.023	0.00019	-0.74478	0.456
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1437	rs1891910	-4.64	rs13303010	0.0958	-7.35	-1.06	181	9	enet	0.076	2e-11	1.01263	0.311
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1225	rs1891910	-4.64	rs3748595	0.0446	-5.28	-3.45	181	7	enet	0.028	4.4e-05	3.31281	0.000924
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.1498	rs1891910	-4.64	rs3934834	0.0493	5.67	1.16	184	32	enet	0.041	8.6e-07	1.9837	0.0473
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000187608.8.wgt.RDat	ENSG00000187608.8	1	1001137	1001138	0.1329	rs1891910	-4.64	rs3121567	0.123	-8.94	-0.9	184	9	enet	0.12	8.6e-18	0.58414	0.559
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.1299	rs11586188	4.77	rs4075116	0.0915	7.42	-1.14	203	20	enet	0.085	1.3e-12	-1.095	0.274
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.071	rs1891910	-4.64	rs6678318	0.0481	-5.73	0.0978	216	5	enet	0.036	3.5e-06	-0.59249	0.554
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.1756	rs1891910	-4.64	rs12036216	0.111	-7.94	-0.281	228	34	enet	0.093	1.1e-13	0.82407	0.41
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000186827.10.wgt.RDat	ENSG00000186827.10	1	1214131	1214132	0.1014	rs1891910	-4.64	rs12036216	0.0347	-5.35	-0.281	228	21	enet	0.037	3e-06	0.11035	0.912
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000078808.16.wgt.RDat	ENSG00000078808.16	1	1232030	1232031	0.0528	rs1891910	-4.64	rs7515488	0.0389	-5.28	0.0727	229	13	enet	0.024	0.00014	-0.78832	0.431
Whole_Blood	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Whole_Blood/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.11	rs1891910	-4.64	rs12036216	0.0961	-7.49	-0.281	229	7	enet	0.077	1.4e-11	0.64943	0.516
