GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     39       3  351827       1.5872     0.056237        0.064   1000
339451       1     895967     901099     52       6  351827       1.3724     0.084962        0.092   1000
84069        1     901872     910488     25       1  351827        1.759      0.03929         0.04   1000
375790       1     955503     991499     61       4  351827      0.39291      0.34719        0.361   1000
54991        1    1017198    1051736    173      15  351827    -0.019659      0.50784        0.515   1000
8784         1    1138888    1142163    139       6  351827      -1.6703      0.95257        0.958   1000
7293         1    1146706    1149703      1       1  351827       0.4708      0.31889        0.316   1000
51150        1    1152288    1167447     13       2  351827      0.57626      0.28222        0.279   1000
126792       1    1167629    1170421    141       5  351827      -1.2138       0.8876        0.886   1000
118424       1    1189292    1209234     26       6  351827     -0.27967      0.61013        0.606   1000
6339         1    1215816    1227409     15       4  351827      0.16423      0.43477        0.428   1000
116983       1    1227764    1243304     11       3  351827     -0.53196      0.70262        0.708   1000
126789       1    1243962    1247057     28       1  351827      0.57868       0.2814         0.27   1000
54973        1    1246965    1260067    158       8  351827      0.23846      0.40576        0.403   1000
80772        1    1260136    1264276      1       1  351827      0.43442      0.33199        0.319   1000
55052        1    1337276    1342693    194       9  351827     -0.38027      0.64813        0.659   1000
441869       1    1353800    1356824    150      10  351827    -0.076717      0.53058        0.535   1000
64856        1    1370903    1378262     30       2  351827       1.9248     0.027126         0.03   1000
219293       1    1378152    1405538     69       8  351827        1.614     0.053265        0.053   1000
83858        1    1407139    1444852    149      11  351827       1.2789      0.10046         0.11   1000
55210        1    1447523    1470067     10       3  351827     -0.16081      0.56388        0.573   1000
29101        1    1477053    1510262     52       3  351827      0.32421      0.37289        0.363   1000
643988       1    1533388    1535476      2       1  351827      0.35887      0.35984        0.353   1000
142678       1    1550795    1565990     15       1  351827      0.21748      0.41392         0.41   1000
8510         1    1567060    1570030     13       1  351827       1.1167      0.13207        0.137   1000
984          1    1571100    1590473     36       5  351827      0.92701      0.17696        0.189   1000
728661       1    1591486    1624243     79      12  351827      0.49684      0.30965        0.326   1000
728642       1    1633822    1655999     91       5  351827      0.20953      0.41702        0.413   1000
9906         1    1656277    1677438     26       4  351827      0.93507      0.17488        0.173   1000
65220        1    1682671    1711508    132       7  351827     -0.41933      0.66251         0.67   1000
163688       1    1846266    1848733     89       7  351827     -0.55353      0.71005        0.711   1000
5590         1    1981909    2116834      3       1  351827        1.253       0.1051        0.101   1000
199990       1    2115899    2144159     25       7  351827      0.33436      0.36905         0.36   1000
79906        1    2251719    2323190     69       6  351827     0.049428      0.48029        0.451   1000
5192         1    2336241    2344010      8       2  351827      0.70485      0.24045        0.241   1000
9651         1    2407754    2436964     36       9  351827     -0.86056      0.80526        0.818   1000
127281       1    2517899    2522908    226      10  351827     -0.11968      0.54763        0.529   1000
79258        1    2522078    2564499    324      12  351827     -0.27928      0.60998        0.589   1000
1953         1    3404506    3528059     16       2  351827     -0.90672      0.81772        0.815   1000
127262       1    3541556    3546695      5       1  351827      -1.3096      0.90483        0.906   1000
49856        1    3547331    3566671     97      12  351827     -0.95945      0.83133        0.836   1000
388588       1    3689352    3692546      2       1  351827       1.6425     0.050244        0.045   1000
57470        1    3696784    3713068     91       3  351827      0.67092      0.25113        0.252   1000
9731         1    3728645    3773797    232      11  351827      0.56134      0.28728        0.283   1000
1677         1    3773845    3801993    107       6  351827       1.0334      0.15072        0.151   1000
339448       1    3805697    3816857     49       7  351827       1.3362     0.090742        0.087   1000
55966        1    4715105    4843851     19       2  351827     -0.23503      0.59291         0.59   1000
261734       1    5922870    6052618    254       8  351827       1.8188     0.034469        0.045   1000
8514         1    6052358    6161253      1       1  351827       1.7568     0.039476        0.036   1000
388591       1    6266189    6281359     54       8  351827      0.42425      0.33569        0.331   1000
23463        1    6281253    6296044     51       5  351827       0.4885       0.3126        0.296   1000
11332        1    6324332    6453826     42       2  351827     0.013311      0.49469        0.487   1000
8718         1    6520787    6527432      4       1  351827       1.0182      0.15428        0.177   1000
79707        1    6581407    6614658    113       2  351827       1.2923      0.09813        0.087   1000
3104         1    6640051    6649340      8       2  351827      0.36944       0.3559        0.362   1000
