PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.199	rs7536102	12.55	rs4651015	0.043447	3.56	8.564555	276	23	enet	0.017	0.15	10.22504	1.5299999999999999e-24
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.861	rs1196366	6.6	rs2291426	0.465299	5.79	6.291535	471	32	enet	0.41	6e-9	4.54729	5.43e-6
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000270820.5.wgt.RDat	ENSG00000270820.5	2	61471187	61471188	0.507	rs7591402	9.81	rs11897723	0.03344	3.42	7.3266	299	7	enet	0.0093	0.21	8.1525	3.57e-16
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000227403.1.wgt.RDat	ENSG00000227403.1	2	161244738	161244739	0.689	rs1114338	10.14	rs10930013	0.385573	-5.16	5.848	385	38	enet	0.38	2.4e-8	-6.183	6.29e-10
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000125388.19.wgt.RDat	ENSG00000125388.19	4	2963607	2963608	0.548	rs3775068	-10.34	rs1024323	0.288	-4.57	-2.51937	376	43	enet	0.28	3.7e-6	4.51	6.42e-6
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000248794.1.wgt.RDat	ENSG00000248794.1	5	81242598	81242599	0.533	rs13179530	-10.868	rs13179530	-0.00718	-3.53	-10.86773	445	15	enet	-0.014	0.71	5.5566	2.75e-8
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000164307.12.wgt.RDat	ENSG00000164307.12	5	96808099	96808100	0.615	rs27038	7.013	rs27043	0.31903	4.89	6.49366	492	26	enet	0.24	2.5e-5	4.0988	4.15e-5
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000278925.1.wgt.RDat	ENSG00000278925.1	5	141826324	141826325	0.541	rs6888135	12.293	rs6580205	0.03625	3.73	5.63651	539	20	enet	0.068	0.02	4.8262	1.39e-6
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000187122.16.wgt.RDat	ENSG00000187122.16	10	97185919	97185920	0.385	rs4919096	-12.39	rs10882891	-0.002395	3.88	-10.78956	434	13	enet	0.004	0.27	-6.079741	1.2e-9
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000139620.12.wgt.RDat	ENSG00000139620.12	12	48682237	48682238	0.379	rs10875867	-7.33	rs10783269	0.22186	4.42	-2.527488	377	20	enet	0.11	0.0043	-4.41304	1.02e-5
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000275759.1.wgt.RDat	ENSG00000275759.1	12	118428280	118428281	0.628	rs17512609	11.58	rs17619932	0.34155	-4.85	9.421401	441	24	enet	0.17	3.5e-4	-8.56897	1.04e-17
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000227676.3.wgt.RDat	ENSG00000227676.3	13	79566726	79566727	0.378	rs7994255	9.38	rs7988601	0.149	3.94	6.02785	374	21	enet	0.066	0.022	4.7411	2.13e-6
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000128944.13.wgt.RDat	ENSG00000128944.13	15	40382720	40382721	0.57	rs17672041	4.75	rs17671250	0.40434	5.49	4.6828	392	16	enet	0.35	1.1e-7	4.7359	2.18e-6
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000169609.13.wgt.RDat	ENSG00000169609.13	15	83011640	83011641	0.229	rs12441907	-11.15	rs11857990	0.15365	-4.36	-6.3556	321	10	enet	0.17	4.1e-4	4.275	1.91e-5
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000156853.12.wgt.RDat	ENSG00000156853.12	16	30624011	30624012	0.347	rs11642862	-4.64	rs11642466	-0.01079	-2.89	-4.63725	192	6	enet	0.022	0.13	4.1017	4.1e-5
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000205078.5.wgt.RDat	ENSG00000205078.5	16	77206440	77206441	0.547	rs7186803	12.6	rs11865641	0.05355	3.77	6.50288	726	2	enet	-0.015	0.85	5.5632	2.65e-8
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000272911.1.wgt.RDat	ENSG00000272911.1	17	2688472	2688473	0.575	rs2240730	-13	rs1109451	0.20413	-4.26	-12.09259	436	12	enet	0.082	0.012	9.5361	1.4800000000000002e-21
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000108786.10.wgt.RDat	ENSG00000108786.10	17	42549213	42549214	0.354	rs2134808	-6.31	rs2271028	0.13992	-3.97	4.22417	250	25	enet	0.11	0.0043	-4.5825	4.59e-6
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000262539.1.wgt.RDat	ENSG00000262539.1	17	46260605	46260606	0.525	rs199456	-23.99	rs169201	0.47805	6.25	-23.76528	62	20	enet	0.53	4.1e-12	-23.2388	1.8499999999999995e-119
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000238083.7.wgt.RDat	ENSG00000238083.7	17	46511510	46511511	0.659	rs199456	-23.99	rs183211	0.49502	5.89	-10.61616	126	37	enet	0.41	5.5e-9	-15.5508	1.5699999999999998e-54
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000185829.17.wgt.RDat	ENSG00000185829.17	17	46579681	46579682	0.325	rs199456	-23.99	rs199529	0.10194	3.93	-16.88533	133	54	enet	0.071	0.018	-9.1551	5.43e-20
GTExv8.EUR.Kidney_Cortex	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Kidney_Cortex/ENSG00000161618.9.wgt.RDat	ENSG00000161618.9	19	49453168	49453169	0.561	rs7258719	8.48	rs13394	0.331941	4.71	7.88577	370	37	enet	0.3	1.5e-6	4.9995	5.75e-7
