GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     12       1  351827       1.7387      0.04104        0.048   1000
55052        1    1337276    1342693      8       1  351827      0.20671      0.41812        0.415   1000
441869       1    1353800    1356824     71       3  351827      0.21624       0.4144        0.372   1000
219293       1    1378152    1405538      1       1  351827       0.9025       0.1834        0.171   1000
83858        1    1407139    1444852     45       3  351827       1.8247     0.034023        0.033   1000
55210        1    1447523    1470067      2       1  351827      -0.1502       0.5597        0.554   1000
728661       1    1591486    1624243     27       4  351827       1.1386      0.12743        0.126   1000
728642       1    1633822    1655999      1       1  351827     0.052424       0.4791        0.464   1000
9651         1    2407754    2436964      5       1  351827      0.11268      0.45514        0.462   1000
127262       1    3541556    3546695      1       1  351827     -0.11754      0.54678        0.555   1000
49856        1    3547331    3566671      5       1  351827      0.52327      0.30039        0.298   1000
388588       1    3689352    3692546     55       2  351827     -0.99429      0.83996        0.852   1000
9731         1    3728645    3773797    143       5  351827      0.60561      0.27239        0.259   1000
339448       1    3805697    3816857     12       2  351827      0.20492      0.41882        0.404   1000
261734       1    5922870    6052618      1       1  351827     -0.24506       0.5968          0.6   1000
23463        1    6281253    6296044     13       1  351827     0.030828       0.4877        0.465   1000
9341         1    7831329    7841492     28       2  351827   -0.0023759      0.50095        0.493   1000
26232        1   11707924   11714888      2       1  351827        1.352     0.088181        0.092   1000
4524         1   11845787   11866160     30       1  351827      -1.0337      0.84937        0.848   1000
1185         1   11866153   11903201      2       1  351827       -0.292      0.61486        0.623   1000
842          1   15817896   15851407    214       6  351827      0.23029      0.40893        0.406   1000
84301        1   15943953   15995539    116       1  351827       1.0202      0.15381        0.144   1000
284723       1   16062721   16067884      2       1  351827     -0.57995      0.71903        0.699   1000
1188         1   16370231   16383821     15       1  351827       2.1267     0.016723        0.015   1000
128272       1   16524599   16539104     62       2  351827      0.96296      0.16778        0.176   1000
79363        1   16558182   16563659     71       3  351827      0.55722      0.28869        0.307   1000
9696         1   17248445   17299474     17       2  351827      0.12341      0.45089        0.471   1000
127707       1   18807424   18812540     27       3  351827     -0.52467      0.70009        0.708   1000
23065        1   19542158   19578053    137       5  351827      0.20351      0.41937        0.456   1000
