PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.2422	rs1891910	-4.64	rs3094315	0.0878	5.52	-0.146306	137	26	enet	0.09	1.6e-08	-0.118	0.906
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2962	rs1891910	-4.64	rs3094315	0.157	7.32	-0.146306	156	4	enet	0.11	8.9e-10	-0.242	0.808
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.1065	rs1891910	-4.64	rs3748592	0.017	4.78	-3.112658	180	10	enet	0.023	0.0032	-2.89	0.0038
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.2086	rs1891910	-4.64	rs13303010	0.0488	-5.23	-1.059608	180	19	enet	0.048	3.8e-05	0.849	0.396
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.1895	rs1891910	-4.64	rs1891906	0.086	-6.66	-0.657189	181	17	enet	0.066	1.3e-06	1.06	0.288
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.5307	rs1891910	-4.64	rs3128117	0.382	-11.69	-0.839866	183	29	enet	0.42	5.8e-41	1.06	0.291
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.1565	rs1891910	-4.64	rs10907177	0.0447	-4.94	1.013552	183	13	enet	0.065	1.7e-06	-2.82	0.00484
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000224969.1.wgt.RDat	ENSG00000224969.1	1	1013192	1013193	0.1239	rs1891910	-4.64	rs12073590	-0.00267	3.29	1.576675	184	13	enet	-0.003	0.9	1.36	0.174
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.2118	rs1891910	-4.64	rs2710888	0.106	-6.16	-1.489351	186	15	enet	0.11	7.2e-10	0.634	0.526
Artery_Aorta	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Aorta/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1979	rs1891910	-4.64	rs3766192	0.0552	-5.39	0.274721	215	18	enet	0.071	5.2e-07	0.114	0.909
