PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000171608.15.wgt.RDat	ENSG00000171608.15	1	9651731	9651732	0.0878	rs4265433	6.06	rs4240910	0.0158	3.91	-5.139348	323	3	enet	1.6e-4	0.3	-4.86883	1.12e-6
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000197056.9.wgt.RDat	ENSG00000197056.9	1	35059785	35059786	0.1119	rs6671294	-6.01	rs2935946	0.038	5.29	-4.518594	302	3	enet	0.016	0.0063	-4.69072	2.72e-6
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000131236.16.wgt.RDat	ENSG00000131236.16	1	40040232	40040233	0.0655	rs12730176	-6.61	rs12730176	0.00293	-3.94	-6.609361	408	28	enet	-0.0025	0.89	5.20076	1.98e-7
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000117400.16.wgt.RDat	ENSG00000117400.16	1	43337848	43337849	0.0672	rs11590627	-10.18	rs2039529	-0.00248	4.03	-5.906289	464	7	enet	-0.002	0.64	-5.0768	3.84e-7
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000229431.1.wgt.RDat	ENSG00000229431.1	1	43385112	43385113	0.0908	rs11590627	-10.18	rs12742974	0.0113	4.44	-4.705303	458	13	enet	0.043	2e-5	-5.15463	2.54e-7
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000198198.15.wgt.RDat	ENSG00000198198.15	1	43389881	43389882	0.0523	rs11590627	-10.18	rs12407785	0.0179	-4.61	-5.699981	458	11	enet	0.0084	0.038	4.88812	1.02e-6
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000117569.18.wgt.RDat	ENSG00000117569.18	1	96721664	96721665	0.1025	rs273883	-6.85	rs273885	0.0777	-6.03	-6.352047	419	23	enet	0.059	6e-7	5.11152	3.2e-7
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.3256	rs4845681	13.15	rs3811448	0.299	-10.96	4.167512	403	16	enet	0.28	1.7e-29	-5.37171	7.8e-8
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.0757	rs4845681	13.15	rs4845681	0.0373	-4.41	13.154296	417	6	enet	0.0035	0.12	-10.9983	3.89e-28
GTExv8.EUR.Adipose_Visceral_Omentum	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adipose_Visceral_Omentum/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.1873	rs4845681	13.15	rs705094	0.0928	-6.57	7.410643	397	9	enet	0.087	1.6e-9	-7.97107	1.57e-15
