PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.7472	rs1891910	-4.64	rs2031709	0.445	-13.42	2.149189	283	58	enet	0.43	2.8e-52	-4.82	1.45e-6
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.0926	rs12402967	-9.03	rs1467653	0.0984	7.27	-6.343955	375	14	enet	0.093	1.5e-10	-5.99	2.14e-9
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4535	rs573744	9.24	rs4653329	0.357	12.19	7.359191	458	14	enet	0.37	9.2e-44	6.55	5.73e-11
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1541	rs4845681	13.15	rs10752609	4.73e-4	-3.97	-0.772683	417	17	enet	0.03	2.2e-4	-4.77	1.86e-6
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000163346.16.wgt.RDat	ENSG00000163346.16	1	154956122	154956123	0.0774	rs4845681	13.15	rs1007170	0.0686	-5.67	10.645573	397	11	enet	0.041	2.1e-5	-10	1.43e-23
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.2031	rs4845681	13.15	rs11264298	0.158	-8.42	8.570739	378	15	enet	0.18	1.1e-19	-5.28	1.27e-7
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000143499.13.wgt.RDat	ENSG00000143499.13	1	214281101	214281102	0.13	rs1019969	-6.18	rs12406647	0.0615	-5.25	-5.229187	552	16	enet	0.018	0.0036	6.34	2.31e-10
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.2005	rs1196366	6.6	rs2050632	0.178	-8.78	6.355119	463	25	enet	0.17	5e-18	-5.81	6.09e-9
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000144057.15.wgt.RDat	ENSG00000144057.15	2	106887107	106887108	0.122	rs2030676	-9.26	rs1034816	0.070304	-6.6	5.594442	413	14	enet	0.049	3.1e-6	-5.47515	4.37e-8
GTExv8.EUR.Esophagus_Mucosa	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Esophagus_Mucosa/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.098	rs2138913	-6.53	rs6704784	0.037399	-4.92	-5.013804	384	11	enet	0.019	0.003	4.71051	2.47e-6
