GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961     20       2  351827     -0.73563      0.76902        0.768   1000
26155        1     879583     894679     70      10  351827       1.1106      0.13338        0.124   1000
339451       1     895967     901099     78      11  351827       1.0154      0.15495        0.139   1000
84069        1     901872     910488     64       5  351827       1.0268      0.15225        0.121   1000
84808        1     910579     917473      6       1  351827      0.23089       0.4087        0.411   1000
375790       1     955503     991499     15       1  351827       -1.013      0.84448        0.867   1000
54991        1    1017198    1051736    188      15  351827      0.28093      0.38938        0.359   1000
254173       1    1109286    1133315     19       3  351827      -1.5776      0.94267        0.955   1000
8784         1    1138888    1142163     25       4  351827      0.41699      0.33834         0.31   1000
126792       1    1167629    1170421    138       5  351827      -1.3928      0.91816        0.921   1000
118424       1    1189292    1209234      9       1  351827      0.56373      0.28647        0.291   1000
6339         1    1215816    1227409    101       6  351827      0.38453      0.35029         0.34   1000
116983       1    1227764    1243304     20       3  351827      0.73811      0.23022        0.215   1000
126789       1    1243962    1247057      1       1  351827     0.025075         0.49        0.496   1000
54973        1    1246965    1260067     77       4  351827      0.14164      0.44368        0.432   1000
54587        1    1288071    1297183    304      14  351827      0.50067       0.3083        0.289   1000
55052        1    1337276    1342693    187       9  351827      -0.3454       0.6351        0.651   1000
441869       1    1353800    1356824    226      13  351827      0.10594      0.45781        0.456   1000
64856        1    1370903    1378262    118      11  351827     0.039726      0.48416        0.479   1000
219293       1    1378152    1405538    150      14  351827       1.2284      0.10966        0.114   1000
83858        1    1407139    1444852    145      12  351827       1.4969     0.067209        0.059   1000
55210        1    1447523    1470067     64      10  351827      0.28535      0.38769        0.385   1000
29101        1    1477053    1510262     65       5  351827      0.26542      0.39534        0.398   1000
984          1    1571100    1590473     63      10  351827      0.43026       0.3335        0.323   1000
728661       1    1591486    1624243     74      11  351827      0.60396      0.27293        0.253   1000
728642       1    1633822    1655999     27       2  351827     -0.33249      0.63024        0.652   1000
9906         1    1656277    1677438    141       7  351827      0.38332      0.35074        0.358   1000
65220        1    1682671    1711508     88       6  351827      -1.1491      0.87474        0.867   1000
163688       1    1846266    1848733     59       3  351827    -0.027276      0.51088        0.526   1000
339456       1    1849029    1850740    259      11  351827      0.24253      0.40418        0.401   1000
100506504    1    2113250    2115812     55       2  351827     -0.15812      0.56282        0.549   1000
199990       1    2115899    2144159     22       6  351827      -1.4457      0.92587        0.923   1000
79906        1    2251719    2323190     49       5  351827    -0.085113      0.53391        0.522   1000
11079        1    2323214    2336883     11       2  351827      0.02669      0.48935        0.511   1000
5192         1    2336241    2344010      7       2  351827      0.13675      0.44561        0.438   1000
9651         1    2407754    2436964     12       4  351827     -0.77079      0.77958        0.773   1000
388585       1    2460184    2461684      4       1  351827      0.23218       0.4082        0.389   1000
8764         1    2487291    2495268      9       1  351827     0.091693      0.46347        0.467   1000
127281       1    2517899    2522908    225      11  351827     -0.22412      0.58867        0.581   1000
100287898    1    2572807    2706230    137       4  351827     0.031739      0.48734        0.493   1000
27237        1    3371147    3397677    127       9  351827      -1.8197      0.96559        0.976   1000
1953         1    3404506    3528059     14       3  351827      -0.4357      0.66847        0.662   1000
127262       1    3541556    3546695     23       3  351827     -0.50688      0.69388        0.669   1000
49856        1    3547331    3566671    103      14  351827     -0.79587      0.78695        0.774   1000
57470        1    3696784    3713068     17       2  351827     -0.59432      0.72385        0.717   1000
9731         1    3728645    3773797    259      11  351827      0.68026      0.24817        0.235   1000
1677         1    3773845    3801993    235      14  351827      0.46744      0.32009        0.331   1000
339448       1    3805697    3816857    202      18  351827      0.88306       0.1886        0.198   1000
261734       1    5922870    6052618    150      10  351827        2.089     0.018356        0.022   1000
388591       1    6266189    6281359     53       7  351827     -0.65281      0.74306        0.756   1000
23463        1    6281253    6296044     47       4  351827      0.32017      0.37442        0.392   1000
11332        1    6324332    6453826    212       8  351827      0.20944      0.41705        0.404   1000
54626        1    6475292    6484724     87       3  351827     -0.66465      0.74686         0.73   1000
83715        1    6484836    6521004    178       8  351827      0.34057      0.36671        0.363   1000
