GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
57801        1     934342     936608      1       1  351827       1.3253     0.092541        0.077   1000
54991        1    1017198    1051736     96       5  351827     -0.76536      0.77797        0.798   1000
254173       1    1109286    1133315     50       4  351827       2.1937     0.014129        0.012   1000
8784         1    1138888    1142163      1       1  351827     -0.89329      0.81415        0.825   1000
126792       1    1167629    1170421    186       8  351827     -0.60231      0.72652        0.713   1000
54973        1    1246965    1260067     63       3  351827    -0.019829      0.50791        0.534   1000
55052        1    1337276    1342693     60       3  351827      0.46656      0.32041        0.326   1000
441869       1    1353800    1356824    111       5  351827      0.13533      0.44617        0.457   1000
219293       1    1378152    1405538     93      11  351827       1.2716      0.10175         0.11   1000
83858        1    1407139    1444852     94       8  351827       1.6574     0.048718        0.049   1000
984          1    1571100    1590473      1       1  351827      0.32454      0.37277         0.37   1000
728661       1    1591486    1624243     30       4  351827      0.94748       0.1717        0.177   1000
85452        1    1853390    1935276     24       1  351827       1.7235     0.042402        0.041   1000
2563         1    1950768    1962192      1       1  351827      0.67546      0.24969        0.249   1000
199990       1    2115899    2144159     10       2  351827      -1.0631      0.85614        0.861   1000
79906        1    2251719    2323190     22       2  351827     0.077748      0.46901        0.473   1000
5192         1    2336241    2344010      5       1  351827      0.45342      0.32512        0.346   1000
127281       1    2517899    2522908     69       1  351827     0.023094      0.49079        0.512   1000
127262       1    3541556    3546695     10       2  351827     -0.10995      0.54377         0.54   1000
57470        1    3696784    3713068     90       2  351827       0.6499      0.25788        0.272   1000
9731         1    3728645    3773797     50       2  351827      0.94698      0.17182        0.168   1000
1677         1    3773845    3801993    103       7  351827      0.89012       0.1867        0.179   1000
339448       1    3805697    3816857     14       2  351827      0.77229      0.21997        0.219   1000
261734       1    5922870    6052618    104       5  351827       1.6217     0.052429        0.038   1000
8514         1    6052358    6161253     12       1  351827      0.09805      0.46095         0.45   1000
23463        1    6281253    6296044     33       3  351827      -0.2729      0.60754        0.606   1000
387509       1    6307406    6321035     18       1  351827       -1.612      0.94651        0.926   1000
8718         1    6520787    6527432      6       1  351827      0.34792      0.36395        0.381   1000
79707        1    6581407    6614658      1       1  351827      0.48309      0.31452        0.312   1000
9341         1    7831329    7841492      1       1  351827      -2.5185      0.99411        0.995   1000
11315        1    8021714    8045342      2       1  351827       1.5524     0.060287        0.062   1000
473          1    8412464    8877699     55       2  351827       1.8315      0.03351        0.037   1000
9563         1    9294822    9331396     13       1  351827       1.0936      0.13706        0.141   1000
23095        1   10270606   10441664      4       2  351827      0.52013      0.30149        0.304   1000
148345       1   11006530   11042094      2       1  351827      0.83257      0.20254        0.215   1000
2475         1   11166588   11322614    190       4  351827     -0.20178      0.57995         0.58   1000
26270        1   11724150   11734411     10       1  351827      0.93735      0.17429        0.165   1000
374946       1   11751781   11780336      1       1  351827       1.3313     0.091553        0.084   1000
4524         1   11845787   11866160     26       2  351827      -1.5964       0.9448        0.947   1000
1185         1   11866153   11903201     23       2  351827      0.13691      0.44555        0.474   1000
9927         1   12040238   12073572     30       2  351827      -1.0951      0.86327        0.859   1000
114827       1   15573730   15724767      2       1  351827     -0.28473      0.61208         0.63   1000
284723       1   16062721   16067884     27       3  351827      0.18774      0.42554        0.431   1000
27129        1   16340523   16346084     30       1  351827       1.3365     0.090693         0.09   1000
1187         1   16348486   16360548    173       8  351827       1.0623      0.14406        0.144   1000
348487       1   16384264   16400127    108       6  351827     -0.32368      0.62691         0.59   1000
128272       1   16524599   16539104     77       2  351827     -0.31081      0.62203        0.601   1000
79363        1   16558182   16563659     79       3  351827      0.64291      0.26014        0.242   1000
9696         1   17248445   17299474     82       4  351827     -0.21964      0.58692        0.592   1000
4237         1   17300997   17308081     68       2  351827     -0.41629       0.6614        0.651   1000
8659         1   19197924   19229293     55       2  351827     -0.33371       0.6307        0.641   1000
23065        1   19542158   19578053    203      10  351827     0.095091      0.46212        0.443   1000
51154        1   19578075   19586622     90       3  351827       1.5528     0.060238        0.061   1000
8574         1   19629202   19638640      5       2  351827    -0.079827      0.53181        0.557   1000
54896        1   19638740   19658925     22       1  351827       1.5028     0.066445        0.059   1000
4681         1   19969723   19984949     37       4  351827      0.12166      0.45158        0.459   1000
23252        1   20208356   20239438     95      10  351827      -1.4057       0.9201        0.927   1000
5322         1   20386157   20418394     23       2  351827     0.071256       0.4716        0.457   1000
79594        1   20825941   20834674     67       5  351827       -2.073      0.98091        0.977   1000
978          1   20915444   20945401    103       8  351827      0.53498      0.29633        0.294   1000
57576        1   20990475   21044317     31       4  351827       1.5501     0.060559        0.054   1000
84224        1   21766583   21811393    106       6  351827     -0.95856      0.83111        0.836   1000
84196        1   22004791   22109688     24       1  351827      0.19937      0.42099        0.423   1000
9923         1   22778344   22857650      3       1  351827       1.7223     0.042504        0.045   1000
2048         1   23037263   23241823     42       2  351827       2.0225      0.02156        0.017   1000
3352         1   23518388   23521222    117       4  351827       1.0055      0.15733        0.136   1000
80818        1   23685941   23696357      3       1  351827      0.86801      0.19269        0.183   1000
6920         1   23707555   23751269    125       9  351827       1.2409      0.10733        0.103   1000
3399         1   23884421   23886285      3       1  351827     -0.37829      0.64739        0.648   1000
3155         1   24128367   24165110     57       2  351827       2.0611     0.019644        0.021   1000
90529        1   24683489   24741587    122       7  351827       1.0148      0.15511        0.161   1000
400746       1   24882567   24935819     11       2  351827     0.038904      0.48448        0.475   1000
6007         1   25598884   25656936    162       2  351827     -0.62672      0.73458        0.728   1000
6006         1   25687853   25747363    156       2  351827     -0.59444      0.72389        0.713   1000
26119        1   25870071   25895377     47       4  351827      -1.2715      0.89822        0.889   1000
57190        1   26126667   26144713     15       2  351827     0.068754      0.47259        0.447   1000
2134         1   26348266   26362955     42       2  351827      0.63589      0.26242        0.277   1000
149420       1   26437656   26452039    134       2  351827       1.1035      0.13491         0.16   1000
79927        1   26485511   26489119     40       4  351827      -2.2504      0.98779        0.981   1000
10256        1   26503981   26516375    207      15  351827     -0.51623      0.69715        0.685   1000
83442        1   26606213   26608013      4       1  351827      -1.3057      0.90418        0.914   1000
1043         1   26644411   26647014     12       2  351827     -0.51004      0.69499        0.712   1000
3151         1   26798902   26803133      8       2  351827      -1.5439       0.9387         0.93   1000
10726        1   27248187   27273362     89       5  351827       0.6328      0.26343         0.27   1000
9064         1   27681670   27693558      5       2  351827     -0.47678      0.68324         0.69   1000
10163        1   27730734   27816678     15       4  351827      -1.3394      0.90978        0.908   1000
6118         1   28218035   28241255    118       7  351827      0.25429      0.39964        0.388   1000
27293        1   28261456   28285663     26       1  351827      0.42811      0.33428        0.326   1000
2140         1   28296855   28415173     64       2  351827       1.2916     0.098243        0.098   1000
93974        1   28562602   28564616     89       2  351827       1.1771      0.11959        0.107   1000
65979        1   28696093   28826881    296       5  351827      0.51986      0.30158        0.308   1000
51102        1   29519385   29557460      2       1  351827     -0.92574      0.82271        0.819   1000
79570        1   31652592   31712734    246       8  351827       1.3621     0.086588        0.093   1000
51538        1   31769832   31838569    147       3  351827       1.3368     0.090638        0.091   1000
2170         1   31838100   31845923    317       6  351827      0.89231      0.18611        0.186   1000
1307         1   32117848   32169768     39       5  351827       3.3767   0.00036682       0.0004  10000
