PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000171608.15.wgt.RDat	ENSG00000171608.15	1	9651731	9651732	0.1933	rs4265433	6.06	rs9430636	0.0616	4.57	-4.549073	325	7	enet	0.013	0.035	-4.6766	2.92e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.1319	rs12402967	-9.03	rs7546368	0.0496	5.76	-6.278229	376	7	enet	0.047	2.4e-4	-6.27396	3.52e-10
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4663	rs573744	9.24	rs2306627	0.349	9.54	7.349307	459	10	enet	0.38	2.1e-28	5.59271	2.24e-8
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000126091.19.wgt.RDat	ENSG00000126091.19	1	43705823	43705824	0.2122	rs11590627	-10.18	rs2286243	0.152	6.59	-6.403338	423	7	enet	0.14	2.7e-10	-6.72752	1.73e-11
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000184588.17.wgt.RDat	ENSG00000184588.17	1	65792513	65792514	0.1214	rs12141125	-9.01	rs2228693	0.0104	-4.11	7.464033	474	16	enet	0.045	3.5e-4	-4.83011	1.36e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3318	rs1196366	6.6	rs2291426	0.279	-8.96	6.291535	464	19	enet	0.27	2.7e-19	-4.98801	6.1e-7
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.5306	rs1196366	6.6	rs2291426	0.447	11.01	6.291535	473	46	enet	0.47	2.2e-37	4.64188	3.45e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1249	rs2138913	-6.53	rs6704784	0.130297	-6.35	-5.013804	384	23	enet	0.14	1.5e-10	5.24016	1.6e-7
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.1631	rs2952769	-7.69	rs2551971	0.154061	-6.88	-7.501302	403	13	enet	0.16	1.4e-11	6.90852	4.9e-12
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000135913.10.wgt.RDat	ENSG00000135913.10	2	218568360	218568361	0.1093	rs13023540	14.75	rs3755042	0.082807	5.12	-7.984213	364	28	enet	0.062	2.8e-5	-4.89885	9.64e-7
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000114480.12.wgt.RDat	ENSG00000114480.12	3	81762160	81762161	0.0829	rs7620240	15.86	rs3860595	0.058129	-4.43	14.510273	300	7	enet	0.036	0.0013	-9.67367	3.9e-22
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000033178.12.wgt.RDat	ENSG00000033178.12	4	67701178	67701179	0.0885	rs1038432	6.04	rs3822196	0.0652	-4.71	5.77085	401	15	enet	0.057	5.7e-5	-5.7204	1.06e-8
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000068796.16.wgt.RDat	ENSG00000068796.16	5	62306161	62306162	0.0698	rs10514933	16.409	rs2910469	0.008135	-4.07	5.02163	383	13	enet	0.017	0.021	-7.39303	1.44e-13
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000280187.1.wgt.RDat	ENSG00000280187.1	5	69189451	69189452	0.066	rs2010352	-10.102	rs11748974	0.02372	3.81	-5.169103	303	20	enet	-0.0036	0.78	-4.72422	2.31e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000273841.4.wgt.RDat	ENSG00000273841.4	5	69369641	69369642	0.0847	rs2010352	-10.102	rs12513817	0.066521	-5.11	-2.878308	225	10	enet	0.064	2.1e-5	4.76132	1.92e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000169228.13.wgt.RDat	ENSG00000169228.13	5	177303743	177303744	0.1535	rs11952102	-8.186	rs6556312	0.009834	4.03	0.974159	314	63	enet	0.048	2.2e-4	4.43469	9.22e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000066651.18.wgt.RDat	ENSG00000066651.18	6	125986429	125986430	0.0934	rs9372837	6.94	rs1569741	0.085492	4.94	4.351507	253	4	enet	0.037	0.001	4.88056	1.06e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000198945.7.wgt.RDat	ENSG00000198945.7	6	130013698	130013699	0.4293	rs9375683	8.34	rs6569648	0.353558	9.68	-6.298733	562	22	enet	0.34	2.3e-25	-5.23184	1.68e-7
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000105926.15.wgt.RDat	ENSG00000105926.15	7	24573267	24573268	0.1734	rs17327167	6.61	rs2711122	0.07155	4.59	6.5319	630	33	enet	0.021	0.011	4.442891	8.88e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000146701.11.wgt.RDat	ENSG00000146701.11	7	76048050	76048051	0.0859	rs9800948	10.45	rs3823882	0.027827	-4.19	7.77393	314	7	enet	0.015	0.029	-7.020631	2.21e-12
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000238228.1.wgt.RDat	ENSG00000238228.1	7	97947997	97947998	0.2185	rs4729368	5.83	rs11982005	0.18129	-7.18	-3.7589	343	27	enet	0.16	1.8e-11	4.565136	4.99e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000176209.11.wgt.RDat	ENSG00000176209.11	8	42541711	42541712	0.3	rs2974342	5.04	rs2923428	0.2545	8.57	4.94208	264	18	enet	0.25	3e-18	4.47302	7.71e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000169398.19.wgt.RDat	ENSG00000169398.19	8	141002215	141002216	0.0948	rs938724	10.56	rs10109684	0.00526	-3.76	4.45412	406	20	enet	0.0092	0.066	-4.66086	3.15e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000107105.14.wgt.RDat	ENSG00000107105.14	9	23826336	23826337	0.1051	rs4977892	9.93	rs17551174	0.055926	4.73	8.84432	390	10	enet	0.017	0.019	7.22374	5.06e-13
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000227603.1.wgt.RDat	ENSG00000227603.1	9	93437120	93437121	0.4462	rs7853605	8.89	rs7025805	0.234134	8.22	4.47833	491	23	enet	0.27	5.9e-20	4.59664	4.29e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000125485.17.wgt.RDat	ENSG00000125485.17	9	132670033	132670034	0.3664	rs3739905	-7.74	rs3739905	0.297482	9	-7.73599	533	10	enet	0.27	1.2e-19	-7.23364	4.7e-13
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000170430.9.wgt.RDat	ENSG00000170430.9	10	129467183	129467184	0.5933	rs7905095	6.7	rs1008982	0.423326	-10.55	5.762754	594	16	enet	0.43	1.2e-33	-5.14569	2.67e-7
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000149115.13.wgt.RDat	ENSG00000149115.13	11	57324951	57324952	0.1058	rs499188	15.88	rs1892964	0.08474	-5	4.473996	413	5	enet	0.03	0.0031	-4.5232	6.09e-6
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000149295.13.wgt.RDat	ENSG00000149295.13	11	113475388	113475389	0.1029	rs4245150	19.1	rs6589381	0.06139	-4.68	13.861529	522	9	enet	0.037	0.0011	-14.02394	1.11e-44
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000149548.14.wgt.RDat	ENSG00000149548.14	11	124954120	124954121	0.3647	rs1940171	-10.79	rs12276686	0.16637	7.01	3.656739	507	24	enet	0.21	1.8e-15	6.96763	3.22e-12
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000273015.2.wgt.RDat	ENSG00000273015.2	12	45727774	45727775	0.0706	rs1468993	13.03	rs7979398	0.0702	4.94	6.49	388	3	enet	0.052	1.2e-4	7.21	5.6e-13
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000274979.1.wgt.RDat	ENSG00000274979.1	12	69331881	69331882	0.1992	rs618470	-7.65	rs689415	0.176	7	-7.53	534	11	enet	0.18	1.1e-12	-6.26	3.76e-10
GTExv8.EUR.Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000275759.1.wgt.RDat	ENSG00000275759.1	12	118428280	118428281	0.286	rs17512609	11.58	rs17512609	0.242	-8.47	11.6	448	38	enet	0.29	2.3e-21	-9.19	3.79e-20
