PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4736	rs573744	9.242	rs4653329	0.27191	7.2	7.35919	460	28	enet	0.31	1.6e-16	5.2832	1.27e-7
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000232022.7.wgt.RDat	ENSG00000232022.7	1	46432128	46432129	0.2354	rs324423	-5.423	rs4141964	0.074692	5.23	-2.28278	350	31	enet	0.075	1.1e-4	-4.78024	1.75e-6
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000120333.4.wgt.RDat	ENSG00000120333.4	1	175023424	175023425	0.0823	rs12077529	12.474	rs7516410	0.099002	-4.38	7.16511	439	29	enet	0.058	6.6e-4	-7.28594	3.19e-13
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.2801	rs1196366	6.601	rs1196365	0.231799	-6.75	6.25664	461	22	enet	0.21	9.3e-11	-5.7309	9.99e-9
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000270820.5.wgt.RDat	ENSG00000270820.5	2	61471187	61471188	0.2622	rs7591402	9.81	rs17006750	0.144898	5.26	4.66683	299	13	enet	0.075	1.1e-4	4.56476	5e-6
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1931	rs2138913	-6.53	rs1823913	0.109015	-4.84	-5.08675	384	6	enet	0.04	0.004	5.13509	2.82e-7
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.1862	rs13023540	15.05	rs1344645	0.040645	-3.77	-7.08603	367	15	enet	0.034	0.0077	6.46314	1.03e-10
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000206567.9.wgt.RDat	ENSG00000206567.9	3	10011208	10011209	0.1383	rs7626117	-8.58	rs2302786	0.118449	-5.02	-5.830897	523	14	enet	0.079	7.8e-5	5.64116	1.69e-8
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000272886.5.wgt.RDat	ENSG00000272886.5	3	53347609	53347610	0.1799	rs11130367	11.74	rs3732834	-0.003037	-3.41	3.211125	406	5	enet	-0.0032	0.51	-9.09322	9.61e-20
GTExv8.EUR.Prostate	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Prostate/ENSG00000125388.19.wgt.RDat	ENSG00000125388.19	4	2963607	2963608	0.3868	rs3775068	-10.34	rs3021140	0.34	-8.1	-4.368582	378	9	enet	0.34	4.8e-18	4.48762	7.2e-6
