PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.4359	rs1891910	-4.64	rs3094315	0.0789	6.56	-0.146306	137	17	enet	0.18	2.4e-24	0.28558	0.775
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000230092.7.wgt.RDat	ENSG00000230092.7	1	810169	810170	0.1825	rs1891910	-4.64	rs3094315	0.0828	6.69	-0.146306	150	27	enet	0.089	3.7e-12	0.69053	0.49
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.1023	rs1891910	-4.64	rs3094315	0.0632	5.79	-0.146306	153	31	enet	0.1	7.9e-14	-0.31987	0.749
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.2623	rs1891910	-4.64	rs3094315	0.0908	6.99	-0.146306	156	29	enet	0.12	3.8e-16	1.06241	0.288
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000223764.2.wgt.RDat	ENSG00000223764.2	1	919691	919692	0.1056	rs1891910	-4.64	rs13303106	0.0392	-5.4	0.671828	176	31	enet	0.05	1.9e-07	-0.5418	0.588
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000187634.11.wgt.RDat	ENSG00000187634.11	1	923927	923928	0.0843	rs1891910	-4.64	rs1110052	0.0447	-5.62	0.457433	177	11	enet	0.044	1.2e-06	-0.31494	0.753
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2695	rs1891910	-4.64	rs3748595	0.112	8.12	-3.446621	181	18	enet	0.12	2.1e-16	-2.76276	0.00573
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1338	rs1891910	-4.64	rs13303010	0.114	-7.69	-1.059608	181	8	enet	0.12	7.7e-16	0.99349	0.32
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.0871	rs1891910	-4.64	rs2341354	0.0453	-5.54	-0.541763	181	11	enet	0.04	3.1e-06	0.5099	0.61
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4745	rs1891910	-4.64	rs1891906	0.314	-12.71	-0.657189	184	22	enet	0.33	8e-46	0.46835	0.64
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000273443.1.wgt.RDat	ENSG00000273443.1	1	1063287	1063288	0.0737	rs1891910	-4.64	rs9442372	0.0396	-4.76	0.804079	206	8	enet	0.022	0.00042	-0.42699	0.669
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000237330.2.wgt.RDat	ENSG00000237330.2	1	1074306	1074307	0.1723	rs1891910	-4.64	rs4075116	0.128	8.51	-1.139823	209	18	enet	0.14	1.4e-18	-1.12461	0.261
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1296	rs1891910	-4.64	rs11807848	0.0239	-5.44	-0.45554	216	14	enet	0.044	1.1e-06	0.19566	0.845
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000186891.13.wgt.RDat	ENSG00000186891.13	1	1206690	1206691	0.0463	rs1891910	-4.64	rs1320565	0.0143	-3.81	0.620042	228	10	enet	0.0074	0.03	-1.5635	0.118
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.2729	rs1891910	-4.64	rs3813199	0.231	-11.24	-0.068504	229	20	enet	0.24	2e-32	-0.08214	0.935
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000230415.1.wgt.RDat	ENSG00000230415.1	1	1275222	1275223	0.081	rs1891910	-4.64	rs3737722	0.0832	6.77	-0.68701	242	9	enet	0.073	3.8e-10	-0.60074	0.548
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.2047	rs1891910	-4.64	rs12072310	0.136	9.5	0.565777	245	12	enet	0.17	4.3e-22	0.42763	0.669
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.0798	rs1891910	-4.64	rs2765021	0.0332	4.71	0.250194	253	49	enet	0.019	0.001	1.77517	0.0759
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.0773	rs1891910	-4.64	rs2649588	0.0188	5.61	0.667914	253	25	enet	0.035	1.4e-05	0.44283	0.658
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000175756.13.wgt.RDat	ENSG00000175756.13	1	1375494	1375495	0.0557	rs1891910	-4.64	rs1749951	0.000938	3.49	0.226051	267	18	enet	0.0068	0.035	-3.12122	0.0018
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1936	rs1891910	-4.64	rs17160669	0.137	8.7	-1.054271	276	8	enet	0.13	8e-18	-0.00166	0.999
Skin_Sun_Exposed_Lower_leg	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Skin_Sun_Exposed_Lower_leg/ENSG00000272455.1.wgt.RDat	ENSG00000272455.1	1	1409095	1409096	0.0615	rs1891910	-4.64	rs1240707	0.0515	-5.16	0.80767	276	9	enet	0.047	4.3e-07	-0.79543	0.426
