GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
375790       1     955503     991499     19       2  351827      0.31698      0.37563        0.383   1000
54991        1    1017198    1051736     39       4  351827      0.40196      0.34386        0.337   1000
51150        1    1152288    1167447     22       4  351827     -0.37872      0.64755        0.668   1000
126792       1    1167629    1170421      2       1  351827    -0.032742      0.51306        0.495   1000
6339         1    1215816    1227409     21       1  351827      0.41025      0.34081        0.355   1000
116983       1    1227764    1243304      1       1  351827      0.66008       0.2546        0.259   1000
54973        1    1246965    1260067      1       1  351827      0.14924      0.44068        0.443   1000
55052        1    1337276    1342693     10       1  351827      0.18107      0.42816         0.44   1000
441869       1    1353800    1356824    147       9  351827     0.079145      0.46846        0.487   1000
83858        1    1407139    1444852      4       1  351827       2.0833     0.018611        0.018   1000
984          1    1571100    1590473     10       1  351827       1.0927      0.13727        0.118   1000
728661       1    1591486    1624243     51       8  351827      0.87887      0.18974        0.187   1000
728642       1    1633822    1655999      1       1  351827      -1.1036      0.86512        0.868   1000
9906         1    1656277    1677438      2       1  351827      0.72875      0.23308        0.226   1000
163688       1    1846266    1848733     25       1  351827     -0.42842      0.66583        0.678   1000
100506504    1    2113250    2115812      2       1  351827     -0.99232      0.83948        0.828   1000
199990       1    2115899    2144159      9       2  351827     -0.97256      0.83461        0.841   1000
79906        1    2251719    2323190     20       2  351827     -0.71747      0.76346        0.773   1000
9651         1    2407754    2436964      2       1  351827       1.0673      0.14292        0.121   1000
100287898    1    2572807    2706230     77       1  351827      0.10461      0.45834         0.45   1000
49856        1    3547331    3566671     40       5  351827      0.12602      0.44986         0.44   1000
9731         1    3728645    3773797    164       6  351827      0.49819      0.30917        0.298   1000
1677         1    3773845    3801993      5       1  351827      0.63684      0.26211        0.283   1000
339448       1    3805697    3816857     13       2  351827      0.38397       0.3505        0.358   1000
261734       1    5922870    6052618     90       3  351827      0.88652      0.18767        0.181   1000
388591       1    6266189    6281359      3       1  351827      0.51443      0.30348        0.291   1000
23463        1    6281253    6296044      5       1  351827     -0.23791      0.59402        0.588   1000
57449        1    6526152    6580121      1       1  351827       -1.226       0.8899        0.884   1000
90326        1    6684925    6695646     39       2  351827      -0.5089      0.69459        0.659   1000
55735        1    6694228    6761966      2       1  351827      -1.2855      0.90069        0.897   1000
9341         1    7831329    7841492     39       2  351827      -0.1879      0.57452        0.568   1000
10911        1    7907672    7913551     60       2  351827     -0.13287      0.55285        0.541   1000
9563         1    9294822    9331396     17       3  351827     -0.46574       0.6793        0.691   1000
116362       1   10057255   10076078      4       2  351827       1.2976     0.097215        0.087   1000
378708       1   10489944   10510239     32       2  351827      0.12541       0.4501        0.443   1000
1676         1   10520588   10532613      5       1  351827       1.9726     0.024271        0.029   1000
5394         1   11126675   11159961      5       1  351827      -1.1291      0.87058         0.88   1000
26270        1   11724150   11734411     31       4  351827      0.34558      0.36483        0.352   1000
1185         1   11866153   11903201      8       2  351827     -0.83941      0.79938        0.799   1000
55092        1   15479028   15546974     32       2  351827      -0.6858      0.75358        0.785   1000
842          1   15817896   15851407     55       1  351827      0.42624      0.33497        0.354   1000
284723       1   16062721   16067884     33       4  351827      0.17161      0.43187        0.437   1000
54751        1   16083107   16113089     15       2  351827     -0.86466      0.80639        0.804   1000
1187         1   16348486   16360548     35       1  351827       1.2478      0.10605        0.104   1000
128272       1   16524599   16539104    261       7  351827      0.64117      0.26071        0.259   1000
79363        1   16558182   16563659    132       7  351827      0.47843      0.31617        0.287   1000
55707        1   16767167   16786585     15       1  351827     -0.78946      0.78508        0.774   1000
9696         1   17248445   17299474     46       3  351827    -0.087714      0.53495         0.58   1000
4237         1   17300997   17308081     25       3  351827     -0.28171      0.61092         0.64   1000
23065        1   19542158   19578053    260       9  351827      -0.2973      0.61688        0.633   1000
832          1   19665267   19812066     86       3  351827      0.20086       0.4204        0.419   1000
255104       1   20008706   20126424     28       1  351827     -0.36645      0.64299        0.631   1000
23252        1   20208356   20239438     22       2  351827       -1.615      0.94685         0.95   1000
127733       1   20512578   20522540      4       1  351827       -1.358      0.91277        0.913   1000
79594        1   20825941   20834674     10       1  351827     -0.31081      0.62203        0.637   1000
978          1   20915444   20945401      2       1  351827      0.24758      0.40223        0.387   1000
84224        1   21766583   21811393    117       7  351827      -1.0945      0.86314        0.859   1000
3339         1   22148737   22263750     33       1  351827      -1.1114       0.8668         0.84   1000
7798         1   23410516   23504301     37       2  351827        1.545     0.061173        0.074   1000
80818        1   23685941   23696357     15       2  351827      0.80655      0.20996        0.213   1000
55629        1   24286301   24289952      9       3  351827     -0.45044       0.6738         0.67   1000
90529        1   24683489   24741587     70       4  351827      0.79054      0.21461        0.221   1000
57185        1   24742245   24799473     59       2  351827       1.5063     0.065999        0.053   1000
6007         1   25598884   25656936    172       3  351827     -0.31906      0.62516        0.617   1000
6006         1   25687853   25747363     28       2  351827     -0.39201      0.65248        0.655   1000
26119        1   25870071   25895377     25       1  351827      -0.4468      0.67249        0.672   1000
10256        1   26503981   26516375    319      11  351827      0.28045      0.38957        0.329   1000
3151         1   26798902   26803133      3       1  351827      -1.4573      0.92749        0.924   1000
101928728    1   27018623   27022896     45       1  351827      0.72834       0.2332        0.238   1000
54707        1   27205872   27216869      2       1  351827       1.5648     0.058817        0.063   1000
84065        1   27648636   27662891     10       3  351827     -0.72913      0.76704        0.744   1000
10163        1   27730734   27816678      1       1  351827     -0.57895      0.71869        0.721   1000
2268         1   27938800   27961727      4       1  351827      0.86846      0.19257        0.195   1000
6118         1   28218035   28241255     30       4  351827      0.69688      0.24294        0.252   1000
2140         1   28296855   28415173    121       5  351827      0.82492      0.20471        0.206   1000
93974        1   28562602   28564616    188       9  351827       1.0359      0.15013        0.181   1000
65979        1   28696093   28826881    370       9  351827      0.35959      0.35958        0.369   1000
2035         1   29213603   29446558      5       2  351827    -0.044134       0.5176        0.549   1000
51102        1   29519385   29557460     35       1  351827        -2.17        0.985        0.982   1000
347735       1   31882412   31907527     12       3  351827      -1.0976      0.86381        0.866   1000
553115       1   32095463   32110838     44       2  351827      0.29018      0.38584        0.393   1000
149069       1   32674695   32681797      1       1  351827     -0.15472      0.56148        0.612   1000
55108        1   32830704   32860062      2       1  351827      0.59114      0.27721        0.277   1000
113451       1   33546711   33586132      1       1  351827      -1.0995      0.86423        0.865   1000
127550       1   33772367   33786699    129       3  351827      0.59011      0.27756        0.267   1000
113444       1   35315963   35325417      3       1  351827     -0.20358      0.58066        0.612   1000
79830        1   35525387   35581460     64       2  351827       2.0833     0.018614        0.016   1000
6421         1   35641981   35658766      2       1  351827     0.069665      0.47223        0.464   1000
192669       1   36396364   36522360      4       2  351827     -0.42141      0.66327        0.658   1000
127700       1   36883507   36916086      3       1  351827      0.32236      0.37359        0.355   1000
64769        1   37955561   37980420     91       2  351827      0.59641      0.27545        0.284   1000
7802         1   38022520   38032458    139       7  351827      0.39499      0.34643        0.353   1000
54955        1   38147242   38158007     22       1  351827       1.6672     0.047735        0.046   1000
3633         1   38326369   38412729    120      10  351827       2.3862    0.0085126         0.01   1000
10946        1   38422647   38456019     45       4  351827       1.1686      0.12129        0.109   1000
2275         1   38462439   38471199     78       5  351827       1.8247     0.034026         0.03   1000
51118        1   38478384   38490497     42       2  351827       1.7045     0.044148        0.035   1000
4725         1   39491967   39500308    106       4  351827      -1.0285      0.84814        0.838   1000
353500       1   39957318   39995541      1       1  351827     -0.72619      0.76614        0.775   1000
10450        1   40204517   40229586     89      10  351827      0.73054      0.23253        0.216   1000
64064        1   40235197   40237020     13       1  351827      -1.4842      0.93112        0.939   1000
54802        1   40306703   40349177     37       3  351827     -0.48939      0.68772        0.701   1000
5538         1   40538382   40563142     13       1  351827     -0.45533      0.67556        0.692   1000
1298         1   40766162   40782939      9       1  351827     -0.42074      0.66303        0.666   1000
339559       1   40943043   40962015     64       2  351827       1.3538     0.087899        0.093   1000
64789        1   40974391   40982228     17       1  351827     -0.35227      0.63768         0.64   1000
1907         1   41944446   41950348      1       1  351827       -2.332      0.99015         0.99   1000
79717        1   42921968   42939088     11       2  351827       1.6685     0.047608        0.036   1000
