GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     13       2  351827        1.668     0.047654        0.034   1000
339451       1     895967     901099      2       1  351827      0.50396      0.30715        0.299   1000
84808        1     910579     917473    111      10  351827      0.72235      0.23504        0.233   1000
57801        1     934342     936608     50       8  351827       0.9787      0.16386        0.157   1000
9636         1     948847     949920      1       1  351827      0.29511      0.38396        0.391   1000
375790       1     955503     991499     70       9  351827     -0.47465      0.68248        0.672   1000
54991        1    1017198    1051736     86       9  351827     -0.40584      0.65757        0.662   1000
8784         1    1138888    1142163      4       1  351827      0.30872      0.37877        0.389   1000
126792       1    1167629    1170421     65       1  351827      -1.3278      0.90788        0.916   1000
6339         1    1215816    1227409     63       4  351827      0.51573      0.30302        0.314   1000
54973        1    1246965    1260067      2       1  351827     0.098008      0.46096        0.455   1000
80772        1    1260136    1264276     14       1  351827     -0.63677      0.73786        0.747   1000
1855         1    1270658    1284509      4       1  351827      0.11181      0.45549        0.452   1000
54587        1    1288071    1297183     54       4  351827      0.02391      0.49046        0.504   1000
55052        1    1337276    1342693     48       2  351827      0.54319       0.2935        0.282   1000
441869       1    1353800    1356824    389      18  351827       0.4715      0.31864        0.321   1000
219293       1    1378152    1405538     34       4  351827         1.21      0.11315        0.126   1000
83858        1    1407139    1444852    138      12  351827       1.4965     0.067255        0.074   1000
55210        1    1447523    1470067      1       1  351827     -0.49339      0.68913        0.668   1000
142678       1    1550795    1565990     14       1  351827      0.23757      0.40611        0.389   1000
984          1    1571100    1590473      2       1  351827     -0.58308      0.72008        0.716   1000
728661       1    1591486    1624243     45       5  351827      0.73977      0.22972        0.236   1000
728642       1    1633822    1655999      5       2  351827      0.33548      0.36863        0.374   1000
9906         1    1656277    1677438     20       3  351827      0.40886      0.34132        0.333   1000
65220        1    1682671    1711508      3       1  351827      -1.2524      0.89479        0.899   1000
2782         1    1716725    1822552      3       1  351827      0.87481      0.19084        0.182   1000
163688       1    1846266    1848733     43       2  351827     -0.63339      0.73676        0.747   1000
100506504    1    2113250    2115812     68       4  351827     -0.56546      0.71412        0.719   1000
199990       1    2115899    2144159     19       5  351827      0.70436       0.2406        0.249   1000
79906        1    2251719    2323190     39       4  351827     -0.41876      0.66231        0.656   1000
5192         1    2336241    2344010      5       1  351827      0.47546      0.31723        0.316   1000
127281       1    2517899    2522908    110       3  351827     -0.26283      0.60366         0.58   1000
100287898    1    2572807    2706230     96       2  351827      0.24686      0.40251        0.409   1000
127262       1    3541556    3546695      1       1  351827     -0.34819      0.63615        0.647   1000
49856        1    3547331    3566671     51       8  351827     -0.31103      0.62211        0.628   1000
388588       1    3689352    3692546    123       6  351827       1.1857      0.11788        0.132   1000
9731         1    3728645    3773797    184       8  351827       0.2595      0.39763        0.414   1000
1677         1    3773845    3801993    101       6  351827       1.0005      0.15853        0.173   1000
339448       1    3805697    3816857     46       6  351827       1.1843      0.11814        0.136   1000
55966        1    4715105    4843851     12       1  351827     -0.42492      0.66455        0.666   1000
261734       1    5922870    6052618    250       9  351827       1.8069     0.035392        0.036   1000
388591       1    6266189    6281359     50       7  351827     -0.50458      0.69307        0.701   1000
23463        1    6281253    6296044     41       4  351827    -0.048304      0.51926        0.505   1000
387509       1    6307406    6321035     77       4  351827      0.17639      0.42999        0.456   1000
3104         1    6640051    6649340     16       3  351827    -0.046612      0.51859        0.519   1000
9341         1    7831329    7841492     33       2  351827     -0.13642      0.55425        0.535   1000
11315        1    8021714    8045342     73       3  351827     -0.17465      0.56932         0.57   1000
50651        1    8378171    8404227      2       1  351827      0.53154      0.29752        0.294   1000
9563         1    9294822    9331396     35       4  351827      0.42672      0.33479        0.348   1000
5293         1    9711789    9789172     13       1  351827        2.321     0.010144       0.0084   5000
116362       1   10057255   10076078     37       4  351827       1.5861     0.056356        0.054   1000
5226         1   10458884   10480565     21       1  351827       2.8933    0.0019062       0.0026   5000
378708       1   10489944   10510239     54       6  351827      0.10558      0.45796        0.457   1000
1325         1   10509776   10512060      5       1  351827      0.44553      0.32797        0.312   1000
5394         1   11126675   11159961    338       6  351827     -0.46458      0.67889        0.674   1000
26270        1   11724150   11734411      2       1  351827     -0.54238      0.70622        0.709   1000
57085        1   11796142   11810828      3       1  351827     -0.63476      0.73721        0.748   1000
4524         1   11845787   11866160    105       6  351827     -0.26089      0.60291        0.616   1000
