GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961     68       5  351827      0.45189      0.32567        0.307   1000
26155        1     879583     894679     47       5  351827       1.5256      0.06356        0.069   1000
339451       1     895967     901099     32       2  351827       1.6427     0.050219        0.049   1000
84069        1     901872     910488     48       5  351827       1.4153     0.078497        0.084   1000
84808        1     910579     917473      5       1  351827     0.074943      0.47013        0.467   1000
57801        1     934342     936608    104       6  351827       1.0889      0.13811        0.133   1000
375790       1     955503     991499     81       5  351827      0.46522      0.32089        0.292   1000
54991        1    1017198    1051736    158      13  351827     -0.17287      0.56862        0.549   1000
8784         1    1138888    1142163     44       4  351827     -0.76315      0.77731         0.77   1000
7293         1    1146706    1149703     70       1  351827      -1.3891       0.9176        0.904   1000
51150        1    1152288    1167447      9       1  351827      0.77034      0.22055          0.2   1000
126792       1    1167629    1170421    235      13  351827     -0.62336      0.73347        0.723   1000
118424       1    1189292    1209234      2       1  351827    -0.032931      0.51314        0.546   1000
6339         1    1215816    1227409    163      18  351827     -0.31136      0.62223        0.605   1000
116983       1    1227764    1243304     42       2  351827    -0.076876      0.53064        0.515   1000
126789       1    1243962    1247057     86       5  351827      0.37571      0.35357        0.331   1000
54973        1    1246965    1260067    180      10  351827      0.20987      0.41688        0.397   1000
80772        1    1260136    1264276     26       2  351827     -0.45031      0.67376        0.667   1000
1855         1    1270658    1284509    124       6  351827     -0.41826      0.66212        0.648   1000
54587        1    1288071    1297183     93       3  351827        0.239      0.40555        0.387   1000
54998        1    1309110    1310818      7       1  351827      0.50302      0.30747        0.304   1000
55052        1    1337276    1342693    255      11  351827     -0.51598      0.69706        0.704   1000
441869       1    1353800    1356824    459      25  351827     -0.16933      0.56723         0.54   1000
219293       1    1378152    1405538    344      20  351827      0.16257      0.43543        0.443   1000
83858        1    1407139    1444852    147      12  351827       1.3809     0.083653        0.092   1000
55210        1    1447523    1470067     83      12  351827      0.58216      0.28023         0.27   1000
29101        1    1477053    1510262     65       5  351827      0.36598      0.35719        0.353   1000
643988       1    1533388    1535476     41       5  351827      0.63318      0.26331        0.253   1000
142678       1    1550795    1565990     20       2  351827      0.10621      0.45771        0.454   1000
984          1    1571100    1590473     22       3  351827       1.1641       0.1222        0.115   1000
728661       1    1591486    1624243     68      10  351827      0.68532      0.24657        0.231   1000
728642       1    1633822    1655999     17       3  351827      0.35241      0.36226        0.375   1000
9906         1    1656277    1677438    126       7  351827      0.40078      0.34429        0.364   1000
65220        1    1682671    1711508    134       5  351827      0.03738      0.48509          0.5   1000
2782         1    1716725    1822552      5       1  351827     0.042102      0.48321        0.491   1000
163688       1    1846266    1848733    107       9  351827     -0.67382      0.74979        0.756   1000
339456       1    1849029    1850740    117       8  351827     -0.45287      0.67468        0.697   1000
100506504    1    2113250    2115812    186       9  351827     -0.66624      0.74737         0.73   1000
199990       1    2115899    2144159     50      13  351827      -1.7565      0.96049        0.965   1000
79906        1    2251719    2323190     87      12  351827       -0.862      0.80566        0.812   1000
5192         1    2336241    2344010     24       6  351827     -0.68891      0.75456        0.772   1000
9651         1    2407754    2436964     14       3  351827       0.2113      0.41632        0.441   1000
55229        1    2439975    2458061     11       3  351827       1.1985      0.11536        0.114   1000
8764         1    2487291    2495268     33       1  351827      0.17093      0.43214        0.437   1000
127281       1    2517899    2522908    137       3  351827     0.016095      0.49358        0.497   1000
100287898    1    2572807    2706230    153       6  351827     0.065599      0.47385        0.485   1000
63976        1    2985565    3355185      1       1  351827     -0.89896      0.81566        0.813   1000
27237        1    3371147    3397677    113       9  351827     -0.90266      0.81665        0.812   1000
127262       1    3541556    3546695     29       5  351827      -1.4429      0.92547        0.916   1000
49856        1    3547331    3566671    139      19  351827      -1.3142      0.90561        0.911   1000
7161         1    3569129    3652765     10       2  351827       0.5286      0.29854        0.282   1000
57470        1    3696784    3713068    186       9  351827      0.78651      0.21578        0.219   1000
9731         1    3728645    3773797    315      12  351827      0.73195       0.2321        0.239   1000
1677         1    3773845    3801993    233      15  351827      0.90036      0.18396        0.186   1000
339448       1    3805697    3816857    204      19  351827       1.0232      0.15311        0.168   1000
55966        1    4715105    4843851      6       2  351827     -0.31768      0.62464        0.598   1000
261734       1    5922870    6052618    260       8  351827       1.8363     0.033159        0.039   1000
8514         1    6052358    6161253     60       4  351827        2.704    0.0034253       0.0032   5000
26038        1    6161847    6240194      3       1  351827     -0.37123      0.64477        0.646   1000
388591       1    6266189    6281359     25       7  351827    -0.069955      0.52789        0.509   1000
23463        1    6281253    6296044     49       5  351827      0.25141      0.40075        0.362   1000
387509       1    6307406    6321035     23       1  351827     -0.67504      0.75017         0.76   1000
11332        1    6324332    6453826     40       2  351827    -0.013054      0.50521        0.477   1000
8718         1    6520787    6527432     19       2  351827      0.39713      0.34564        0.316   1000
57449        1    6526152    6580121     35       3  351827      0.24059      0.40494        0.368   1000
79707        1    6581407    6614658    118       2  351827       1.2723      0.10164        0.101   1000
3104         1    6640051    6649340     52       3  351827      0.29257      0.38492        0.372   1000
90326        1    6684925    6695646    102       7  351827     -0.45177      0.67428        0.673   1000
23261        1    6845384    7829766     73       8  351827      0.92129      0.17845        0.168   1000
9341         1    7831329    7841492     46       4  351827      0.37875      0.35244        0.364   1000
11315        1    8021714    8045342    118       6  351827     -0.61432       0.7305        0.735   1000
473          1    8412464    8877699    407      15  351827       1.2013      0.11481        0.134   1000
2023         1    8921059    8939151    282       9  351827      0.79742       0.2126        0.202   1000
6518         1    9097005    9131763     21       5  351827     -0.34471      0.63484        0.651   1000
80045        1    9163472    9189229     22       3  351827     -0.73436      0.76864        0.772   1000
9563         1    9294822    9331396     62       9  351827      0.48023      0.31553        0.323   1000
80176        1    9335202    9429591     10       3  351827      0.85642      0.19588        0.228   1000
5293         1    9711789    9789172     16       2  351827       2.3277    0.0099653        0.009   5000
56998        1    9908334    9970316     24       1  351827      -1.4668      0.92879        0.928   1000
84328        1    9982168   10003460     18       1  351827     -0.76244       0.7771        0.775   1000
64802        1   10003486   10045556      5       2  351827       1.2781      0.10062          0.1   1000
