GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
ENSG00000230021    1     521369     763176    139      29  351827      0.35952       0.3596        0.369   1000
ENSG00000198744    1     569756     570302    111      17  351827      -1.5267      0.93658        0.931   1000
ENSG00000228327    1     661265     714006    101      24  351827      -1.0904      0.86223        0.859   1000
ENSG00000237491    1     714150     745440    180      38  351827     0.030457      0.48785        0.475   1000
ENSG00000230092    1     736259     753092      9       1  351827     -0.19113      0.57579        0.597   1000
ENSG00000177757    1     752751     755217     22       4  351827    -0.081926      0.53265        0.551   1000
ENSG00000228794    1     760518     794826    168      32  351827     -0.95333      0.82979         0.83   1000
ENSG00000230368    1     803451     812283    101      24  351827     -0.38065      0.64827        0.679   1000
ENSG00000234711    1     808672     809729      3       1  351827     -0.12104      0.54817        0.543   1000
ENSG00000283040    1     809909     812614      1       1  351827     -0.60647       0.7279        0.701   1000
ENSG00000272438    1     840214     851356     39       9  351827      0.37596      0.35347         0.35   1000
ENSG00000230699    1     846815     850328     26       5  351827     -0.49393      0.68932        0.687   1000
ENSG00000241180    1     849551     850351     11       3  351827     -0.83162      0.79719        0.798   1000
ENSG00000223764    1     852245     856396     21       4  351827     -0.97155      0.83436        0.848   1000
ENSG00000187634    1     861118     879961     12       4  351827      -0.4208      0.66305        0.655   1000
ENSG00000188976    1     879584     894670     11       4  351827       1.1319      0.12884        0.123   1000
ENSG00000187961    1     895967     901095     11       3  351827       1.0659      0.14323        0.142   1000
ENSG00000187583    1     901877     910488     49      16  351827    0.0030725      0.49877          0.5   1000
ENSG00000187642    1     910584     917473     25       5  351827      0.95042      0.17095        0.204   1000
ENSG00000272512    1     931346     933431     89      16  351827    -0.067571      0.52694        0.514   1000
ENSG00000188290    1     934342     935552     11       3  351827      0.39858       0.3451        0.356   1000
ENSG00000187608    1     936518     949921     18       5  351827      -0.2199      0.58703        0.586   1000
ENSG00000231702    1     943456     943609     87      19  351827     -0.30587      0.62015        0.626   1000
ENSG00000224969    1     947377     948573      8       2  351827       -1.173       0.8796        0.875   1000
ENSG00000188157    1     955503     991498    147      32  351827     -0.15165      0.56027        0.558   1000
ENSG00000242590    1     990413     991496     11       4  351827      0.57417      0.28293        0.263   1000
ENSG00000217801    1     995114    1004735     18       7  351827       0.2189      0.41336        0.425   1000
ENSG00000273443    1     997588     998668      7       4  351827      0.44122      0.32953        0.337   1000
ENSG00000237330    1    1006346    1009687     11       3  351827     0.053962      0.47848        0.486   1000
ENSG00000131591    1    1017198    1051478     30       6  351827     -0.70274      0.75889        0.758   1000
ENSG00000223823    1    1072397    1079436      8       3  351827     -0.09346      0.53723        0.517   1000
ENSG00000207730    1    1102484    1102578      1       1  351827        1.281       0.1001        0.089   1000
ENSG00000207607    1    1103243    1103332      1       1  351827      0.19768      0.42165        0.407   1000
ENSG00000198976    1    1104385    1104467      1       1  351827      0.19768      0.42165        0.407   1000
ENSG00000272141    1    1104737    1105723      2       1  351827      0.31196      0.37754        0.372   1000
ENSG00000205231    1    1108436    1114935     31       6  351827        1.806     0.035459        0.034   1000
ENSG00000162571    1    1109283    1133315     41       8  351827       1.6391     0.050601        0.049   1000
ENSG00000186891    1    1138888    1142071     15       3  351827       0.9345      0.17502        0.179   1000
ENSG00000186827    1    1146706    1149512      9       3  351827      -0.1292       0.5514        0.527   1000
ENSG00000078808    1    1152288    1167411      6       3  351827     -0.42037      0.66289        0.633   1000
ENSG00000176022    1    1167645    1170421     26       8  351827      -1.0499      0.85311        0.831   1000
ENSG00000184163    1    1177833    1182102      8       2  351827     -0.79134      0.78563        0.783   1000
ENSG00000260179    1    1185157    1186714     13       4  351827     -0.82762      0.79606        0.796   1000
ENSG00000160087    1    1189294    1209265     23       5  351827      0.36311      0.35826        0.362   1000
ENSG00000230415    1    1210603    1215800     20       4  351827      0.17892        0.429        0.434   1000
ENSG00000162572    1    1215816    1227409     35       8  351827     -0.34611      0.63537        0.652   1000
ENSG00000131584    1    1227756    1243398     42      11  351827       1.0635      0.14377        0.159   1000
ENSG00000169972    1    1243947    1247057      9       3  351827     -0.89343      0.81419        0.796   1000
ENSG00000127054    1    1246965    1260071     11       3  351827     -0.22031      0.58718        0.577   1000
ENSG00000240731    1    1252961    1254069      6       2  351827     0.081568       0.4675        0.464   1000
ENSG00000224051    1    1260147    1264277     10       3  351827      -0.9498      0.82889        0.815   1000
ENSG00000169962    1    1266694    1270686     14       4  351827     0.040021      0.48404        0.484   1000
ENSG00000107404    1    1270656    1284730     18       6  351827     0.038593      0.48461        0.488   1000
ENSG00000162576    1    1288069    1297157     28       4  351827     -0.44462       0.6717        0.657   1000
ENSG00000175756    1    1309110    1310875     51      14  351827      0.29435      0.38425        0.384   1000
ENSG00000223663    1    1314046    1314412     11       2  351827      0.15939      0.43668         0.44   1000
ENSG00000221978    1    1321875    1334697      9       3  351827      0.55071      0.29092        0.293   1000
ENSG00000224870    1    1334902    1337426     10       3  351827     -0.12073      0.54805        0.532   1000
ENSG00000242485    1    1337288    1342693     12       4  351827     0.032454      0.48705        0.476   1000
ENSG00000264293    1    1340841    1341132      5       3  351827     -0.34805       0.6361        0.622   1000
ENSG00000272455    1    1344476    1345998     11       3  351827      0.13777      0.44521         0.44   1000
ENSG00000235098    1    1353800    1357149     32       8  351827      0.15123       0.4399        0.453   1000
ENSG00000225905    1    1355625    1358071      7       2  351827      0.56174      0.28715        0.266   1000
ENSG00000205116    1    1361508    1363167     20       5  351827      0.59232      0.27682        0.285   1000
ENSG00000225285    1    1365919    1369953      9       1  351827       1.1303      0.12919        0.113   1000
ENSG00000179403    1    1370903    1378262      5       2  351827     -0.58344       0.7202        0.707   1000
ENSG00000215915    1    1385069    1405538     15       5  351827     -0.48881      0.68751        0.703   1000
ENSG00000160072    1    1407149    1431582      6       2  351827     -0.56125      0.71269        0.701   1000
ENSG00000197785    1    1447531    1470067     83      16  351827    -0.042319      0.51688        0.518   1000
ENSG00000205090    1    1470554    1475833      4       2  351827     0.014626      0.49417        0.485   1000
ENSG00000160075    1    1477053    1510249     39       9  351827    -0.071829      0.52863         0.52   1000
ENSG00000215014    1    1510355    1512455      8       2  351827      0.21732      0.41398        0.387   1000
ENSG00000274481    1    1518890    1519289      3       1  351827     -0.13808      0.55491        0.522   1000
ENSG00000228594    1    1533392    1535476     16       4  351827       1.0507       0.1467        0.174   1000
ENSG00000272106    1    1549138    1551175     12       3  351827     -0.29336      0.61538        0.623   1000
ENSG00000197530    1    1550795    1565990     29       8  351827     -0.55109      0.70921        0.702   1000
ENSG00000189409    1    1567474    1570030     38       8  351827      -1.2832       0.9003        0.887   1000
