GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
84808        1     910579     917473      1       1  351827       1.0348      0.15038        0.151   1000
54973        1    1246965    1260067     67       3  351827      0.21626      0.41439         0.44   1000
441869       1    1353800    1356824     18       1  351827      0.66208      0.25396        0.291   1000
219293       1    1378152    1405538      4       1  351827       2.0432     0.020517        0.026   1000
83858        1    1407139    1444852     68       5  351827       1.4907     0.068025        0.079   1000
728661       1    1591486    1624243     21       2  351827       1.2035      0.11439        0.108   1000
728642       1    1633822    1655999      4       1  351827     -0.86193      0.80564        0.824   1000
339456       1    1849029    1850740     10       1  351827      0.77929       0.2179        0.213   1000
49856        1    3547331    3566671      8       2  351827     -0.62629      0.73444        0.749   1000
9731         1    3728645    3773797    131       4  351827      0.53385      0.29672        0.292   1000
339448       1    3805697    3816857     17       3  351827      0.83685      0.20134        0.214   1000
388591       1    6266189    6281359      2       1  351827     -0.62569      0.73424        0.711   1000
8718         1    6520787    6527432      5       1  351827      0.51789      0.30227        0.293   1000
57449        1    6526152    6580121      1       1  351827      0.35016      0.36311        0.369   1000
90326        1    6684925    6695646     13       1  351827     -0.88389      0.81162        0.814   1000
10911        1    7907672    7913551     45       2  351827      -0.4291      0.66608         0.66   1000
842          1   15817896   15851407     55       1  351827      0.42624      0.33497        0.322   1000
284723       1   16062721   16067884     14       1  351827     -0.13608      0.55412        0.528   1000
1188         1   16370231   16383821      1       1  351827    -0.092301      0.53677        0.514   1000
23400        1   17312453   17338467      1       1  351827     -0.86957      0.80773        0.811   1000
55160        1   17846693   18024370      8       1  351827     -0.56537      0.71409        0.723   1000
127707       1   18807424   18812540      2       1  351827     -0.14344      0.55703        0.541   1000
23065        1   19542158   19578053    108       4  351827      0.27091      0.39323        0.389   1000
79594        1   20825941   20834674      9       1  351827     -0.52089      0.69878        0.678   1000
400745       1   21046225   21059133      4       1  351827       1.5351     0.062375        0.074   1000
50809        1   21069170   21113808      1       1  351827      -1.2745      0.89876        0.912   1000
84224        1   21766583   21811393    110       6  351827      -0.9682      0.83353        0.864   1000
3339         1   22148737   22263750     37       1  351827     -0.97385      0.83494        0.834   1000
80818        1   23685941   23696357     25       4  351827      0.24561      0.40299        0.384   1000
6007         1   25598884   25656936    132       2  351827     -0.49511      0.68974        0.678   1000
6006         1   25687853   25747363    142       1  351827      -0.7977      0.78748        0.788   1000
26119        1   25870071   25895377     15       1  351827     -0.45431       0.6752         0.68   1000
10256        1   26503981   26516375      1       1  351827     0.015259      0.49391          0.5   1000
55057        1   26648350   26680621     17       1  351827     0.087649      0.46508        0.481   1000
79947        1   26758773   26797797      2       1  351827     -0.64847      0.74166        0.745   1000
84243        1   27153201   27184092      2       1  351827     -0.54537      0.70725        0.711   1000
9064         1   27681670   27693558      1       1  351827    -0.036102       0.5144        0.529   1000
8547         1   27695601   27701315      1       1  351827      -1.7213      0.95741        0.945   1000
6118         1   28218035   28241255     16       4  351827     -0.89869      0.81559        0.801   1000
1104         1   28832455   28865708      5       1  351827      -0.1526      0.56064        0.575   1000
4146         1   31184124   31196432      7       1  351827       1.0142      0.15524         0.16   1000
10657        1   32479295   32526460      1       1  351827    -0.013263      0.50529        0.518   1000
56063        1   32680040   32687954      1       1  351827       1.2581      0.10417        0.109   1000
127700       1   36883507   36916086     13       1  351827      0.49181      0.31143        0.305   1000
64769        1   37955561   37980420     12       1  351827      0.62605      0.26564        0.311   1000
3633         1   38326369   38412729     40       3  351827       2.9848    0.0014188       0.0019  10000
10946        1   38422647   38456019     47       3  351827       1.9711     0.024359        0.023   1000
2275         1   38462439   38471199     43       3  351827       1.7703     0.038338        0.033   1000
26292        1   39328162   39339050      1       1  351827      -0.3742      0.64587        0.655   1000
4725         1   39491967   39500308    105       4  351827      -0.8584      0.80466        0.818   1000
10450        1   40204517   40229586     61       6  351827       1.1517      0.12471        0.111   1000
64789        1   40974391   40982228      3       1  351827      -2.2313      0.98717        0.984   1000
4802         1   41157242   41237275      2       1  351827     -0.01052       0.5042        0.509   1000
84217        1   42896000   42921938    145       1  351827       1.4162     0.078364        0.072   1000
374969       1   43272723   43283059     11       1  351827       0.2248      0.41107        0.406   1000
149465       1   43638001   43720029     79       3  351827       1.6671      0.04775        0.045   1000
128218       1   43735665   43739673      6       1  351827    -0.077233      0.53078        0.512   1000
64834        1   43829068   43833745      1       1  351827     -0.95566      0.83038        0.836   1000
23139        1   46269269   46501796     36       2  351827    -0.032547      0.51298        0.516   1000
