GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961     20       2  351827     -0.37873      0.64756         0.66   1000
26155        1     879583     894679     18       1  351827       1.7531      0.03979        0.035   1000
339451       1     895967     901099     14       2  351827     -0.28047      0.61044        0.613   1000
54991        1    1017198    1051736    131       9  351827      -0.3893      0.65147        0.663   1000
8784         1    1138888    1142163     67       1  351827      -1.2212        0.889        0.893   1000
7293         1    1146706    1149703    106       2  351827      -1.2567      0.89558          0.9   1000
126792       1    1167629    1170421    206      10  351827     -0.63065      0.73587        0.729   1000
6339         1    1215816    1227409     50       3  351827      0.39603      0.34604        0.345   1000
126789       1    1243962    1247057     26       1  351827      0.51593      0.30295        0.287   1000
54973        1    1246965    1260067    148       7  351827    -0.037009      0.51476        0.489   1000
80772        1    1260136    1264276     40       2  351827      0.07021      0.47201        0.452   1000
83756        1    1266726    1269844     96       4  351827     -0.60727      0.72816        0.704   1000
54587        1    1288071    1297183     22       2  351827      0.34716      0.36423        0.342   1000
55052        1    1337276    1342693     75       4  351827      0.62249      0.26681        0.245   1000
441869       1    1353800    1356824    262      13  351827    0.0092376      0.49631        0.488   1000
64856        1    1370903    1378262     13       1  351827      0.19493      0.42273        0.411   1000
219293       1    1378152    1405538     75       5  351827       1.0246      0.15279        0.138   1000
83858        1    1407139    1444852     68       6  351827       1.6549     0.048974        0.053   1000
984          1    1571100    1590473     14       2  351827     0.014085      0.49438        0.501   1000
728661       1    1591486    1624243     40       5  351827      0.83285      0.20246         0.18   1000
728642       1    1633822    1655999      2       1  351827      -1.1278      0.87031         0.88   1000
9906         1    1656277    1677438      9       1  351827      0.69239      0.24434        0.253   1000
65220        1    1682671    1711508     69       2  351827      0.21882       0.4134        0.413   1000
339456       1    1849029    1850740     63       3  351827     -0.51279      0.69595        0.703   1000
2563         1    1950768    1962192      1       1  351827      0.71262      0.23804         0.24   1000
199990       1    2115899    2144159     27       3  351827     -0.76269      0.77718        0.766   1000
6497         1    2160134    2241652     41       3  351827       -0.353      0.63796        0.643   1000
79906        1    2251719    2323190     31       4  351827     0.047147       0.4812        0.511   1000
5192         1    2336241    2344010      7       2  351827     0.011834      0.49528        0.505   1000
9651         1    2407754    2436964     36       3  351827        2.139     0.016219        0.021   1000
8764         1    2487291    2495268    253       8  351827    -0.034812      0.51389         0.49   1000
127281       1    2517899    2522908     71       4  351827      0.12621      0.44978        0.438   1000
100287898    1    2572807    2706230    215       8  351827     0.043681      0.48258        0.455   1000
27237        1    3371147    3397677     75       4  351827      -2.5595      0.99476        0.996   1000
1953         1    3404506    3528059      8       1  351827    -0.046059      0.51837        0.513   1000
127262       1    3541556    3546695     11       2  351827      -3.4419      0.99971        0.999   1000
7161         1    3569129    3652765      4       1  351827      0.83566      0.20167          0.2   1000
9731         1    3728645    3773797    154       6  351827        0.486      0.31348        0.293   1000
1677         1    3773845    3801993    112       7  351827        1.057      0.14525        0.159   1000
339448       1    3805697    3816857     70       5  351827       1.1342      0.12837        0.139   1000
261734       1    5922870    6052618    244       9  351827       1.7865     0.037013         0.04   1000
8514         1    6052358    6161253     39       3  351827       1.7956     0.036277        0.047   1000
388591       1    6266189    6281359      3       1  351827      -1.2522      0.89475        0.893   1000
11332        1    6324332    6453826    104       4  351827     -0.26846      0.60583        0.585   1000
8718         1    6520787    6527432    108       4  351827     -0.15987      0.56351        0.554   1000
57449        1    6526152    6580121     91       3  351827     0.012057      0.49519        0.479   1000
90326        1    6684925    6695646      6       1  351827      0.75661      0.22464        0.229   1000
23261        1    6845384    7829766     37       3  351827       1.3678     0.085692        0.088   1000
10911        1    7907672    7913551    170      10  351827       1.4655     0.071395        0.075   1000
11315        1    8021714    8045342     76       2  351827     0.097616      0.46112        0.463   1000
54206        1    8071779    8086393      1       1  351827      0.29936      0.38233        0.382   1000
9563         1    9294822    9331396     81       9  351827     -0.40282      0.65646        0.645   1000
80176        1    9335202    9429591      1       1  351827       1.2134      0.11248        0.083   1000
84275        1    9599528    9642831      6       1  351827      -0.6599      0.74534         0.77   1000
5293         1    9711789    9789172     14       1  351827       2.3123     0.010381        0.011   1000
22883        1    9789079    9884550     15       2  351827     -0.42141      0.66327        0.651   1000
116362       1   10057255   10076078      1       1  351827      0.37826      0.35262        0.358   1000
10277        1   10093041   10241297      6       1  351827     -0.68572      0.75356        0.773   1000
5226         1   10458884   10480565      1       1  351827       1.3973     0.081168        0.069   1000
1325         1   10509776   10512060     14       1  351827      0.14218      0.44347        0.438   1000
1676         1   10520588   10532613     12       1  351827       1.2714       0.1018        0.121   1000
148345       1   11006530   11042094     37       4  351827       1.2255       0.1102        0.101   1000
6723         1   11114649   11120091      1       1  351827      -3.4838      0.99975        0.999   1000
5394         1   11126675   11159961    211       5  351827     -0.14244      0.55664        0.544   1000
93611        1   11714432   11723384     12       4  351827      0.95706      0.16927        0.161   1000
10459        1   11734537   11751678     15       3  351827      0.31216      0.37746        0.387   1000
374946       1   11751781   11780336     12       2  351827     -0.34682      0.63564        0.659   1000
57085        1   11796142   11810828      4       1  351827        2.034     0.020974        0.018   1000
4524         1   11845787   11866160    210       9  351827      0.35451      0.36148        0.343   1000
1185         1   11866153   11903201    155       9  351827      0.74033      0.22955        0.231   1000
5351         1   11994724   12035599     75       6  351827      0.84003      0.20044          0.2   1000
7133         1   12227044   12269279      4       1  351827       2.3425    0.0095781       0.0108   5000
7799         1   14026714   14151574     16       1  351827      -0.5155       0.6969        0.698   1000
55092        1   15479028   15546974     11       1  351827       1.2671      0.10255         0.08   1000
114827       1   15573730   15724767      6       1  351827       1.5637     0.058949        0.056   1000
842          1   15817896   15851407    177       5  351827     -0.32568      0.62767        0.599   1000
23341        1   15853343   15898228    162       4  351827     -0.39391      0.65318        0.619   1000
84301        1   15943953   15995539    333       4  351827      0.71408      0.23759        0.233   1000
23207        1   16010632   16061264    370       6  351827      0.62551      0.26582        0.247   1000
284723       1   16062721   16067884    207      12  351827      0.82265      0.20535        0.206   1000
54751        1   16083107   16113089      2       1  351827       1.0645      0.14354        0.154   1000
27129        1   16340523   16346084    124       3  351827       1.2963     0.097441        0.091   1000
1187         1   16348486   16360548    146       5  351827     -0.83595      0.79841          0.8   1000
1188         1   16370231   16383821    130      15  351827      0.65708      0.25557        0.274   1000
348487       1   16384264   16400127     78       6  351827      0.96839      0.16643        0.172   1000
128272       1   16524599   16539104    252       8  351827      0.69178      0.24454        0.247   1000
54455        1   16573339   16678965    178       4  351827       0.9124      0.18078        0.171   1000
374955       1   16722101   16763919     69       5  351827      -2.0991       0.9821        0.985   1000
9696         1   17248445   17299474     63       6  351827     -0.33656      0.63177        0.626   1000
23400        1   17312453   17338467     62       5  351827     -0.17058      0.56772        0.548   1000
6390         1   17345217   17380665     48       1  351827    0.0056803      0.49773        0.486   1000
55920        1   17733251   17766250     29       1  351827     -0.76952      0.77921        0.798   1000
55160        1   17846693   18024370     40       4  351827      -0.9309      0.82405        0.836   1000
84966        1   18434240   18704977     83       7  351827    0.0062125      0.49752        0.494   1000
8659         1   19197924   19229293     33       1  351827     -0.13288      0.55286        0.528   1000
23352        1   19401000   19536812     53       3  351827     -0.22063      0.58731        0.594   1000
23065        1   19542158   19578053    242      12  351827       1.0301      0.15148        0.137   1000
51154        1   19578075   19586622     97       3  351827        1.513     0.065139         0.07   1000
22977        1   19609057   19615280     22       3  351827      0.34958      0.36333        0.365   1000
8574         1   19629202   19638640      4       2  351827      -1.6546        0.951        0.954   1000
54896        1   19638740   19658925    121       9  351827       1.4034     0.080253        0.071   1000
4681         1   19969723   19984949    124      12  351827    -0.064326      0.52564        0.518   1000
23252        1   20208356   20239438     76       6  351827      -2.2965      0.98918        0.983   1000
5322         1   20386157   20418394    116       9  351827     -0.37278      0.64535        0.655   1000
55450        1   20808884   20812728     56       1  351827      0.16445      0.43469        0.415   1000
79594        1   20825941   20834674     11       2  351827      -1.8329      0.96659        0.958   1000
163933       1   20878932   20881513    129       8  351827     -0.95919      0.83127        0.818   1000
978          1   20915444   20945401     24       3  351827      0.88274      0.18869        0.191   1000
65018        1   20959948   20978004     10       1  351827      0.91618      0.17979        0.191   1000
400745       1   21046225   21059133      7       1  351827      0.12274      0.45116        0.458   1000
8672         1   21132785   21503381      9       3  351827      0.69253       0.2443         0.25   1000
84224        1   21766583   21811393    119       7  351827       -1.011      0.84399        0.829   1000
5909         1   21922708   21996010      5       2  351827      -3.4781      0.99975        0.999   1000
3339         1   22148737   22263750      9       3  351827     0.043545      0.48263        0.504   1000
9923         1   22778344   22857650     18       1  351827      0.56725      0.28527        0.284   1000
2046         1   22890004   22930087     64       7  351827      0.92146       0.1784        0.178   1000
6920         1   23707555   23751269     74       8  351827       1.5955     0.055303        0.049   1000
55616        1   23755056   23810750     15       2  351827       1.9735     0.024221        0.019   1000
3155         1   24128367   24165110    162       6  351827       1.7554     0.039599        0.052   1000
55629        1   24286301   24289952      4       1  351827     -0.38974      0.65163        0.669   1000
127294       1   24382531   24438665     44       6  351827      -1.1243      0.86956        0.866   1000
58985        1   24446261   24469783     75      10  351827     -0.54378       0.7067        0.701   1000
57185        1   24742245   24799473     15       1  351827     -0.22527      0.58911        0.583   1000
6007         1   25598884   25656936    171       3  351827     -0.94731      0.82826        0.843   1000
23585        1   25664789   25688852    159       2  351827     -0.60721      0.72814        0.748   1000
6006         1   25687853   25747363    160       2  351827     -0.63661      0.73781        0.753   1000
55219        1   25757388   25826700    151       2  351827     -0.68985      0.75486        0.768   1000
26119        1   25870071   25895377     30       2  351827     -0.95777      0.83091        0.829   1000
57190        1   26126667   26144713    112       5  351827      -1.2244       0.8896        0.899   1000
56181        1   26146397   26159433     70       3  351827     -0.92415       0.8223        0.838   1000
164091       1   26187975   26202461     42       2  351827     -0.78565      0.78396        0.804   1000
5051         1   26286258   26326366    229      10  351827      0.88846      0.18715        0.196   1000
