PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.1437	rs1891910	-4.64	rs3094315	0.0979	5.2	-0.146306	155	10	enet	0.094	2.8e-07	-0.2461	0.806
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000187961.13.wgt.RDat	ENSG00000187961.13	1	960586	960587	0.1428	rs1891910	-4.64	rs2341365	0.018	-4.15	-0.18878	180	20	enet	0.012	0.044	1.26895	0.204
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.1247	rs1891910	-4.64	rs13303118	0.101	-5.38	-0.599329	181	5	enet	0.091	4e-07	0.64782	0.517
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.4894	rs1891910	-4.64	rs3128117	0.319	-9.52	-0.839866	183	12	enet	0.29	2.9e-21	0.69453	0.487
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000187608.8.wgt.RDat	ENSG00000187608.8	1	1001137	1001138	0.1341	rs1891910	-4.64	rs2465126	-0.00384	-3.14	-0.081075	183	26	enet	0.02	0.013	0.16597	0.868
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1635	rs1891910	-4.64	rs3128117	0.0921	-5.45	-0.839866	186	6	enet	0.055	8.4e-05	0.53721	0.591
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.2748	rs11586188	4.77	rs4075116	0.187	7.35	-1.139823	202	7	enet	0.19	6.8e-14	-1.08565	0.278
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2342	rs1891910	-4.64	rs11807848	0.112	-5.65	-0.45554	215	36	enet	0.13	1.6e-09	-1.8833	0.0597
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000186827.10.wgt.RDat	ENSG00000186827.10	1	1214131	1214132	0.1243	rs1891910	-4.64	rs2765021	0.0173	3.35	0.250194	227	28	enet	0.0028	0.19	2.18543	0.0289
Stomach	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Stomach/ENSG00000131584.18.wgt.RDat	ENSG00000131584.18	1	1308017	1308018	0.0779	rs1891910	-4.64	rs1240707	0.00695	-3.82	0.80767	251	19	enet	-0.0031	0.66	-0.40614	0.685
