GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
26155        1     879583     894679     34       2  351827        1.664      0.04806         0.04   1000
339451       1     895967     901099     46       5  351827       1.3446      0.08938        0.083   1000
84069        1     901872     910488     32       6  351827      0.67364      0.25027        0.255   1000
57801        1     934342     936608      7       1  351827       2.0245     0.021462        0.017   1000
375790       1     955503     991499     14       2  351827     -0.58317      0.72011        0.744   1000
401934       1    1007126    1009687    126      10  351827      0.95293      0.17031        0.146   1000
54991        1    1017198    1051736    135      10  351827     -0.22732      0.58991          0.6   1000
8784         1    1138888    1142163      4       2  351827      0.62096      0.26731        0.262   1000
126792       1    1167629    1170421    183       8  351827     -0.73616      0.76918        0.763   1000
118424       1    1189292    1209234     11       2  351827      0.23659      0.40649        0.419   1000
6339         1    1215816    1227409    265      12  351827      0.47687      0.31673        0.323   1000
54973        1    1246965    1260067     51       3  351827     -0.20376      0.58073        0.605   1000
55052        1    1337276    1342693    176       9  351827     -0.31013      0.62177        0.611   1000
441869       1    1353800    1356824    455      24  351827     -0.16465      0.56539        0.599   1000
219293       1    1378152    1405538     88      11  351827       1.3219     0.093096        0.081   1000
83858        1    1407139    1444852    181      14  351827       1.2957     0.097542        0.095   1000
55210        1    1447523    1470067      9       2  351827      0.36948      0.35588        0.344   1000
29101        1    1477053    1510262     57       3  351827         0.34      0.36693        0.389   1000
984          1    1571100    1590473     45       7  351827      0.38967      0.34839        0.367   1000
728661       1    1591486    1624243     96      16  351827      0.43988      0.33001        0.339   1000
728642       1    1633822    1655999     22       4  351827      0.30508      0.38015        0.367   1000
9906         1    1656277    1677438     42       6  351827      0.70908      0.23914        0.227   1000
65220        1    1682671    1711508     47       2  351827      -1.2677      0.89755          0.9   1000
163688       1    1846266    1848733     91       7  351827      -1.3442      0.91056        0.901   1000
339456       1    1849029    1850740    231      12  351827      0.22572      0.41071        0.396   1000
2563         1    1950768    1962192     20       2  351827      0.44371      0.32863        0.315   1000
100506504    1    2113250    2115812     80       3  351827     -0.38776       0.6509         0.66   1000
199990       1    2115899    2144159     63      11  351827     -0.21809      0.58632        0.585   1000
79906        1    2251719    2323190     55       7  351827     -0.35286       0.6379        0.629   1000
11079        1    2323214    2336883     25       5  351827    -0.096977      0.53863        0.525   1000
