PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000188786.9.wgt.RDat	ENSG00000188786.9	1	37859619	37859620	0.0641	rs573744	9.24	rs530225	0.0265	-4.95	7.028977	461	11	enet	0.045	6.7e-5	-6.078903	1.21e-9
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.3456	rs573744	9.24	rs4653329	0.253	9.34	7.359191	461	19	enet	0.27	7.1e-24	5.084814	3.68e-7
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000126091.19.wgt.RDat	ENSG00000126091.19	1	43705823	43705824	0.1732	rs11590627	-10.18	rs3791040	0.058	-4.84	-4.775213	422	4	enet	0.037	2.8e-4	4.720778	2.35e-6
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000117408.10.wgt.RDat	ENSG00000117408.10	1	43946938	43946939	0.0506	rs11590627	-10.18	rs246776	-0.00307	-3.12	-2.59182	406	22	enet	-0.003	0.85	4.879722	1.06e-6
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000079277.19.wgt.RDat	ENSG00000079277.19	1	46604293	46604294	0.1188	rs324423	-5.42	rs2181413	0.0759	-5.17	-4.601963	333	2	enet	0.061	3.5e-6	4.638328	3.51e-6
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000213190.3.wgt.RDat	ENSG00000213190.3	1	151057757	151057758	0.1166	rs6676190	-5.99	rs6674970	0.0703	5.48	-4.942179	308	11	enet	0.061	3.4e-6	-4.720504	2.35e-6
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000160685.13.wgt.RDat	ENSG00000160685.13	1	155002629	155002630	0.0676	rs4845681	13.15	rs10908445	0.00303	4.11	9.153098	385	27	enet	0.0042	0.13	6.733604	1.66e-11
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.0711	rs4845681	13.15	rs2306125	0.0227	-4.5	2.813999	378	8	enet	0.043	8.9e-5	-4.824513	1.4e-6
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000152061.23.wgt.RDat	ENSG00000152061.23	1	174159409	174159410	0.0442	rs7536102	12.55	rs4451598	-7.58e-5	3.72	8.834614	275	41	enet	0.018	0.0079	5.806596	6.38e-9
GTExv8.EUR.Heart_Left_Ventricle	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Heart_Left_Ventricle/ENSG00000227373.5.wgt.RDat	ENSG00000227373.5	1	174160003	174160004	0.101	rs7536102	12.55	rs17350991	0.00925	4.23	11.856719	275	23	enet	0.025	0.0025	7.013201	2.33e-12
