PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000135763.9.wgt.RDat	ENSG00000135763.9	1	229626233	229626234	0.258	rs7529009	12.67	rs4925461	0.077226	3.79	1.37937	409	36	enet	0.11	2.2e-4	5.105493	3.3e-7
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.576	rs1196366	6.6	rs2291426	0.283628	-5.9	6.29154	457	14	enet	0.21	4.8e-7	-5.533982	3.13e-8
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000203666.12.wgt.RDat	ENSG00000203666.12	1	245002120	245002121	0.542	rs1196366	6.6	rs2050632	0.372375	6.43	6.35512	466	15	enet	0.2	8.4e-7	5.783244	7.33e-9
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000138378.17.wgt.RDat	ENSG00000138378.17	2	191151595	191151596	0.2	rs2138913	-6.53	rs7574570	0.152273	-4.54	-5.5	384	10	enet	0.048	0.013	4.67009	3.01e-6
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.3112	rs7626117	-8.58	rs6804473	0.16527	4.46	-7.141093	522	35	enet	0.13	9.3e-5	-6.393804	1.62e-10
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000127948.15.wgt.RDat	ENSG00000127948.15	7	75899199	75899200	0.314	rs9800948	10.45	rs10954732	0.0321	4.05	9.01703	309	22	enet	0.066	0.0043	5.79594	6.79e-9
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000280388.1.wgt.RDat	ENSG00000280388.1	7	76045962	76045963	0.249	rs9800948	10.45	rs6953665	0.0878	-3.99	8.27679	318	46	enet	0.043	0.018	-6.37012	1.89e-10
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000176209.11.wgt.RDat	ENSG00000176209.11	8	42541711	42541712	0.275	rs2974342	5.04	rs2923428	0.197194	5.22	4.94208	256	14	enet	0.21	3.1e-7	4.5763	4.73e-6
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000227603.1.wgt.RDat	ENSG00000227603.1	9	93437120	93437121	0.253	rs7853605	8.89	rs6479494	0.167658	4.66	5.35707	489	10	enet	0.09	9.7e-4	4.70339	2.56e-6
GTExv8.EUR.Uterus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Uterus/ENSG00000125485.17.wgt.RDat	ENSG00000125485.17	9	132670033	132670034	0.803	rs3739905	-7.74	rs11243850	0.573624	7.92	-7.68751	533	88	enet	0.55	3.1e-20	-5.05754	4.25e-7
