PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.2016	rs1891910	-4.64	rs3094315	0.139	5.24	-0.146306	136	28	enet	0.081	6.8e-05	0.037069	0.97
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.4053	rs1891910	-4.64	rs3094315	0.28	7.15	-0.146306	155	5	enet	0.23	8.8e-12	-0.2468	0.805
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.5428	rs1891910	-4.64	rs1891906	0.39	-8.42	-0.657189	183	18	enet	0.44	3.8e-24	0.417309	0.676
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.3354	rs11586188	4.75	rs7526076	0.19	6	-1.493504	202	11	enet	0.18	1.6e-09	-1.361358	0.173
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.2373	rs1891910	-4.64	rs3766192	0.133	-5.07	0.274721	215	14	enet	0.14	2e-07	-0.383832	0.701
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000176022.4.wgt.RDat	ENSG00000176022.4	1	1232264	1232265	0.1715	rs1891910	-4.64	rs3813199	0.1	-4.84	-0.068504	228	10	enet	0.052	0.0013	0.201054	0.841
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000272455.1.wgt.RDat	ENSG00000272455.1	1	1409095	1409096	0.2295	rs1891910	-4.64	rs1536168	0.114	-5.72	-0.485788	275	22	enet	0.16	2.1e-08	0.19453	0.846
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.3268	rs1891910	-4.64	rs12089560	0.29	-8.23	0.791504	282	6	enet	0.3	1.4e-15	-0.745709	0.456
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.4884	rs1891910	-4.64	rs2031709	0.279	-7.1	2.149189	284	19	enet	0.26	1.2e-13	-2.524112	0.0116
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.2728	rs3128317	-4.81	rs3766170	0.106	4.96	-0.014513	281	15	enet	0.053	0.0011	-0.341887	0.732
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000228594.3.wgt.RDat	ENSG00000228594.3	1	1600095	1600096	0.3079	rs3128317	-4.81	rs4648786	0.0162	3.93	-0.559045	282	33	enet	0.013	0.067	-0.706804	0.48
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000248333.8.wgt.RDat	ENSG00000248333.8	1	1659011	1659012	0.5672	rs3128317	-4.81	rs4074196	0.0901	-4.32	0.972394	309	40	enet	0.14	1.2e-07	-1.040139	0.298
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.802	rs3128317	-4.81	rs6699975	0.2	6.06	-1.099054	306	25	enet	0.34	4.7e-18	-0.907795	0.364
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.331	rs3128317	-4.81	rs7520934	0.119	-5.26	0.827892	302	17	enet	0.094	1.8e-05	-0.811858	0.417
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.4949	rs3128317	-4.81	rs4074197	0.247	6.71	0.507688	293	6	enet	0.22	1.2e-11	0.094929	0.924
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.6912	rs3128317	-4.81	rs6699975	0.269	-7.06	-1.099054	294	35	enet	0.34	5e-18	2.153804	0.0313
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.2845	rs3128317	-4.81	rs12044597	0.0817	-5.03	-0.650084	317	18	enet	0.11	3.2e-06	0.874045	0.382
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.3081	rs3128317	-4.81	rs4648732	0.107	5.26	-0.654229	328	27	enet	0.12	8.4e-07	-0.195187	0.845
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000178821.12.wgt.RDat	ENSG00000178821.12	1	1919272	1919273	0.3528	rs3128317	-4.81	rs28508199	0.243	7.12	-0.333398	329	14	enet	0.28	1.5e-14	-0.607679	0.543
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000142609.17.wgt.RDat	ENSG00000142609.17	1	2003836	2003837	0.1546	rs34241773	10.5	rs1884454	0.0912	4.79	-1.569594	359	12	enet	0.066	3e-04	-1.451948	0.147
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.215	rs34241773	10.5	rs2460002	0.101	5.42	0.281704	377	26	enet	0.043	0.0031	1.159788	0.246
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000272420.1.wgt.RDat	ENSG00000272420.1	1	2363627	2363628	0.2893	rs34241773	10.5	rs903914	0.117	-5.43	0.909077	351	12	enet	0.17	5.3e-09	-0.780916	0.435
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000149527.17.wgt.RDat	ENSG00000149527.17	1	2425979	2425980	0.4018	rs34241773	10.5	rs12731309	0.263	6.89	-1.659567	346	24	enet	0.24	3.6e-12	-0.834766	0.404
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000238164.6.wgt.RDat	ENSG00000238164.6	1	2557030	2557031	0.2229	rs34241773	10.5	rs2257763	0.118	-4.91	0.352536	369	31	enet	0.04	0.0043	0.372165	0.71
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000228037.1.wgt.RDat	ENSG00000228037.1	1	2581559	2581560	0.3266	rs34241773	10.5	rs4648360	0.199	6.15	-0.335333	370	10	enet	0.083	5.3e-05	0.5302	0.596
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000157870.14.wgt.RDat	ENSG00000157870.14	1	2586490	2586491	0.1754	rs34241773	10.5	rs10797437	0.11	-5.16	-0.885127	369	23	enet	0.12	7.8e-07	0.476762	0.634
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000142606.15.wgt.RDat	ENSG00000142606.15	1	2632989	2632990	0.483	rs34241773	10.5	rs10910099	0.415	-8.75	-0.495495	359	29	enet	0.41	2.6e-22	0.602797	0.547
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000215912.12.wgt.RDat	ENSG00000215912.12	1	2801716	2801717	0.1068	rs34241773	10.5	rs3890745	0.0458	4.41	-0.526776	371	20	enet	0.058	0.00069	0.006994	0.994
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.4747	rs2651927	-4.27	rs4364818	0.127	5.43	-0.549659	542	5	enet	0.15	5.5e-08	-0.25387	0.8
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.4556	rs10915459	4.37	rs1539649	0.233	7.61	-0.769247	572	17	enet	0.25	6.3e-13	-1.112717	0.266
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.4689	rs10915459	4.37	rs7530189	0.237	-6.55	1.807416	572	22	enet	0.25	4.2e-13	-0.857239	0.391
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000198912.10.wgt.RDat	ENSG00000198912.10	1	3900284	3900285	0.3871	rs10915459	4.37	rs7367066	0.442	-8.93	-0.626579	584	18	enet	0.4	2.1e-21	0.64732	0.517
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.4062	rs11588889	-6.71	rs1295101	0.0968	-6.09	-2.481016	510	16	enet	0.19	5.9e-10	1.04331	0.297
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000225077.2.wgt.RDat	ENSG00000225077.2	1	6236239	6236240	0.2199	rs11588889	-6.71	rs9970334	0.112	-5.04	0.115059	445	21	enet	0.043	0.003	-0.376321	0.707
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000158292.6.wgt.RDat	ENSG00000158292.6	1	6260974	6260975	0.7165	rs11588889	-6.71	rs4908543	0.509	-9.83	-0.156433	444	8	enet	0.52	4.2e-30	0.122457	0.903
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000097021.19.wgt.RDat	ENSG00000097021.19	1	6393553	6393554	0.2061	rs11588889	-6.71	rs12048815	0.0112	-3.91	-0.096724	417	21	enet	0.036	0.006	2.216661	0.0266
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000187017.15.wgt.RDat	ENSG00000187017.15	1	6424787	6424788	0.217	rs11588889	-6.71	rs7528683	-0.00401	-4	-0.065267	411	22	enet	-0.0054	0.84	-0.638722	0.523
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000007923.15.wgt.RDat	ENSG00000007923.15	1	6701923	6701924	0.1309	rs11120837	6.81	rs2235564	-0.00297	-3.73	0.43105	427	28	enet	-0.0021	0.43	-1.49545	0.135
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000270171.1.wgt.RDat	ENSG00000270171.1	1	7694843	7694844	0.5897	rs9434618	-5.83	rs12756299	0.453	-9.03	-1.003508	463	21	enet	0.45	1.3e-24	-0.064589	0.949
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000270035.1.wgt.RDat	ENSG00000270035.1	1	7698871	7698872	0.2828	rs9434618	-5.83	rs12756299	0.0415	-5.15	-1.003508	463	23	enet	0.038	0.0052	1.018258	0.309
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000116288.12.wgt.RDat	ENSG00000116288.12	1	7954290	7954291	0.3723	rs9434618	-5.83	rs161802	0.0516	4.77	-0.036018	424	22	enet	0.11	2.2e-06	0.133956	0.893
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000232912.5.wgt.RDat	ENSG00000232912.5	1	8424644	8424645	0.1747	rs9434618	-5.83	rs7537982	0.104	-4.98	1.124186	303	11	enet	0.047	0.0021	-1.196065	0.232
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000142599.17.wgt.RDat	ENSG00000142599.17	1	8817642	8817643	0.1941	rs12565639	-5.14	rs301806	0.171	-5.85	0.50321	372	13	enet	0.08	7.7e-05	-0.395461	0.693
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000232208.2.wgt.RDat	ENSG00000232208.2	1	8907743	8907744	0.1546	rs12565639	-5.14	rs7534552	0.0307	-3.79	-2.803743	400	15	enet	0.026	0.017	2.434947	0.0149
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000178585.14.wgt.RDat	ENSG00000178585.14	1	9910335	9910336	0.2022	rs3903151	-8.08	rs12128766	0.148	5.36	-1.577306	296	10	enet	0.07	2e-04	-1.399179	0.162
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000160049.11.wgt.RDat	ENSG00000160049.11	1	10472525	10472526	0.2013	rs12402967	-9.03	rs597441	0.00633	-4.33	-4.367805	396	15	enet	0.0071	0.13	3.899878	9.62e-05
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000226849.1.wgt.RDat	ENSG00000226849.1	1	11068470	11068471	0.1626	rs12741973	-3.56	rs11121691	0.0537	-4.14	0.773471	362	24	enet	0.05	0.0016	-0.634416	0.526
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000215910.7.wgt.RDat	ENSG00000215910.7	1	11761786	11761787	0.2308	rs1148471	6.54	rs17421462	0.121	-4.88	0.357594	484	13	enet	0.055	0.00093	0.443391	0.657
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000177000.10.wgt.RDat	ENSG00000177000.10	1	11806919	11806920	0.2266	rs1148471	6.54	rs1476413	0.132	5.03	0.290276	477	10	enet	0.064	0.00039	0.451428	0.652
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.529	rs1148471	6.54	rs5067	0.376	-8.64	-2.051431	473	14	enet	0.38	4e-20	2.117398	0.0342
Spleen	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Spleen/ENSG00000083444.16.wgt.RDat	ENSG00000083444.16	1	11934204	11934205	0.1847	rs1148471	6.54	rs6682230	0.137	5.56	0.756494	458	13	enet	0.08	7.3e-05	0.771622	0.44
