PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000163155.11.wgt.RDat	ENSG00000163155.11	1	151165947	151165948	0.1432	rs6676190	-5.99	rs6674970	0.064496	4.16	-4.942179	308	3	enet	0.035	0.0077	-5.16703	2.38e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.3625	rs4845681	13.15	rs7556449	0.188556	-6.08	4.510315	403	18	enet	0.13	4e-7	-5.19004	2.1e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.3441	rs1196366	6.6	rs2291426	0.301011	-7.95	6.291535	464	17	enet	0.34	2.5e-17	-4.96159	6.99e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.1763	rs713587	10.96	rs11675457	0.018486	4.11	8.012196	319	22	enet	0.018	0.041	5.54487	2.94e-8
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.137	rs13023540	15.13	rs3731867	0.117002	-4.97	-8.172424	366	9	enet	0.067	3.2e-4	8.1612	3.32e-16
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000163482.11.wgt.RDat	ENSG00000163482.11	2	218672740	218672741	0.0619	rs13023540	14.39	rs3731867	0.03058	-3.73	-8.172424	374	15	enet	0.02	0.033	5.73422	9.8e-9
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.1151	rs7626117	-8.58	rs17050660	0.05795	3.88	-5.606778	523	17	enet	0.035	0.0079	-6.29783	3.02e-10
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000186162.10.wgt.RDat	ENSG00000186162.10	3	10026364	10026365	0.182	rs7626117	-8.58	rs6764807	0.097363	4.72	-5.347369	526	30	enet	0.11	7.1e-6	-4.57455	4.77e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000196653.11.wgt.RDat	ENSG00000196653.11	3	44712642	44712643	0.1239	rs10514710	-4.15	rs10514710	0.181221	5.78	-4.154657	365	24	enet	0.11	7.1e-6	-4.47845	7.52e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000114054.13.wgt.RDat	ENSG00000114054.13	3	136250305	136250306	0.0932	rs6771997	-8.31	rs838199	0.070798	-3.81	-5.64318	283	7	enet	0.05	0.0018	4.98123	6.32e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000033178.12.wgt.RDat	ENSG00000033178.12	4	67701178	67701179	0.1285	rs1038432	6.04	rs1038432	0.076923	-4.58	6.03828	401	17	enet	0.06	6.5e-4	-6.102559	1.04e-9
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000230847.4.wgt.RDat	ENSG00000230847.4	5	71093192	71093193	0.8395	rs6453402	13.56	rs6453406	0.372079	8.17	-4.21118	62	40	enet	0.38	5.1e-20	-6.43563	1.23e-10
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000272109.1.wgt.RDat	ENSG00000272109.1	5	96804352	96804353	0.1446	rs27038	7.01	rs27039	0.051577	4.85	2.59416	495	5	enet	0.07	2.4e-4	4.46153	8.14e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000196670.13.wgt.RDat	ENSG00000196670.13	5	180861284	180861285	0.2259	rs2619758	-11	rs2619754	0.041156	3.85	-9.62718	349	13	enet	0.042	0.0036	-8.20249	2.35e-16
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000146263.11.wgt.RDat	ENSG00000146263.11	6	97283209	97283210	0.1725	rs1206149	-6.03	rs1206149	0.129	4.99	-6.029622	332	11	enet	0.13	7.6e-7	-4.76329	1.9e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000198945.7.wgt.RDat	ENSG00000198945.7	6	130013698	130013699	0.1417	rs9375683	8.34	rs6569648	0.0598	4.56	-6.298733	562	14	enet	0.063	4.9e-4	-5.41074	6.28e-8
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000122687.17.wgt.RDat	ENSG00000122687.17	7	2242197	2242198	0.1795	rs11773627	12.98	rs7787274	0.110568	4.83	5.92907	418	6	enet	0.073	1.8e-4	5.370722	7.84e-8
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000254251.1.wgt.RDat	ENSG00000254251.1	8	90859239	90859240	0.0972	rs10112439	9.25	rs10106570	0.065103	-4.38	6.528682	317	17	enet	0.061	5.9e-4	-6.25771	3.91e-10
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000165219.21.wgt.RDat	ENSG00000165219.21	9	125261793	125261794	0.1145	rs391957	11.41	rs515985	0.0992	4.52	5.00217	318	7	enet	0.017	0.046	5.09205	3.54e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000125485.17.wgt.RDat	ENSG00000125485.17	9	132670033	132670034	0.517	rs3739905	-7.74	rs3739905	0.332	7.87	-7.73599	534	30	enet	0.33	7.8e-17	-7.36483	1.77e-13
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000187122.16.wgt.RDat	ENSG00000187122.16	10	97185919	97185920	0.3255	rs4919096	-12.39	rs701814	0.278051	7.3	-5.371759	435	35	enet	0.21	7e-11	-5.77021	7.92e-9
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000248746.5.wgt.RDat	ENSG00000248746.5	11	66546394	66546395	0.0931	rs1253440	8.65	rs12805133	0.00974	-4.34	-2.65892	264	26	enet	0.0067	0.14	6.04395	1.5e-9
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000162341.16.wgt.RDat	ENSG00000162341.16	11	69048896	69048897	0.2176	rs921670	-7.76	rs921670	0.06672	-4.2	-7.75511	447	34	enet	0.038	0.0057	4.51077	6.46e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000149212.11.wgt.RDat	ENSG00000149212.11	11	95232540	95232541	0.2032	rs10831371	-6.59	rs10831371	0.11769	-5.32	-6.59497	500	12	enet	0.14	2.5e-7	4.62849	3.68e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000275759.1.wgt.RDat	ENSG00000275759.1	12	118428280	118428281	0.3365	rs17512609	11.58	rs17512574	0.274	-7.21	11.038999	452	12	enet	0.23	1.1e-11	-8.51523	1.66e-17
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000151838.11.wgt.RDat	ENSG00000151838.11	14	59576830	59576831	0.0824	rs17834238	7.88	rs1253113	0.02047	-3.79	5.687504	420	8	enet	-4.2e-4	0.34	-4.53205	5.84e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000128944.13.wgt.RDat	ENSG00000128944.13	15	40382720	40382721	0.7385	rs17672041	4.75	rs17671250	0.578542	10.05	4.682765	390	12	enet	0.55	2.3999999999999999e-32	4.39	1.13e-5
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000137764.19.wgt.RDat	ENSG00000137764.19	15	67542708	67542709	0.1307	rs2286664	14.79	rs4776943	0.066515	-4.51	13.386323	410	12	enet	0.011	0.093	-11.4	2.89e-30
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000188779.10.wgt.RDat	ENSG00000188779.10	15	67819703	67819704	0.1671	rs2286664	14.79	rs4776361	0.125752	-5.21	14.20409	351	16	enet	0.064	4.3e-4	-11.1	9.74e-29
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000067221.13.wgt.RDat	ENSG00000067221.13	15	73994621	73994622	0.215	rs10162627	-6.24	rs10162627	0.09678	5.13	-6.244427	405	20	enet	0.077	1.1e-4	-5	5.66e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000259295.6.wgt.RDat	ENSG00000259295.6	15	85191437	85191438	0.232	rs3748375	-6.37	rs17599989	0.10088	4.58	-5.895497	511	19	enet	0.048	0.0022	-5.1	3.33e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000140832.9.wgt.RDat	ENSG00000140832.9	16	71626160	71626161	0.1768	rs7184543	-7.03	rs979789	0.132739	5.27	5.7128	416	5	enet	0.094	2.2e-5	6.10511	1.03e-9
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000205078.5.wgt.RDat	ENSG00000205078.5	16	77206440	77206441	0.5882	rs7186803	12.6	rs11865641	0.495785	9.38	6.50288	726	13	enet	0.49	2.2000000000000002e-27	6.34939	2.16e-10
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000274758.1.wgt.RDat	ENSG00000274758.1	17	2366790	2366791	0.1783	rs2240730	-13	rs2429919	0.033890000000000003	-3.77	-5.29	418	9	enet	0.04	0.0047	5.43195	5.57e-8
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000272911.1.wgt.RDat	ENSG00000272911.1	17	2688472	2688473	0.405	rs2240730	-13	rs2286512	0.16511	-5.62	-12.6	437	9	enet	0.097	1.6e-5	12.43125	1.77e-35
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000037042.8.wgt.RDat	ENSG00000037042.8	17	42659304	42659305	0.0951	rs2134808	-6.31	rs2676531	0.08605	4.9	-4.95	258	16	enet	0.087	4.5e-5	-4.71886	2.37e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000136448.11.wgt.RDat	ENSG00000136448.11	17	45051661	45051662	0.1552	rs7217321	-8.12	rs1053739	0.02811	4.18	-5.22	331	9	enet	0.036	0.0066	-5.08023	3.77e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000262539.1.wgt.RDat	ENSG00000262539.1	17	46260605	46260606	0.4025	rs199456	-23.99	rs169201	0.58865	10.19	-23.8	65	31	enet	0.57	5.6e-34	-22.37742	6.53e-111
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000261575.2.wgt.RDat	ENSG00000261575.2	17	46267036	46267037	0.1213	rs199456	-23.99	rs199533	0.03504	4.19	-22.8	65	22	enet	0.039	0.0052	-17.9481	4.97e-72
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000228696.8.wgt.RDat	ENSG00000228696.8	17	46361796	46361797	0.7111	rs199456	-23.99	rs17698176	0.04865	4.45	-0.403	60	33	enet	0.21	1.7e-10	-8.88076	6.64e-19
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000238083.7.wgt.RDat	ENSG00000238083.7	17	46511510	46511511	0.4842	rs199456	-23.99	rs169201	0.4702	9.12	-23.8	135	29	enet	0.48	8.5e-27	-20.50917	1.78e-93
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000232300.1.wgt.RDat	ENSG00000232300.1	17	46562794	46562795	0.1609	rs199456	-23.99	rs199451	0.06546	4.21	-23.8	135	21	enet	0.099	1.3e-5	-14.85484	6.47e-50
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000185829.17.wgt.RDat	ENSG00000185829.17	17	46579681	46579682	0.3241	rs199456	-23.99	rs199451	0.10544	5.36	-23.8	142	22	enet	0.25	6.5e-13	-15.7316	9.19e-56
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000073969.18.wgt.RDat	ENSG00000073969.18	17	46590668	46590669	0.2383	rs199456	-23.99	rs35937770	0.02668	3.76	-0.158	146	6	enet	0.008	0.12	6.9501	3.65e-12
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000108379.9.wgt.RDat	ENSG00000108379.9	17	46833057	46833058	0.1896	rs199456	-23.99	rs199529	0.08063	4.93	-16	255	18	enet	0.041	0.0041	-16.38457	2.47e-60
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000179673.4.wgt.RDat	ENSG00000179673.4	17	46979247	46979248	0.1707	rs199456	-23.99	rs16941443	0.04525	-4.44	-1.16	294	15	enet	0.023	0.026	4.852	1.22e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000280239.1.wgt.RDat	ENSG00000280239.1	19	4448809	4448810	0.41	rs243387	7.63	rs7258012	0.329	-7.62	7.17342	389	22	enet	0.36	2e-18	-5.07486	3.88e-7
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000277587.1.wgt.RDat	ENSG00000277587.1	19	9721902	9721903	0.166	rs12979274	6.13	rs8113425	0.051	-4.18	5.7674	336	15	enet	0.029	0.014	-4.78403	1.72e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000161618.9.wgt.RDat	ENSG00000161618.9	19	49453168	49453169	0.382	rs7258719	8.48	rs11083974	0.295	7.41	8.42796	370	10	enet	0.25	8.8e-13	8.17087	3.06e-16
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000099889.13.wgt.RDat	ENSG00000099889.13	22	20016807	20016808	0.2495	rs4821372	-6.66	rs2012714	0.1031	-4.88	4.95868	548	8	enet	0.075	1.5e-4	-4.41925	9.9e-6
GTExv8.EUR.Artery_Coronary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Artery_Coronary/ENSG00000100024.14.wgt.RDat	ENSG00000100024.14	22	24494106	24494107	0.1512	rs5760452	9.22	rs2298383	-0.005	3.81	7.41752	395	8	enet	9.1e-5	0.31	6.55927	5.41e-11
