GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961     41       5  351827       1.2439      0.10676        0.099   1000
26155        1     879583     894679     23       1  351827        1.739     0.041016        0.031   1000
339451       1     895967     901099     50       6  351827        1.499     0.066935        0.057   1000
84069        1     901872     910488     26       2  351827       1.7338     0.041481        0.031   1000
375790       1     955503     991499    135      12  351827      0.10262      0.45913        0.463   1000
54991        1    1017198    1051736    104      11  351827       0.2823      0.38886         0.38   1000
8784         1    1138888    1142163    200      12  351827     -0.10622       0.5423        0.547   1000
51150        1    1152288    1167447      1       1  351827     -0.40748      0.65817        0.616   1000
126792       1    1167629    1170421    163       7  351827     -0.91549      0.82003        0.818   1000
388581       1    1177826    1182102    153       6  351827      -1.1103      0.86657        0.862   1000
6339         1    1215816    1227409     39       2  351827      0.49317      0.31095        0.338   1000
116983       1    1227764    1243304      1       1  351827     -0.72667      0.76629         0.76   1000
54973        1    1246965    1260067     95       4  351827      0.25625      0.39888        0.424   1000
83756        1    1266726    1269844      9       1  351827      0.46394      0.32135        0.326   1000
55052        1    1337276    1342693    212      10  351827      -0.3894      0.65151        0.651   1000
441869       1    1353800    1356824    440      25  351827      0.51185      0.30438        0.322   1000
219293       1    1378152    1405538     19       3  351827       1.6227     0.052332        0.054   1000
83858        1    1407139    1444852    137      12  351827       1.3444     0.089414        0.096   1000
55210        1    1447523    1470067      1       1  351827     -0.18668      0.57404        0.596   1000
29101        1    1477053    1510262     50       3  351827    -0.081524      0.53249        0.551   1000
643988       1    1533388    1535476     23       3  351827       1.1403      0.12708        0.125   1000
142678       1    1550795    1565990     21       3  351827      0.48356      0.31435        0.324   1000
984          1    1571100    1590473     16       2  351827       1.0852      0.13892        0.139   1000
728661       1    1591486    1624243     70      11  351827      0.66148      0.25415        0.267   1000
728642       1    1633822    1655999      6       3  351827      0.34934      0.36342        0.357   1000
9906         1    1656277    1677438     39       8  351827      0.19707      0.42189        0.425   1000
65220        1    1682671    1711508      7       1  351827      0.61263      0.27006        0.267   1000
