PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000157330.9.wgt.RDat	ENSG00000157330.9	1	12746214	12746215	0.0907	rs1008477	-7.12	rs1018386	0.050061	-3.72	-6.79	211	10	enet	0.024	0.012	4.8	1.57e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.3725	rs573744	9.24	rs2306627	0.279282	7.87	7.35	455	19	enet	0.19	5.3e-12	6.04	1.5e-9
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.2965	rs4845681	13.15	rs4845681	0.151397	6.2	13.2	416	31	enet	0.11	4.9e-7	9.17	4.78e-20
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000163354.14.wgt.RDat	ENSG00000163354.14	1	155033780	155033781	0.2478	rs4845681	13.15	rs10908452	0.125782	-6.53	8.41	377	11	enet	0.14	3.7e-9	-7.48	7.44e-14
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000232093.1.wgt.RDat	ENSG00000232093.1	1	155046117	155046118	0.1282	rs4845681	13.15	rs7553195	0.059477	-4.17	11.3	377	3	enet	0.02	0.02	-11.3	1.62e-29
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000198700.9.wgt.RDat	ENSG00000198700.9	1	201834953	201834954	0.1822	rs12562614	9.18	rs6701026	0.004139	-4.15	7.5	538	2	enet	0.0032	0.19	-7.57	3.86e-14
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000143801.16.wgt.RDat	ENSG00000143801.16	1	226870183	226870184	0.0957	rs7534366	7.93	rs6759	0.086904	-4.67	7.44	493	4	enet	0.052	3.8e-4	-7.4	1.34e-13
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.4194	rs1196366	6.6	rs2291426	0.445036	-9.86	6.29	462	15	enet	0.44	1.5999999999999999e-29	-4.6	4.2e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.1456	rs713587	10.96	rs1172294	0.113618	-5.23	10.3	322	14	enet	0.092	2.9e-6	-9.10705	8.47e-20
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000115137.11.wgt.RDat	ENSG00000115137.11	2	24972093	24972094	0.093	rs713587	10.96	rs6546199	0.00395	3.59	-4.23	322	14	enet	0.042	0.0013	-5.42304	5.86e-8
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000119787.13.wgt.RDat	ENSG00000119787.13	2	38377284	38377285	0.2193	rs6724418	6.76	rs4670861	0.12411	-5.81	5.62	475	9	enet	0.1	9.7e-7	-5.2216	1.77e-7
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000270820.5.wgt.RDat	ENSG00000270820.5	2	61471187	61471188	0.229	rs7591402	9.81	rs766447	0.081685	-5.43	-3.2	298	41	enet	0.13	1.3e-8	4.97552	6.51e-7
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000227403.1.wgt.RDat	ENSG00000227403.1	2	161244738	161244739	0.498	rs1114338	10.14	rs10930013	0.332452	-8.71	5.85	385	13	enet	0.34	1.6e-21	-4.76092	1.93e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000144401.14.wgt.RDat	ENSG00000144401.14	2	207625927	207625928	0.2139	rs2952769	-7.69	rs2551971	0.1563	-6.23	-7.5	404	20	enet	0.15	1.5e-9	7.03844	1.94e-12
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000115556.13.wgt.RDat	ENSG00000115556.13	2	218607764	218607765	0.0622	rs13023540	15.13	rs10165754	0.020751	3.6	-4.6	365	1	enet	-0.0027	0.52	-4.59692	4.29e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000163482.11.wgt.RDat	ENSG00000163482.11	2	218672740	218672741	0.059	rs13023540	14.39	rs13023540	0.04376	4.53	14.4	373	22	enet	0.021	0.017	12.95061	2.3299999999999998e-38
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000186162.10.wgt.RDat	ENSG00000186162.10	3	10026364	10026365	0.1665	rs7626117	-8.58	rs279545	0.145758	5.79	-7.579079	527	14	enet	0.1	1e-6	-6.894919	5.39e-12
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000182568.16.wgt.RDat	ENSG00000182568.16	3	18445587	18445588	0.2127	rs336605	6.96	rs6550461	0.121004	5.39	6.545803	363	12	enet	0.068	5.3e-5	6.657758	2.78e-11
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000113946.3.wgt.RDat	ENSG00000113946.3	3	190322540	190322541	0.1565	rs6780419	-5.81	rs7641462	0.019994	-4.01	-3.748492	558	5	enet	0.005	0.15	4.537256	5.7e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000119231.10.wgt.RDat	ENSG00000119231.10	3	196867855	196867856	0.2284	rs2089979	5.25	rs555582	0.148286	5.8	-5.011807	429	5	enet	0.12	1.2e-7	-4.979171	6.39e-7
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000230732.4.wgt.RDat	ENSG00000230732.4	3	196912645	196912646	0.1414	rs2089979	5.25	rs555582	0.039211	4.57	-5.011807	445	4	enet	0.052	3.7e-4	-4.61471	3.94e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000033178.12.wgt.RDat	ENSG00000033178.12	4	67701178	67701179	0.3157	rs1038432	6.04	rs4860262	0.245221	-7.59	4.81862	400	18	enet	0.22	1.3e-13	-4.73323	2.21e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000164366.3.wgt.RDat	ENSG00000164366.3	5	218214	218215	0.1471	rs2115275	6.92	rs9763161	0.09356	5.15	6.83445	289	12	enet	0.086	6.4e-6	4.96396	6.91e-7
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000152942.18.wgt.RDat	ENSG00000152942.18	5	69370013	69370014	0.1777	rs2010352	-10.1	rs7707347	0.01986	3.65	1.29892	227	123	enet	0.038	0.0023	9.1886	3.98e-20
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000250328.5.wgt.RDat	ENSG00000250328.5	5	122479086	122479087	0.1799	rs6868061	8.45	rs6868061	0.12942	-5.6	8.45256	338	14	enet	0.098	1.3e-6	-7.26716	3.67e-13
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000184347.14.wgt.RDat	ENSG00000184347.14	5	169301128	169301129	0.2125	rs3734099	-11.03	rs1592818	0.0579	4.26	4.95032	598	20	enet	0.0098	0.077	4.55124	5.33e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000187772.7.wgt.RDat	ENSG00000187772.7	6	104936849	104936850	0.2698	rs314280	9.39	rs314286	0.214	7.15	7.699083	375	23	enet	0.18	3.4e-11	7.09884	1.26e-12
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000198945.7.wgt.RDat	ENSG00000198945.7	6	130013698	130013699	0.502	rs9375683	8.34	rs6569648	0.412	9.53	-6.298733	561	16	enet	0.4	3.9999999999999996e-26	-6.83491	8.21e-12
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000176349.11.wgt.RDat	ENSG00000176349.11	7	1838585	1838586	0.1079	rs11773627	12.98	rs6951956	0.0348	4.85	10.888732	355	8	enet	0.04	0.0018	5.52492	3.3e-8
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000122687.17.wgt.RDat	ENSG00000122687.17	7	2242197	2242198	0.2753	rs11773627	12.98	rs6461233	0.224	7.46	6.117845	415	17	enet	0.18	3.8e-11	5.17202	2.32e-7
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000127948.15.wgt.RDat	ENSG00000127948.15	7	75899199	75899200	0.1038	rs9800948	10.45	rs10085567	0.0543	4.8	9.177013	304	11	enet	0.061	1.3e-4	5.35673	8.47e-8
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000184647.10.wgt.RDat	ENSG00000184647.10	8	10525545	10525546	0.1663	rs11249991	7.22	rs6601475	0.139813	5.95	5.737698	714	17	enet	0.11	1.6e-7	5.0105	5.43e-7
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000232630.1.wgt.RDat	ENSG00000232630.1	9	125150652	125150653	0.1238	rs391957	11.41	rs12009	0.007535	4.54	7.81251	307	25	enet	0.044	9.9e-4	4.785931	1.7e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000228510.2.wgt.RDat	ENSG00000228510.2	9	128444586	128444587	0.2454	rs7023913	-4.97	rs2807622	0.243093	-7.32	-4.59863	283	8	enet	0.2	1.4e-12	4.716533	2.4e-6
GTExv8.EUR.Pituitary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Pituitary/ENSG00000213390.10.wgt.RDat	ENSG00000213390.10	10	97292672	97292673	0.1527	rs4919096	-12.39	rs10786321	0.044597	-4.46	-9.499291	446	18	enet	0.083	8.7e-6	6.304669	2.89e-10
