GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
339451       1     895967     901099     31       6  351827      0.44598       0.3278        0.306   1000
84069        1     901872     910488     62       7  351827       0.3166      0.37577        0.361   1000
84808        1     910579     917473     15       3  351827     -0.34067      0.63332        0.621   1000
375790       1     955503     991499      1       1  351827      0.57001      0.28434        0.263   1000
54991        1    1017198    1051736     72       5  351827      0.55074       0.2909        0.292   1000
6339         1    1215816    1227409     27       1  351827        0.443      0.32888        0.346   1000
54973        1    1246965    1260067     69       3  351827     -0.10871      0.54329        0.531   1000
54587        1    1288071    1297183     26       2  351827     -0.79283      0.78606        0.764   1000
55052        1    1337276    1342693     45       2  351827      0.51648      0.30276        0.303   1000
441869       1    1353800    1356824    265      13  351827     -0.04148      0.51654        0.497   1000
219293       1    1378152    1405538      8       2  351827       1.6527     0.049193        0.048   1000
83858        1    1407139    1444852     74       6  351827       1.5276     0.063307        0.059   1000
339453       1    1470158    1475740     35       2  351827     0.074049      0.47049        0.478   1000
29101        1    1477053    1510262     43       2  351827     0.029511      0.48823        0.495   1000
142678       1    1550795    1565990      3       1  351827     -0.17894      0.57101        0.575   1000
984          1    1571100    1590473      3       1  351827   -0.0019292      0.50077        0.493   1000
728661       1    1591486    1624243     32       4  351827      0.99878      0.15895         0.16   1000
728642       1    1633822    1655999      3       2  351827     -0.92563      0.82268        0.822   1000
9906         1    1656277    1677438      2       1  351827      0.72875      0.23308        0.229   1000
2782         1    1716725    1822552      3       1  351827       1.1332      0.12857        0.095   1000
163688       1    1846266    1848733     74       6  351827     -0.93203      0.82434        0.818   1000
339456       1    1849029    1850740      6       1  351827      0.84204      0.19988        0.207   1000
199990       1    2115899    2144159     20       2  351827      -1.1089      0.86626        0.873   1000
79906        1    2251719    2323190     15       2  351827     -0.41176      0.65974        0.667   1000
127281       1    2517899    2522908     40       1  351827     -0.15494      0.56156        0.584   1000
79258        1    2522078    2564499     84       2  351827      0.11624      0.45373        0.432   1000
9731         1    3728645    3773797    286      12  351827       0.6269      0.26536        0.247   1000
1677         1    3773845    3801993     66       3  351827      0.87237       0.1915        0.187   1000
339448       1    3805697    3816857     23       3  351827         1.26      0.10384        0.102   1000
261734       1    5922870    6052618    204       6  351827        1.589     0.056028        0.059   1000
388591       1    6266189    6281359     10       2  351827      -1.0083      0.84335         0.84   1000
387509       1    6307406    6321035      1       1  351827       1.1363      0.12792        0.139   1000
11332        1    6324332    6453826      1       1  351827      0.66641      0.25257        0.249   1000
83715        1    6484836    6521004      6       1  351827    -0.099973      0.53982        0.539   1000
90326        1    6684925    6695646     83       5  351827     -0.04692      0.51871        0.512   1000
9341         1    7831329    7841492     32       3  351827     -0.51545      0.69688        0.699   1000
80176        1    9335202    9429591      3       1  351827       1.2529      0.10512        0.102   1000
116362       1   10057255   10076078     15       3  351827        1.247      0.10619        0.116   1000
23095        1   10270606   10441664    241       2  351827     -0.37129      0.64479        0.635   1000
5226         1   10458884   10480565    177       5  351827       2.9264    0.0017143       0.0019  10000
378708       1   10489944   10510239      5       1  351827     0.083325       0.4668         0.48   1000
23435        1   11072462   11085549      1       1  351827      0.74873      0.22701        0.236   1000
10218        1   11249346   11256038     19       1  351827      0.35648      0.36074        0.346   1000
26232        1   11707924   11714888      3       1  351827       1.0757      0.14103        0.146   1000
57085        1   11796142   11810828      4       2  351827       -1.192      0.88336        0.886   1000
4524         1   11845787   11866160     32       2  351827      -1.5039       0.9337        0.935   1000
1185         1   11866153   11903201     11       1  351827     -0.36333      0.64182         0.63   1000
9927         1   12040238   12073572      2       1  351827     -0.67661      0.75067        0.738   1000
10630        1   13910252   13944452      8       1  351827      -3.1079      0.99906        0.999   1000
55092        1   15479028   15546974    115      11  351827        1.644     0.050084        0.044   1000
63036        1   15783223   15798586    111       2  351827      0.54816      0.29179        0.298   1000
51032        1   15802596   15817895     16       1  351827       1.1634      0.12234        0.131   1000
842          1   15817896   15851407    157       4  351827     -0.23795      0.59404        0.629   1000
23341        1   15853343   15898228      1       1  351827      0.10422       0.4585        0.503   1000
27129        1   16340523   16346084    131       5  351827      0.90997      0.18142        0.206   1000
1187         1   16348486   16360548    218      10  351827       1.4715     0.070578        0.069   1000
1188         1   16370231   16383821     61       4  351827       1.2986     0.097047        0.084   1000
348487       1   16384264   16400127    161      16  351827       2.2518     0.012167        0.015   1000
128272       1   16524599   16539104     54       3  351827     -0.13574      0.55399        0.525   1000
79363        1   16558182   16563659     59       5  351827      0.36314      0.35825        0.342   1000
9696         1   17248445   17299474    225       7  351827     -0.30059      0.61814        0.592   1000
4237         1   17300997   17308081     81       4  351827     -0.32078      0.62581        0.623   1000
6390         1   17345217   17380665    179       5  351827     -0.44672      0.67246        0.652   1000
126917       1   19230774   19282826      7       1  351827      0.14671      0.44168        0.463   1000
23352        1   19401000   19536812     53       3  351827     -0.16697       0.5663        0.569   1000
23065        1   19542158   19578053    228      11  351827     0.019252      0.49232        0.483   1000
22977        1   19609057   19615280     31       1  351827     -0.44674      0.67247        0.657   1000
