GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
ENSG00000228327    1     661265     714006      8       4  351827      -1.5372      0.93788        0.944   1000
ENSG00000237491    1     714150     745440      2       1  351827      0.32118      0.37404        0.386   1000
ENSG00000230092    1     736259     753092      9       1  351827     -0.19113      0.57579        0.582   1000
ENSG00000177757    1     752751     755217      9       1  351827     -0.19113      0.57579        0.582   1000
ENSG00000228794    1     760518     794826     76      15  351827    -0.044708      0.51783        0.499   1000
ENSG00000230368    1     803451     812283     28       7  351827       1.0925       0.1373         0.14   1000
ENSG00000234711    1     808672     809729      3       1  351827     -0.12104      0.54817        0.522   1000
ENSG00000283040    1     809909     812614      1       1  351827     -0.60647       0.7279        0.725   1000
ENSG00000272438    1     840214     851356     70      19  351827       1.1534      0.12438        0.113   1000
ENSG00000230699    1     846815     850328     72      16  351827     -0.54906      0.70852        0.704   1000
ENSG00000241180    1     849551     850351     11       3  351827     -0.83162      0.79719        0.806   1000
ENSG00000223764    1     852245     856396     21       4  351827     -0.97155      0.83436        0.836   1000
ENSG00000187634    1     861118     879961     36      12  351827      0.22529      0.41088         0.38   1000
ENSG00000188976    1     879584     894670     95      21  351827      0.18744      0.42566        0.419   1000
ENSG00000187961    1     895967     901095     11       3  351827       1.0659      0.14323        0.144   1000
ENSG00000187583    1     901877     910488     41       6  351827      -0.2913      0.61459        0.585   1000
ENSG00000187642    1     910584     917473     25       5  351827      0.95042      0.17095        0.168   1000
ENSG00000272512    1     931346     933431     50       8  351827      0.39163      0.34767        0.373   1000
ENSG00000188290    1     934342     935552     11       3  351827      0.39858       0.3451        0.337   1000
ENSG00000187608    1     936518     949921     18       5  351827      -0.2199      0.58703        0.586   1000
ENSG00000231702    1     943456     943609     58       7  351827     -0.18917      0.57502        0.561   1000
ENSG00000224969    1     947377     948573      8       2  351827       -1.173       0.8796        0.888   1000
ENSG00000188157    1     955503     991498    158      35  351827     -0.53954      0.70524        0.689   1000
ENSG00000242590    1     990413     991496     11       4  351827      0.57417      0.28293        0.279   1000
ENSG00000217801    1     995114    1004735    118      21  351827     -0.76008       0.7764        0.762   1000
