PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000142657.20.wgt.RDat	ENSG00000142657.20	1	10398591	10398592	0.3252	rs12402967	-9.03	rs1467653	0.198	6.37	-6.34	368	27	enet	0.13	1.6e-7	-5.45	5.17e-8
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.3318	rs573744	9.242	rs2306627	0.193	6.34	7.35	453	24	enet	0.17	2.3e-9	4.98	6.26e-7
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000142949.16.wgt.RDat	ENSG00000142949.16	1	43525186	43525187	0.2227	rs11590627	-10.178	rs11590627	0.105	4.89	-10.2	445	18	enet	0.071	1e-4	-8.54	1.29e-17
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000184588.17.wgt.RDat	ENSG00000184588.17	1	65792513	65792514	0.1298	rs12141125	-9.01	rs1782754	-0.0052	3.45	-0.134	474	9	enet	0.015	0.049	-4.71	2.53e-6
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000163239.12.wgt.RDat	ENSG00000163239.12	1	154502218	154502219	0.3724	rs4845681	13.154	rs6674171	0.261	-7.49	4.35	403	6	enet	0.22	2.1e-12	-4.82	1.46e-6
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000143603.18.wgt.RDat	ENSG00000143603.18	1	154870279	154870280	0.1221	rs4845681	13.154	rs2335407	0.059	-4.72	11	417	8	enet	0.057	4.6e-4	-11.2	5.22e-29
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000272195.1.wgt.RDat	ENSG00000272195.1	1	244971087	244971088	0.4258	rs1196366	6.601	rs2291426	0.436	-9.4	6.29	464	19	enet	0.4	3.3e-23	-5.58	2.38e-8
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000205795.4.wgt.RDat	ENSG00000205795.4	2	10080943	10080944	0.2112	rs4233874	5.78	rs4072565	0.16	5.66	5.74109	593	15	enet	0.15	1.3e-8	4.413683	1.02e-5
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000138031.14.wgt.RDat	ENSG00000138031.14	2	24919838	24919839	0.1928	rs713587	10.96	rs7593130	0.0892	4.31	6.50702	320	27	enet	0.044	0.0019	5.497248	3.86e-8
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000119787.13.wgt.RDat	ENSG00000119787.13	2	38377284	38377285	0.4054	rs6724418	6.76	rs3806552	0.141	-5.62	6.0213	478	17	enet	0.16	6.8e-9	-4.525544	6.02e-6
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000227403.1.wgt.RDat	ENSG00000227403.1	2	161244738	161244739	0.2422	rs1114338	10.14	rs10930013	0.191	-6.42	5.84803	384	4	enet	0.16	2.9e-9	-5.349357	8.83e-8
GTExv8.EUR.Adrenal_Gland	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Adrenal_Gland/ENSG00000280083.1.wgt.RDat	ENSG00000280083.1	2	191156069	191156070	0.1407	rs2138913	-6.53	rs7574570	0.09	-4.55	-5.50178	384	11	enet	0.048	0.0012	5.320368	1.04e-7
