PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000159479.16.wgt.RDat	ENSG00000159479.16	1	43389807	43389808	0.1084	rs11590627	-10.18	rs839752	0.041024	3.74	-2.981289	454	9	enet	0.017	0.069	-5.42898	5.67e-8
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000215869.4.wgt.RDat	ENSG00000215869.4	1	104072982	104072983	0.3038	rs12410233	9.38	rs2149604	0.072886	5.27	5.844107	310	29	enet	0.14	5.3e-6	4.41667	1e-5
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000076321.10.wgt.RDat	ENSG00000076321.10	1	173714940	173714941	0.122	rs12354141	12.19	rs2227612	0.016237	3.29	1.41215	269	32	enet	-0.0064	0.73	-5.57652	2.45e-8
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000224165.5.wgt.RDat	ENSG00000224165.5	2	24971389	24971390	0.1421	rs713587	10.96	rs13387729	0.12759	-4.81	6.347764	322	11	enet	0.064	0.0015	-8.1166	4.8e-16
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000180385.8.wgt.RDat	ENSG00000180385.8	3	9987120	9987121	0.1806	rs7626117	-8.58	rs7648104	0.03347	3.74	-6.914105	523	75	enet	-0.0048	0.56	-4.65234	3.28e-6
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000186162.10.wgt.RDat	ENSG00000186162.10	3	10026364	10026365	0.206	rs7626117	-8.58	rs6800204	0.11445	4.43	-5.424344	526	30	enet	0.094	1.5e-4	-4.35482	1.33e-5
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000144681.10.wgt.RDat	ENSG00000144681.10	3	36380343	36380344	0.272	rs17244786	-5.7	rs17244786	0.12633	5.24	-5.703235	472	18	enet	0.042	0.0088	-4.61132	4e-6
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000163870.14.wgt.RDat	ENSG00000163870.14	3	127598221	127598222	0.2264	rs9647334	5.13	rs2720251	0.12875	-4.85	3.230815	451	20	enet	0.15	1.1e-6	-4.3318	1.48e-5
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000273841.4.wgt.RDat	ENSG00000273841.4	5	69369641	69369642	0.1855	rs2010352	-10.1	rs10038816	0.02183	-3.63	-8.62185	225	25	enet	0.03	0.024	5.50746	3.64e-8
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000198945.7.wgt.RDat	ENSG00000198945.7	6	130013698	130013699	0.2373	rs9375683	8.34	rs6569648	0.06026	4.34	-6.298733	561	21	enet	0.012	0.11	-5.058423	4.23e-7
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000146701.11.wgt.RDat	ENSG00000146701.11	7	76048050	76048051	0.1751	rs9800948	10.45	rs4732542	0.03	-3.84	9.08398	312	22	enet	0.044	0.0075	-9.10486	8.64e-20
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000077063.10.wgt.RDat	ENSG00000077063.10	7	117874138	117874139	0.3997	rs7807677	10.28	rs916784	0.206	5.69	8.356688	343	6	enet	0.15	1.3e-6	8.53914	1.35e-17
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000128534.7.wgt.RDat	ENSG00000128534.7	7	118184031	118184032	0.0894	rs7807677	10.28	rs2041527	0.0733	-4.29	-2.58548	341	20	enet	0.042	0.0088	4.7792	1.76e-6
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000128596.16.wgt.RDat	ENSG00000128596.16	7	128790756	128790757	0.1913	rs11771587	-5.07	rs1006023	0.0792	-4.06	4.930986	332	28	enet	0.056	0.003	-5.12343	3e-7
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000176209.11.wgt.RDat	ENSG00000176209.11	8	42541711	42541712	0.299	rs2974342	5.04	rs2923428	0.291	6.39	4.94208	253	12	enet	0.23	1.3e-9	4.4161	1.01e-5
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000251003.7.wgt.RDat	ENSG00000251003.7	8	106060523	106060524	0.1586	rs12541635	-9.74	rs1603363	-0.00607	3.63	-8.40708	413	17	enet	0.019	0.057	-4.6339	3.59e-6
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000280303.2.wgt.RDat	ENSG00000280303.2	8	140636280	140636281	0.1485	rs938724	10.56	rs11166986	0.0386	4.2	-9.66461	367	18	enet	-1.1e-4	0.32	-5.2605	1.44e-7
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000227603.1.wgt.RDat	ENSG00000227603.1	9	93437120	93437121	0.4027	rs7853605	8.89	rs7036984	0.27743	6.63	4.1354	490	15	enet	0.23	1.1e-9	4.84931	1.24e-6
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000213529.3.wgt.RDat	ENSG00000213529.3	9	112362713	112362714	0.1071	rs7852336	-8.37	rs7048129	0.020029	-3.7	-8.0398	454	7	enet	-0.0068	0.78	5.23016	1.69e-7
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000125485.17.wgt.RDat	ENSG00000125485.17	9	132670033	132670034	0.6212	rs3739905	-7.74	rs3739905	0.512083	8.7	-7.736	533	12	enet	0.51	8.1e-23	-7.41511	1.22e-13
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000152465.17.wgt.RDat	ENSG00000152465.17	10	15168692	15168693	0.2012	rs10906845	9.52	rs10906845	0.033817	-4.24	9.52387	527	18	enet	0.093	1.6e-4	-5.05892	4.22e-7
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000187122.16.wgt.RDat	ENSG00000187122.16	10	97185919	97185920	0.4773	rs4919096	-12.39	rs1468069	0.309763	6.89	-9.76681	428	17	enet	0.38	5.1e-16	-6.94023	3.91e-12
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000139620.12.wgt.RDat	ENSG00000139620.12	12	48682237	48682238	0.384	rs10875867	-7.33	rs2162317	0.20541	5.46	-5.790731	378	16	enet	0.14	2.5e-6	-4.37137	1.23e-5
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000275759.1.wgt.RDat	ENSG00000275759.1	12	118428280	118428281	0.367	rs17512609	11.58	rs17512574	0.268795	-6.54	11.038999	447	47	enet	0.3	3.5e-12	-7.08288	1.41e-12
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000275409.1.wgt.RDat	ENSG00000275409.1	12	118430146	118430147	0.28	rs17512609	11.58	rs17619932	0.140286	-5.68	9.421401	448	39	enet	0.17	2.3e-7	-5.54095	3.01e-8
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000126790.11.wgt.RDat	ENSG00000126790.11	14	59484429	59484430	0.2207	rs17834238	7.88	rs1268584	0.217923	-5.75	6.92494	455	22	enet	0.2	2.3e-8	-4.8536	1.21e-6
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000128944.13.wgt.RDat	ENSG00000128944.13	15	40382720	40382721	0.477	rs17672041	4.75	rs17671250	0.32847	6.76	4.682765	392	20	enet	0.19	3.7e-8	4.43516	9.2e-6
GTExv8.EUR.Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000090487.10.wgt.RDat	ENSG00000090487.10	15	64990309	64990310	0.261	rs6494509	6.13	rs6494509	0.16899	-5.27	6.12805	304	11	enet	0.15	1.5e-6	-4.98722	6.13e-7
