PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000225972.1.wgt.RDat	ENSG00000225972.1	1	629061	629062	0.174	rs1891910	-4.64	rs3128117	0.0136	-2.96	-0.839866	77	4	enet	-0.0067	0.92	0.46676	0.641
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000225630.1.wgt.RDat	ENSG00000225630.1	1	629639	629640	0.13	rs1891910	-4.64	rs2710888	0.0525	-3.97	-1.489351	78	7	enet	0.044	0.0057	0.53448	0.593
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000237491.8.wgt.RDat	ENSG00000237491.8	1	778769	778770	0.358	rs1891910	-4.64	rs13302982	-0.00465	3.65	-0.48591	136	37	enet	0.031	0.018	0.32529	0.745
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.192	rs1891910	-4.64	rs35242196	-0.000546	3.14	-0.583314	186	19	enet	0.038	0.0099	-0.22859	0.819
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000162576.16.wgt.RDat	ENSG00000162576.16	1	1361776	1361777	0.236	rs1891910	-4.64	rs2649589	0.0125	-4.36	0.658409	261	19	enet	0.077	0.00035	-1.96881	0.049
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.217	rs1891910	-4.64	rs12410087	0.145	5.2	-1.838529	275	9	enet	0.1	5e-05	-1.57631	0.115
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.336	rs1891910	-4.64	rs307380	0.17	-6.43	0.718541	282	14	enet	0.21	2.3e-09	-0.47402	0.635
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.492	rs1891910	-4.64	rs1695824	0.244	-7.31	-1.891308	287	12	enet	0.31	9.3e-14	1.51463	0.13
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.621	rs1891910	-4.64	rs2031709	0.0629	-5.96	2.149189	284	10	enet	0.084	0.00019	-2.45787	0.014
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000160075.11.wgt.RDat	ENSG00000160075.11	1	1574868	1574869	0.242	rs3128317	-4.81	rs3766170	0.0966	4.54	-0.014513	280	11	enet	0.088	0.00013	-0.85201	0.394
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.298	rs3128317	-4.81	rs4074197	0.03	4.14	0.507688	301	15	enet	0.016	0.066	0.16387	0.87
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.178	rs3128317	-4.81	rs2474460	0.072	-4.19	0.866684	288	36	enet	0.056	0.0021	0.61086	0.541
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.508	rs3128317	-4.81	rs12126768	0.268	-6.45	-0.517169	316	59	enet	0.15	4.8e-07	-0.54178	0.588
Brain_Hippocampus	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Brain_Hippocampus/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.203	rs3128317	-4.81	rs2250833	0.0707	-4.35	-0.091065	327	11	enet	0.054	0.0024	-0.31421	0.753
