PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000237094.11.wgt.RDat	ENSG00000237094.11	1	501616	501617	0.0608	rs1891910	-4.64	rs3094315	0.0308	3.81	-0.146306	37	6	enet	0.027	0.004	-0.24753	0.804
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.1602	rs1891910	-4.64	rs3094315	0.0878	4.94	-0.146306	156	38	enet	0.065	1.5e-05	0.59713	0.55
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000187642.9.wgt.RDat	ENSG00000187642.9	1	982092	982093	0.3942	rs1891910	-4.64	rs6694632	0.173	-6.83	-0.412418	181	7	enet	0.17	2.8e-12	0.49686	0.619
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.415	rs1891910	-4.64	rs3128117	0.299	-8.95	-0.839866	183	14	enet	0.3	9.7e-23	0.82238	0.411
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000188290.10.wgt.RDat	ENSG00000188290.10	1	1000171	1000172	0.2789	rs1891910	-4.64	rs3934834	0.0226	-4.62	1.164897	183	26	enet	0.063	2.1e-05	-2.92751	0.00342
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000188157.14.wgt.RDat	ENSG00000188157.14	1	1020122	1020123	0.1779	rs1891910	-4.64	rs2710888	0.0141	-4.43	-1.489351	186	19	enet	0.061	2.6e-05	0.13647	0.891
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000217801.9.wgt.RDat	ENSG00000217801.9	1	1059733	1059734	0.1126	rs11586188	4.77	rs7526076	0.035	4.84	-1.493504	202	7	enet	0.037	0.00088	-1.44225	0.149
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.164	rs1891910	-4.64	rs9442372	0.0434	-4.93	0.804079	215	19	enet	0.052	9.6e-05	-0.05071	0.96
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000162572.20.wgt.RDat	ENSG00000162572.20	1	1280435	1280436	0.1491	rs1891910	-4.64	rs34054191	0.0803	5.2	1.294305	244	22	enet	0.097	1.2e-07	1.04059	0.298
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2078	rs1891910	-4.64	rs1240743	0.00563	3.9	-0.004734	252	19	enet	0.096	1.6e-07	-0.38578	0.7
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000224051.6.wgt.RDat	ENSG00000224051.6	1	1324755	1324756	0.0781	rs1891910	-4.64	rs34054191	0.0691	4.61	1.294305	252	6	enet	0.067	1.1e-05	1.57316	0.116
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000162576.16.wgt.RDat	ENSG00000162576.16	1	1361776	1361777	0.135	rs1891910	-4.64	rs873927	0.0398	-4.41	-2.110946	261	14	enet	0.04	0.00063	0.88141	0.378
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.1366	rs1891910	-4.64	rs35242196	0.0904	5.18	-0.583314	275	3	enet	0.056	6.1e-05	-0.97686	0.329
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.3435	rs1891910	-4.64	rs12089560	0.444	-10.93	0.791504	282	25	enet	0.42	1.6e-33	-0.58134	0.561
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.0818	rs1891910	-4.64	rs1240707	0.0863	-5.81	0.80767	284	5	enet	0.088	5.1e-07	-0.75989	0.447
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000215915.9.wgt.RDat	ENSG00000215915.9	1	1449688	1449689	0.14	rs1891910	-4.64	rs1695824	0.106	-6.51	-1.891308	287	12	enet	0.068	9.3e-06	1.52847	0.126
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5268	rs1891910	-4.64	rs2031709	0.1	-7.27	2.149189	284	46	enet	0.077	2.4e-06	-3.54778	0.000388
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000248333.8.wgt.RDat	ENSG00000248333.8	1	1659011	1659012	0.1544	rs3128317	-4.81	rs28635343	0.0176	4.15	-0.882563	308	28	enet	0.038	0.00083	0.44007	0.66
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000269737.2.wgt.RDat	ENSG00000269737.2	1	1671989	1671990	0.5139	rs3128317	-4.81	rs6604981	0.338	9.47	1.827854	305	4	enet	0.3	1.6e-22	1.40304	0.161
Colon_Sigmoid	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Colon_Sigmoid/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7134	rs3128317	-4.81	rs4648786	0.0975	-6.12	0.123343	305	18	enet	0.3	8.7e-23	-0.2657	0.79
