GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
54991        1    1017198    1051736     96       5  351827     -0.93343       0.8247        0.838   1000
8784         1    1138888    1142163     11       1  351827      -2.4438      0.99273        0.994   1000
126792       1    1167629    1170421    137       4  351827      -1.0928      0.86276        0.862   1000
6339         1    1215816    1227409     26       1  351827      0.49851      0.30906        0.311   1000
126789       1    1243962    1247057      4       1  351827      0.53809      0.29526        0.289   1000
54973        1    1246965    1260067     69       3  351827    -0.025723      0.51026        0.516   1000
80772        1    1260136    1264276      1       1  351827     -0.64649      0.74102        0.719   1000
54587        1    1288071    1297183     32       2  351827     -0.59268       0.7233        0.723   1000
55052        1    1337276    1342693     83       5  351827      0.44636      0.32767        0.319   1000
441869       1    1353800    1356824    238      14  351827     0.031337       0.4875        0.483   1000
64856        1    1370903    1378262      2       1  351827      0.41595      0.33872        0.363   1000
219293       1    1378152    1405538    104      13  351827       1.1704      0.12092        0.109   1000
83858        1    1407139    1444852    117       9  351827       1.3935     0.081731        0.072   1000
728661       1    1591486    1624243     36       4  351827      0.88823      0.18721        0.204   1000
728642       1    1633822    1655999      2       1  351827     -0.63671      0.73784         0.75   1000
9906         1    1656277    1677438      1       1  351827      0.12339       0.4509        0.495   1000
199990       1    2115899    2144159     11       2  351827     -0.99047      0.83903        0.843   1000
79906        1    2251719    2323190     14       1  351827     -0.49812       0.6908        0.691   1000
5192         1    2336241    2344010     14       3  351827     -0.30239      0.61882        0.623   1000
127281       1    2517899    2522908    119       2  351827      0.10339      0.45883        0.436   1000
79258        1    2522078    2564499    222       8  351827     0.028472      0.48864         0.49   1000
100287898    1    2572807    2706230    137       4  351827     0.044419      0.48229         0.48   1000
1953         1    3404506    3528059      5       1  351827      -1.1434      0.87357        0.862   1000
127262       1    3541556    3546695     59       6  351827     -0.20209      0.58008        0.584   1000
57470        1    3696784    3713068     79       2  351827      0.67773      0.24897        0.259   1000
9731         1    3728645    3773797      4       1  351827       1.1981      0.11543         0.11   1000
1677         1    3773845    3801993    132      10  351827       1.0548      0.14575        0.128   1000
339448       1    3805697    3816857     30       3  351827       1.2752      0.10111        0.099   1000
261734       1    5922870    6052618    229       8  351827       1.7226     0.042477        0.036   1000
23463        1    6281253    6296044     36       3  351827     -0.29764      0.61701        0.661   1000
387509       1    6307406    6321035     39       2  351827      -1.6003      0.94523        0.945   1000
8718         1    6520787    6527432      2       1  351827      -0.5693      0.71542        0.701   1000
473          1    8412464    8877699     66       4  351827       1.7669      0.03862        0.041   1000
6518         1    9097005    9131763      3       1  351827       1.0504      0.14677        0.158   1000
9563         1    9294822    9331396      1       1  351827       1.2036      0.11438         0.12   1000
80176        1    9335202    9429591      9       1  351827       1.5084     0.065726        0.057   1000
5226         1   10458884   10480565      2       1  351827     -0.13755       0.5547         0.56   1000
378708       1   10489944   10510239     89       3  351827        2.199      0.01394        0.019   1000
5195         1   10535003   10690815      1       1  351827      0.81728      0.20689        0.206   1000
148345       1   11006530   11042094      3       1  351827         1.52     0.064251         0.07   1000
5394         1   11126675   11159961     27       1  351827    -0.044626       0.5178        0.538   1000
10218        1   11249346   11256038      4       1  351827     -0.21923      0.58677         0.61   1000
10459        1   11734537   11751678      1       1  351827       1.3313     0.091553        0.105   1000
374946       1   11751781   11780336     11       1  351827      0.97053      0.16589        0.175   1000
4524         1   11845787   11866160    105       6  351827     -0.96351      0.83235        0.813   1000
1185         1   11866153   11903201    104       2  351827      0.91806      0.17929        0.161   1000
5351         1   11994724   12035599     57       5  351827      0.61495      0.26929        0.289   1000
9927         1   12040238   12073572     15       1  351827      -1.1353      0.87187        0.875   1000
10630        1   13910252   13944452     15       1  351827        -1.85      0.96785        0.964   1000
55092        1   15479028   15546974      1       1  351827      0.34604      0.36466        0.354   1000
114827       1   15573730   15724767      7       2  351827      0.35551      0.36111        0.357   1000
51032        1   15802596   15817895      1       1  351827      0.23541      0.40695        0.389   1000
842          1   15817896   15851407      7       1  351827       -0.656      0.74409        0.736   1000
23341        1   15853343   15898228     70       1  351827      0.12539      0.45011        0.478   1000
79814        1   15898194   15911605    159       4  351827     -0.29264       0.6151         0.64   1000
284723       1   16062721   16067884    249       5  351827       0.8233      0.20517        0.203   1000
1187         1   16348486   16360548    136       5  351827      0.92319      0.17795        0.185   1000
348487       1   16384264   16400127     74       4  351827     -0.23764      0.59392        0.586   1000
128272       1   16524599   16539104     41       3  351827     -0.47091      0.68115        0.665   1000
79363        1   16558182   16563659     23       2  351827       0.8829      0.18865        0.198   1000
54455        1   16573339   16678965    182       4  351827      0.90219      0.18348        0.173   1000
9696         1   17248445   17299474     10       2  351827      -1.3596      0.91303        0.932   1000
23400        1   17312453   17338467      1       1  351827      -1.8277       0.9662        0.971   1000
8659         1   19197924   19229293     52       2  351827      -0.2635      0.60392        0.635   1000
23352        1   19401000   19536812      4       1  351827       1.4905     0.068052        0.069   1000
23065        1   19542158   19578053    220      10  351827      0.12843       0.4489        0.442   1000
51154        1   19578075   19586622    115       4  351827       1.5127     0.065182        0.059   1000
8574         1   19629202   19638640      1       1  351827      -1.4965      0.93273        0.928   1000
54896        1   19638740   19658925     20       3  351827       1.3179     0.093776        0.114   1000
4681         1   19969723   19984949    160      15  351827       1.5357     0.062303        0.068   1000
3362         1   19991780   20006055     69       6  351827       1.9851     0.023566        0.023   1000
23252        1   20208356   20239438     70       6  351827      -2.1855      0.98558        0.989   1000
5322         1   20386157   20418394     40       3  351827     -0.33969      0.63295        0.641   1000
79594        1   20825941   20834674     73       6  351827      -2.3284      0.99005        0.992   1000
978          1   20915444   20945401     42       3  351827      0.45768      0.32359         0.34   1000
57576        1   20990475   21044317     27       3  351827       1.5873     0.056217        0.047   1000
84224        1   21766583   21811393    110       6  351827     -0.97327      0.83479        0.843   1000
249          1   21835475   21904905      3       1  351827      -1.3676      0.91428        0.918   1000
84196        1   22004791   22109688     11       1  351827       -1.495      0.93254        0.927   1000
2048         1   23037263   23241823     18       2  351827        2.445    0.0072425       0.0056   5000
