GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P        PERMP  NPERM
148398       1     859993     879961      5       1  351827     -0.62296      0.73334         0.72   1000
84069        1     901872     910488      4       1  351827      0.33441      0.36904        0.365   1000
84808        1     910579     917473      1       1  351827      0.71318      0.23787        0.219   1000
54991        1    1017198    1051736    117       8  351827     -0.50459      0.69308        0.684   1000
254173       1    1109286    1133315     17       1  351827       1.6717     0.047291        0.044   1000
126792       1    1167629    1170421    106       3  351827      -1.8973       0.9711        0.968   1000
6339         1    1215816    1227409      2       1  351827      0.35584      0.36098        0.348   1000
54973        1    1246965    1260067     22       3  351827      0.37282      0.35464        0.361   1000
55052        1    1337276    1342693     58       3  351827      0.46679      0.32033        0.324   1000
441869       1    1353800    1356824    121       6  351827      0.19683      0.42198         0.42   1000
219293       1    1378152    1405538    104       8  351827      0.76474      0.22221        0.238   1000
83858        1    1407139    1444852     90       7  351827       1.4514     0.073331        0.064   1000
29101        1    1477053    1510262     49       2  351827      0.07387      0.47056        0.471   1000
643988       1    1533388    1535476      1       1  351827     -0.71532      0.76279        0.774   1000
728661       1    1591486    1624243     35       4  351827      0.91447      0.18024        0.176   1000
728642       1    1633822    1655999      1       1  351827      0.12339       0.4509        0.446   1000
65220        1    1682671    1711508     15       2  351827     0.043578      0.48262        0.494   1000
163688       1    1846266    1848733     19       1  351827     -0.35087      0.63716        0.667   1000
85452        1    1853390    1935276     36       3  351827       1.6534     0.049127        0.055   1000
199990       1    2115899    2144159     11       3  351827     -0.75548      0.77502        0.776   1000
79906        1    2251719    2323190     22       2  351827     0.058402      0.47671         0.48   1000
11079        1    2323214    2336883      3       1  351827      0.40714      0.34195        0.341   1000
5192         1    2336241    2344010      4       1  351827      0.60683      0.27198        0.272   1000
8764         1    2487291    2495268    109       3  351827     0.024701      0.49015        0.494   1000
127281       1    2517899    2522908    158       5  351827     0.045753      0.48175        0.484   1000
79258        1    2522078    2564499    142       4  351827      0.13227      0.44739        0.453   1000
127262       1    3541556    3546695     38       4  351827      0.16009      0.43641        0.438   1000
57470        1    3696784    3713068    133       5  351827      0.75439      0.22531         0.22   1000
9731         1    3728645    3773797     49       2  351827      0.97635      0.16445        0.159   1000
1677         1    3773845    3801993     92       5  351827      0.85815       0.1954        0.216   1000
339448       1    3805697    3816857     11       2  351827       0.2976      0.38301        0.397   1000
261734       1    5922870    6052618    205       7  351827        1.761     0.039123         0.04   1000
8514         1    6052358    6161253      1       1  351827     -0.80723      0.79023          0.8   1000
23463        1    6281253    6296044     35       3  351827     -0.30769      0.62084        0.644   1000
57449        1    6526152    6580121      5       1  351827      -1.1874      0.88246        0.896   1000
9341         1    7831329    7841492     39       3  351827     -0.28672      0.61284         0.61   1000
11315        1    8021714    8045342      4       1  351827    -0.053485      0.52133        0.537   1000
473          1    8412464    8877699     54       2  351827        1.844     0.032589        0.028   1000
2023         1    8921059    8939151      1       1  351827      0.68436      0.24687        0.232   1000
6518         1    9097005    9131763     12       1  351827       1.0772       0.1407        0.148   1000
80176        1    9335202    9429591     14       2  351827       1.4244     0.077165        0.076   1000
23095        1   10270606   10441664      1       1  351827     -0.26193      0.60331        0.594   1000
5226         1   10458884   10480565     20       1  351827       2.9266    0.0017136       0.0007  10000
2475         1   11166588   11322614    131       2  351827     0.073032      0.47089        0.474   1000
57540        1   11539295   11597640     10       1  351827      0.31831      0.37513        0.362   1000
4524         1   11845787   11866160     22       2  351827         -1.6       0.9452        0.938   1000
5351         1   11994724   12035599     24       2  351827      0.27359       0.3922        0.412   1000
9927         1   12040238   12073572     31       2  351827     -0.69788      0.75738        0.764   1000
9249         1   12627939   12677820      1       1  351827     0.040769      0.48374        0.492   1000
55092        1   15479028   15546974      7       1  351827      -1.2513      0.89459        0.889   1000
114827       1   15573730   15724767     26       4  351827     -0.73739      0.76956        0.765   1000
842          1   15817896   15851407      3       1  351827      0.67023      0.25136        0.244   1000
79814        1   15898194   15911605     64       2  351827      -1.0073       0.8431        0.857   1000
284723       1   16062721   16067884     65       5  351827      0.26356      0.39606        0.412   1000
1187         1   16348486   16360548    124       4  351827      0.93206      0.17565        0.172   1000
348487       1   16384264   16400127    127       7  351827      0.15157      0.43976        0.428   1000
128272       1   16524599   16539104     83       2  351827      -0.2831      0.61145        0.601   1000
79363        1   16558182   16563659     54       2  351827      0.39596      0.34607        0.333   1000
54455        1   16573339   16678965    183       4  351827      0.89997      0.18407        0.194   1000
9696         1   17248445   17299474      4       1  351827      -1.1536      0.87567        0.885   1000
23400        1   17312453   17338467      6       1  351827       -1.218      0.88838        0.887   1000
6390         1   17345217   17380665     36       1  351827     0.077983      0.46892        0.473   1000
8659         1   19197924   19229293     52       2  351827      -0.2635      0.60392        0.598   1000
126917       1   19230774   19282826      2       1  351827     -0.38879      0.65128        0.657   1000
23065        1   19542158   19578053    264       8  351827    -0.056906      0.52269        0.489   1000
51154        1   19578075   19586622    115       4  351827        1.514     0.065017        0.074   1000
8574         1   19629202   19638640      9       3  351827      -0.1796      0.57127        0.572   1000
54896        1   19638740   19658925     36       1  351827      0.49483      0.31036        0.304   1000
4681         1   19969723   19984949     88       8  351827      0.92473      0.17755        0.197   1000
23252        1   20208356   20239438    110      10  351827       -1.159      0.87678        0.904   1000
5322         1   20386157   20418394     44       3  351827     -0.33837      0.63246        0.636   1000
55450        1   20808884   20812728      3       1  351827      0.44842      0.32693        0.328   1000
79594        1   20825941   20834674     69       5  351827      -1.7579      0.96062        0.954   1000
978          1   20915444   20945401    118       9  351827      0.50784      0.30578        0.336   1000
57576        1   20990475   21044317     83       5  351827       1.3722        0.085          0.1   1000
84224        1   21766583   21811393    109       6  351827     -0.94461      0.82757        0.832   1000
84196        1   22004791   22109688     16       1  351827      0.47976       0.3157        0.344   1000
2046         1   22890004   22930087     16       1  351827      0.43708      0.33103        0.349   1000
2048         1   23037263   23241823     57       4  351827       1.9408     0.026139        0.018   1000
23028        1   23345937   23410184      1       1  351827      0.40622      0.34229        0.339   1000
7798         1   23410516   23504301     16       1  351827     -0.16695       0.5663         0.57   1000
3352         1   23518388   23521222     72       2  351827       0.8534      0.19672        0.182   1000
6920         1   23707555   23751269     72       4  351827       1.5529      0.06022        0.066   1000
11313        1   24117275   24122029      1       1  351827     -0.32033      0.62564        0.614   1000
163702       1   24480647   24513765      1       1  351827      0.54025      0.29451        0.287   1000
57822        1   24645812   24690972      4       1  351827      -0.0351        0.514        0.524   1000
90529        1   24683489   24741587    120       7  351827       1.0448      0.14806        0.158   1000
400746       1   24882567   24935819     15       2  351827      -1.5123      0.93478        0.939   1000
6007         1   25598884   25656936    170       3  351827     -0.83112      0.79705        0.782   1000
6006         1   25687853   25747363    168       3  351827      -0.7101      0.76118        0.751   1000
26119        1   25870071   25895377     28       2  351827     -0.54725       0.7079        0.696   1000
56181        1   26146397   26159433     29       3  351827      -1.3694      0.91456        0.899   1000
3925         1   26210670   26233368      3       1  351827       0.2611      0.39701        0.407   1000
2134         1   26348266   26362955      4       1  351827      0.38615      0.34969        0.381   1000
79927        1   26485511   26489119     30       4  351827      -1.7872      0.96305        0.965   1000
10256        1   26503981   26516375    389      17  351827      0.37584      0.35352        0.291   1000
64793        1   26560644   26605529     81       5  351827      -1.5846      0.94348        0.938   1000
1043         1   26644411   26647014      2       1  351827     -0.78883      0.78489        0.816   1000
388610       1   27320189   27327377      1       1  351827     -0.25262      0.59972        0.623   1000
84065        1   27648636   27662891      5       1  351827      -1.1037      0.86513        0.863   1000
9064         1   27681670   27693558      7       2  351827     -0.47209      0.68157        0.698   1000
388611       1   27705596   27709823      1       1  351827     -0.91465      0.81981        0.827   1000
10163        1   27730734   27816678      5       1  351827      -3.1286      0.99912        0.998   1000
6118         1   28218035   28241255     55       5  351827      0.88086       0.1892        0.189   1000
27293        1   28261456   28285663     27       1  351827      0.45539      0.32441        0.312   1000
2140         1   28296855   28415173     70       2  351827       1.2488      0.10586        0.126   1000
5724         1   28473677   28520447      6       1  351827      -1.1483      0.87457        0.852   1000
93974        1   28562602   28564616     89       2  351827       1.1683      0.12135        0.107   1000
65979        1   28696093   28826881    427       9  351827      0.56084      0.28745        0.287   1000
115273       1   28918712   28921098      3       1  351827      -1.5549      0.94001        0.936   1000
51102        1   29519385   29557460     27       3  351827      -1.2305      0.89074        0.889   1000
4146         1   31184124   31196432      3       1  351827     -0.61359      0.73026        0.734   1000
7805         1   31205315   31230683      3       1  351827       1.4674     0.071136        0.067   1000
79570        1   31652592   31712734    200       6  351827       1.3845     0.083098        0.072   1000
2170         1   31838100   31845923    117       1  351827      0.52936      0.29828        0.296   1000
553115       1   32095463   32110838     39       2  351827       1.1015      0.13534        0.131   1000
1307         1   32117848   32169768     57       7  351827       3.2977    0.0004874       0.0009  10000
90853        1   32256023   32281630     18       2  351827      0.31276      0.37723        0.384   1000
10657        1   32479295   32526460      1       1  351827      0.70075      0.24173        0.233   1000
200081       1   32645293   32663886     21       2  351827     -0.29251      0.61505        0.616   1000
56063        1   32680040   32687954    123       2  351827     -0.55015      0.70889        0.705   1000
113451       1   33546711   33586132     17       1  351827     -0.16622      0.56601         0.58   1000
114784       1   33979609   34631443     24       1  351827       2.3236     0.010073        0.012   1000
113444       1   35315963   35325417      4       1  351827     -0.10536      0.54196         0.53   1000
100506144    1   35447127   35450948     67       3  351827      0.25866      0.39795        0.402   1000
79729        1   36771889   36793544      8       1  351827     -0.62469      0.73391        0.736   1000
55194        1   36787631   36790567      1       1  351827      0.67429      0.25006        0.225   1000
84967        1   36859031   36863493     45       2  351827      0.57925      0.28121        0.291   1000
127700       1   36883507   36916086     93       3  351827      0.26822      0.39427        0.394   1000
7802         1   38022520   38032458     60       1  351827      0.62295      0.26666        0.261   1000
29889        1   38032413   38061586     59       3  351827     -0.14138      0.55621        0.555   1000
54955        1   38147242   38158007     14       1  351827        1.595     0.055357        0.041   1000
3633         1   38326369   38412729     94       8  351827       2.1989     0.013944        0.016   1000
2275         1   38462439   38471199     32       4  351827       1.0915      0.13753        0.161   1000
54933        1   39350614   39407456      1       1  351827    -0.028011      0.51117        0.513   1000
4725         1   39491967   39500308    101       4  351827      -1.0005      0.84147        0.843   1000
84618        1   40124793   40137710      1       1  351827     -0.77831      0.78181        0.799   1000
51440        1   40144320   40157382     43       6  351827       1.6285     0.051708        0.051   1000
10450        1   40204517   40229586     66       6  351827      0.93757      0.17423        0.157   1000
64064        1   40235197   40237020     58       2  351827     -0.43361      0.66771        0.689   1000
54802        1   40306703   40349177     46       4  351827     -0.54844      0.70831        0.713   1000
339559       1   40943043   40962015    176       9  351827       1.2552       0.1047         0.11   1000
64789        1   40974391   40982228     53       3  351827      -1.2308      0.89081         0.89   1000
9132         1   41249684   41306124     13       1  351827     -0.32142      0.62605        0.653   1000
163732       1   41326728   41328018      7       1  351827      -1.8791      0.96988        0.974   1000
1503         1   41445007   41478237      2       1  351827      0.69828       0.2425        0.258   1000
200172       1   41481269   41489116      5       1  351827     -0.17018      0.56757         0.57   1000
84217        1   42896000   42921938     21       3  351827       1.1612      0.12278        0.121   1000
728621       1   43000560   43120335    169       4  351827      0.35703      0.36053        0.373   1000
79078        1   43232916   43241413    235      11  351827      0.58666      0.27872        0.293   1000
374969       1   43272723   43283059    223      12  351827      0.94516      0.17229        0.163   1000
114625       1   43282776   43310660     24       3  351827      0.52661      0.29923        0.284   1000
112950       1   43849579   43855483     29       1  351827        1.691      0.04542        0.036   1000
9048         1   44398992   44402912    159       5  351827      0.40517      0.34268        0.322   1000
533          1   44440118   44443972      6       1  351827       1.0835      0.13929        0.148   1000
339541       1   45140370   45191263     73       2  351827       1.3009     0.096644        0.099   1000
8891         1   45316194   45452394    133       3  351827     -0.70356      0.75915        0.764   1000
4595         1   45794914   45806142     86       3  351827     0.041959      0.48327        0.475   1000
10420        1   45809555   45956840    738      10  351827      0.99089      0.16087        0.181   1000
5052         1   45976707   45988562     73       2  351827       1.4311     0.076198        0.082   1000
51249        1   46153847   46160110    212       1  351827       1.5297     0.063044        0.083   1000
8438         1   46713367   46744145    185       2  351827     -0.35116      0.63727        0.649   1000
2166         1   46859939   46879520     81      10  351827       0.9117      0.18096        0.191   1000
148930       1   47011316   47016887      3       1  351827      0.92204      0.17825        0.207   1000
1580         1   47264670   47285021      4       1  351827      -1.0555       0.8544        0.852   1000
1579         1   47394846   47407156    202       4  351827      -2.2116       0.9865        0.982   1000
260293       1   47427036   47516423      1       1  351827      -1.3505      0.91157        0.912   1000
10158        1   47649261   47655771     28       3  351827      -2.7086      0.99662        0.999   1000
6886         1   47681962   47697938     19       1  351827      0.51673      0.30267        0.263   1000
51727        1   47799469   47844511     87       1  351827      0.65572        0.256        0.269   1000
200010       1   48688339   48714316    199       8  351827      -0.5005      0.69164        0.692   1000
54558        1   48761044   48937876     26       2  351827      -1.0361      0.84991        0.854   1000
1031         1   51434367   51440309      6       1  351827      0.41493       0.3391        0.312   1000
2060         1   51819935   51985026     11       2  351827      0.68821      0.24566        0.222   1000
4898         1   52254864   52344609     21       3  351827       0.1156      0.45399        0.484   1000
5865         1   52373628   52456436     69       4  351827      0.55257      0.29028        0.293   1000
200014       1   52816265   52831877      1       1  351827      -1.2825      0.90016          0.9   1000
23318        1   52888947   53018764    345       5  351827      -0.1385      0.55508        0.555   1000
65260        1   53152014   53164038     43       1  351827      0.21311      0.41562        0.395   1000
79699        1   53192126   53293014    201       3  351827      0.95318      0.17025        0.167   1000
6512         1   53552855   53608304     91      10  351827      0.19639      0.42215        0.438   1000
54987        1   53679771   53686289    123       8  351827       2.0045     0.022511        0.023   1000
51253        1   54665840   54691407     24       1  351827      0.48754      0.31294        0.288   1000
26027        1   55007930   55100417     26       2  351827     -0.64438      0.74034         0.75   1000
374977       1   55107427   55175939      4       1  351827      0.10678      0.45748        0.478   1000
55001        1   55246752   55266941     18       1  351827     -0.75717      0.77553         0.76   1000
163747       1   55271736   55307937     28       3  351827     -0.13944      0.55545        0.552   1000
1718         1   55315300   55352921     32       2  351827     -0.30453      0.61964        0.603   1000
7809         1   55464617   55474465     39       2  351827    -0.064655      0.52578        0.523   1000
5563         1   57110990   57181008      1       1  351827     -0.94619      0.82797         0.84   1000
115209       1   58881052   59012469    159       3  351827     -0.52894      0.70158        0.709   1000
114803       1   59120411   59165747     40       1  351827      0.46452      0.32114        0.309   1000
83941        1   62146718   62191095      2       1  351827     0.058932       0.4765        0.497   1000
54596        1   62660474   62678000     29       2  351827       1.5904     0.055875        0.045   1000
163782       1   62701837   62785083      1       1  351827       1.0061      0.15717        0.156   1000
29929        1   63833261   63904233    165       4  351827     -0.61052      0.72924        0.735   1000
23421        1   63906441   63988944    236      10  351827     -0.86985      0.80781        0.821   1000
84455        1   63989013   64051041    259       6  351827      -1.4359      0.92449        0.935   1000
4919         1   64239690   64647181      3       1  351827      0.46523      0.32088        0.316   1000
57685        1   64936476   65158741      1       1  351827      -1.1353      0.87188        0.871   1000
55225        1   65210778   65298915     26       2  351827     -0.32061      0.62575        0.651   1000
3716         1   65298906   65432593     38       2  351827         -1.6      0.94521        0.954   1000
9829         1   65720133   65881552      9       1  351827     -0.64908      0.74186        0.743   1000
54741        1   65886131   66107242    121       6  351827     -0.14256      0.55668        0.537   1000
3953         1   65886335   66103176      1       1  351827      -1.0815      0.86026        0.867   1000
200132       1   67217978   67244730    165       8  351827     -0.44052      0.67022        0.681   1000
57708        1   67390578   67454302     99       1  351827      0.14366      0.44288         0.45   1000
23169        1   67465015   67520080      6       1  351827     -0.53175      0.70255        0.727   1000
