PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000177757.2.wgt.RDat	ENSG00000177757.2	1	817370	817371	0.2181	rs1891910	-4.64	rs3094315	0.182371	5.18	-0.146306	151	9	enet	0.16	7.6e-07	0.0797	0.936
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000225880.5.wgt.RDat	ENSG00000225880.5	1	827521	827522	0.3182	rs1891910	-4.64	rs3094315	0.224834	5.65	-0.146306	154	11	enet	0.21	1.4e-08	-0.67582	0.499
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.3502	rs1891910	-4.64	rs3128117	0.130295	-5.12	-0.839866	181	24	enet	0.22	4.9e-09	-1.22713	0.22
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000260179.1.wgt.RDat	ENSG00000260179.1	1	1251333	1251334	0.1751	rs1891910	-4.64	rs1320565	-0.001007	3.38	0.620042	230	13	enet	-0.0036	0.48	0.70188	0.483
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000240731.1.wgt.RDat	ENSG00000240731.1	1	1318677	1318678	0.2222	rs1891910	-4.64	rs1240707	0.113912	4.09	0.80767	250	24	enet	0.07	0.00097	0.05668	0.955
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2028	rs1891910	-4.64	rs4970432	0.185954	5.49	0.148021	250	8	enet	0.16	5.7e-07	-0.29111	0.771
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.2458	rs1891910	-4.64	rs2765023	0.04489	4.13	-0.969071	273	27	enet	0.084	0.00033	-0.2155	0.829
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.3336	rs1891910	-4.64	rs12089560	0.380096	-7.34	0.791504	280	17	enet	0.31	7.9e-13	-0.51821	0.604
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.1502	rs1891910	-4.64	rs12089560	0.123672	-4.47	0.791504	282	11	enet	0.028	0.027	-1.24389	0.214
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5512	rs1891910	-4.64	rs2031709	0.327833	-6.92	2.149189	282	44	enet	0.22	4.4e-09	-2.23487	0.0254
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000272106.1.wgt.RDat	ENSG00000272106.1	1	1615794	1615795	0.2476	rs3128317	-4.81	rs4648727	-0.002149	4.09	-0.936839	287	40	enet	0.031	0.022	0.23209	0.816
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.3306	rs3128317	-4.81	rs7520934	0.188958	-5.72	0.827892	299	11	enet	0.19	7.8e-08	-1.25512	0.209
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.2939	rs3128317	-4.81	rs2748987	0.14597	-5.58	-0.075466	316	9	enet	0.18	1.2e-07	0.17899	0.858
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.3848	rs34241773	10.5	rs2503701	0.198751	-5.45	0.746835	378	28	enet	0.11	4.5e-05	-0.594	0.553
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.4929	rs34241773	10.5	rs2460002	0.059978	4.57	0.281704	375	54	enet	0.14	5e-06	-0.96564	0.334
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000228037.1.wgt.RDat	ENSG00000228037.1	1	2581559	2581560	0.2973	rs34241773	10.5	rs10797432	0.101004	4.56	-0.594238	368	19	enet	0.065	0.0015	-0.06324	0.95
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.4821	rs10915459	4.37	rs6683156	0.295846	6.75	-1.139753	572	10	enet	0.38	8.4e-16	-1.03003	0.303
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.3596	rs10915459	4.37	rs4073324	0.159868	-5.12	-3.490787	572	12	enet	0.13	6.2e-06	1.03751	0.299
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.186	rs11588889	-6.71	rs6659420	0.090749	-4.76	-1.789692	507	11	enet	0.085	3e-04	2.9275	0.00342
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000049245.12.wgt.RDat	ENSG00000049245.12	1	7771268	7771269	0.3352	rs9434618	-5.83	rs11120917	0.00452	2.86	3.91349	457	69	enet	0.017	0.071	0.5875	0.557
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000232912.5.wgt.RDat	ENSG00000232912.5	1	8424644	8424645	0.1933	rs9434618	-5.83	rs301806	0.079017	-4.37	0.50321	303	25	enet	0.15	1.7e-06	-0.23099	0.817
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000226849.1.wgt.RDat	ENSG00000226849.1	1	11068470	11068471	0.2006	rs12741973	-3.56	rs7556039	-0.005325	-3.39	0.076204	361	4	enet	0.0083	0.15	-0.20556	0.837
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000116663.10.wgt.RDat	ENSG00000116663.10	1	11664123	11664124	0.5117	rs1148471	6.54	rs12139487	0.335636	6.97	0.445253	457	4	enet	0.26	1.1e-10	0.34566	0.73
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000215910.7.wgt.RDat	ENSG00000215910.7	1	11761786	11761787	0.3042	rs1148471	6.54	rs1537516	0.055177	3.8	1.311121	485	23	enet	-0.0068	0.79	2.21883	0.0265
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.2669	rs1148471	6.54	rs198405	0.194776	-5.44	-1.945979	475	14	enet	0.15	1.4e-06	1.92937	0.0537
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000142621.19.wgt.RDat	ENSG00000142621.19	1	15247271	15247272	0.2537	rs578771	3.77	rs536364	0.011486	3.62	-0.140931	551	20	enet	0.029	0.026	-0.76592	0.444
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000228140.1.wgt.RDat	ENSG00000228140.1	1	15409432	15409433	0.3968	rs578771	3.77	rs2294490	0.119822	-5	0.264633	520	48	enet	0.14	3e-06	-0.96499	0.335
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000132906.17.wgt.RDat	ENSG00000132906.17	1	15526533	15526534	0.4587	rs578771	3.77	rs4233532	0.272031	-6.36	0.85681	506	23	enet	0.19	7.5e-08	-0.78911	0.43
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000162461.7.wgt.RDat	ENSG00000162461.7	1	15736404	15736405	0.4066	rs11801060	-4.15	rs3817269	0.332382	-7.11	0.208752	445	52	enet	0.24	6.3e-10	-0.52528	0.599
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000186510.11.wgt.RDat	ENSG00000186510.11	1	16018874	16018875	0.2038	rs11801060	-4.15	rs1763601	0.084497	5.08	-2.560824	385	12	enet	0.18	1.9e-07	-2.41872	0.0156
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000142632.16.wgt.RDat	ENSG00000142632.16	1	16212608	16212609	0.3435	rs11801060	-4.15	rs6697459	0.223662	-5.58	0.862626	334	16	enet	0.24	7.9e-10	-0.35709	0.721
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000237276.8.wgt.RDat	ENSG00000237276.8	1	16228026	16228027	0.3425	rs11801060	-4.15	rs12751725	0.233678	5.79	0.088121	323	23	enet	0.26	1.4e-10	0.24755	0.804
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000037637.10.wgt.RDat	ENSG00000037637.10	1	16352453	16352454	0.1374	rs11801060	-4.15	rs872222	-0.000288	-3.27	-0.745601	270	33	enet	0.021	0.047	-0.45529	0.649
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000215908.10.wgt.RDat	ENSG00000215908.10	1	16657231	16657232	0.3257	rs1883911	-2.49	rs4920608	-0.001726	-3.68	0.534528	256	35	enet	0.11	2.8e-05	0.01522	0.988
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000186715.10.wgt.RDat	ENSG00000186715.10	1	16770236	16770237	0.2657	rs12026071	-3.06	rs2871776	0.256829	6	-0.061599	291	16	enet	0.25	3.6e-10	-0.70323	0.482
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000235241.1.wgt.RDat	ENSG00000235241.1	1	16889094	16889095	0.4718	rs12026071	-3.06	rs3738814	0.268037	6.65	-0.089226	339	57	enet	0.38	4.6e-16	-0.38876	0.697
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000238142.1.wgt.RDat	ENSG00000238142.1	1	16889648	16889649	0.4861	rs12026071	-3.06	rs149565	0.026398	4.65	-0.017537	340	71	enet	0.21	6.6e-09	-0.75288	0.452
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000058453.16.wgt.RDat	ENSG00000058453.16	1	16921949	16921950	0.2656	rs12026071	-3.06	rs149565	0.110866	4.93	-0.017537	352	14	enet	0.09	2e-04	-0.0725	0.942
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000272084.1.wgt.RDat	ENSG00000272084.1	1	19075510	19075511	0.247	rs10158092	-4.44	rs12062540	0.213013	-5.76	-0.038263	506	11	enet	0.2	3e-08	0.38624	0.699
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000127463.13.wgt.RDat	ENSG00000127463.13	1	19251537	19251538	0.2679	rs6693503	6.81	rs710865	0.11123	-4.63	-1.153899	505	5	enet	0.048	0.0057	0.96949	0.332
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000040487.12.wgt.RDat	ENSG00000040487.12	1	19312325	19312326	0.1875	rs6693503	6.81	rs214336	0.20335	-5.42	2.901291	486	27	enet	0.15	1.4e-06	-1.67088	0.0947
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000178828.6.wgt.RDat	ENSG00000178828.6	1	19815277	19815278	0.2401	rs6693503	6.81	rs17396847	0.127277	4.79	-0.866964	558	43	enet	0.026	0.034	0.15832	0.874
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000169914.5.wgt.RDat	ENSG00000169914.5	1	19882512	19882513	0.481	rs6693503	6.81	rs10916668	0.037807	4.32	-0.08721	542	24	enet	0.071	0.00091	-0.32923	0.742
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000162543.5.wgt.RDat	ENSG00000162543.5	1	20186084	20186085	0.274	rs3820329	5.41	rs12076947	-0.00366	4.09	-0.134277	599	10	enet	-0.0036	0.48	-0.16275	0.871
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000158825.5.wgt.RDat	ENSG00000158825.5	1	20588947	20588948	0.1968	rs12080654	4.37	rs6701759	0.036894	-4.09	1.093987	487	20	enet	0.038	0.013	-1.00321	0.316
Ovary	/media/kame/Data/_workings/resource/GTEv8//GTExv8.EUR.Ovary/ENSG00000117242.7.wgt.RDat	ENSG00000117242.7	1	20651765	20651766	0.3372	rs12080654	4.37	rs623817	0.299656	6.6	-0.660615	465	17	enet	0.24	4.9e-10	-0.44474	0.657
